@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute destClass {0,1}

@data
-0.131625,-1.351083,0.048493,-4.123543,0.101336,-6.198883,0
-0.078312,-9.968841,0.365978,-12.578287,-0.243551,20.105112,0
-0.192285,-0.895056,0.267147,-14.940585,-0.126997,8.410824,0
-0.115013,-1.349484,0.423359,-7.963497,-0.196639,28.112242,0
0.061766,0.176457,0.242209,0.943047,-0.07412,27.528007,0
0.064035,2.699537,-0.09626,5.132864,0.051353,-1.127814,0
0.045975,-11.463497,0.395958,-6.623501,-0.091535,28.419781,0
0.051264,-12.274058,0.177185,4.379634,-0.137928,15.85262,0
-0.114826,3.895161,0.248095,-9.610604,0.081327,9.911985,0
-0.038752,6.252872,0.173341,4.443572,-0.000193,6.960223,0
0.230264,-2.914517,0.311644,13.52975,-0.113164,44.597165,0
0.042009,-3.517463,0.302842,1.799684,-0.155662,32.225193,0
-0.025131,16.214559,0.079733,10.39758,-0.096992,25.212328,0
0.136105,-5.027877,0.083165,24.31944,0.003703,32.932431,1
-0.162016,0.29636,0.220129,-11.608479,-0.040591,5.668686,1
0.175309,-7.26741,0.068679,18.713718,0.011423,22.799077,1
-0.002427,5.138165,0.177601,9.037008,-0.035064,24.778028,0
0.18495,-1.871429,0.325252,14.416747,-0.218934,48.063939,0
0.147925,-6.08906,-0.006378,17.531896,-0.005433,19.414304,1
-0.000033,-7.176773,0.285733,-2.155376,-0.148035,17.486877,0
0.002822,6.045992,0.389313,-5.66539,-0.244466,35.196521,0
0.049179,-4.808037,0.38186,-6.750936,-0.238767,34.491431,0
0.291374,-6.547801,0.597486,1.67429,-0.351996,51.533355,0
0.275586,-7.82712,0.189106,23.034273,-0.118631,39.371414,1
0.19183,11.780812,0.186974,24.79535,-0.019069,40.980799,1
0.055153,-1.336019,0.283963,7.329581,-0.091182,23.573862,1
0.078159,-0.503156,0.33026,4.537219,-0.032204,30.551546,1
0.071425,-5.813949,0.164538,-0.534946,0.156216,14.747444,1
0.022742,8.60425,0.199507,8.39068,-0.067567,25.881314,1
0.13451,-9.56781,0.120077,6.79817,0.035058,10.528479,1
0.067628,0.499201,0.172592,3.239281,0.177208,13.976353,1
0.035046,-6.766758,0.443999,4.933431,-0.215494,32.843278,1
0.006299,-1.320892,0.188417,9.798275,-0.028043,25.856014,1
0.238007,-2.708441,0.087729,19.405777,0.075296,30.05262,1
0.022048,13.379844,0.202539,9.063342,0.150546,20.605642,1
0.01505,1.864212,0.400393,-4.114749,-0.056593,36.750644,1
0.034693,1.363623,0.227544,25.108451,0.092117,26.639362,1
0.234483,6.387061,0.095239,31.377004,0.064457,43.157023,0
0.024949,-1.752178,0.667615,-4.31357,-0.222391,42.681272,1
-0.037149,2.320261,0.305923,2.144582,-0.175884,26.177427,0
-0.084459,-0.839806,0.276959,-7.201262,-0.055795,15.454424,1
-0.063862,-1.879971,0.189872,-12.379844,0.008263,3.600215,1
-0.225831,-4.947738,0.207374,-25.165306,0.032367,-6.095769,1
0.076014,-6.152788,0.283988,0.012918,-0.592006,28.657797,1
0.153511,-3.730381,0.127224,18.860278,0.073786,19.863918,1
0.04965,-3.486303,0.294354,-4.710414,-0.043414,20.349678,1
-0.066182,0.328277,0.086403,-2.982411,-0.130092,11.200215,1
0.182347,-0.286661,-0.05494,28.222701,0.153606,25.665163,0
0.009576,2.795014,0.353637,5.823354,-0.038348,26.365271,0
0.209703,0.283737,-0.148993,19.102167,0.059816,2.623346,1
0.06653,0.785925,0.113004,7.956238,-0.043083,16.987049,1
-0.164183,3.637492,0.562693,-17.192784,-0.193961,36.327728,1
-0.028347,-1.854828,0.180587,1.484389,-0.079797,20.609085,1
0.020968,-3.158026,0.169041,-4.30364,0.001886,13.735438,1
-0.006484,4.063812,0.145338,6.203135,0.039046,15.40887,1
-0.06997,-5.481633,0.099204,-5.428824,0.06681,-2.194287,1
-0.05327,-12.371891,0.302258,-9.838271,-0.269589,12.18881,1
0.315957,-8.375216,0.299049,27.362129,-0.373104,59.528673,1
-0.000765,-3.718935,0.069452,-6.044014,0.019633,-1.533613,1
-0.088125,-2.288895,0.278744,-9.742573,-0.148958,15.563391,1
0.075812,-12.480564,0.236414,-1.368473,-0.195962,23.677309,1
0.136807,-3.61519,-0.005639,14.454155,0.082748,7.763209,1
0.211548,16.220955,0.375669,29.660656,-0.149133,67.39317,1
-0.053905,-0.350658,0.429422,-6.809145,-0.092419,28.323023,1
-0.029034,4.204986,0.297866,6.309657,-0.182834,29.135675,1
-0.051986,3.277782,0.25314,4.218346,-0.130094,26.127363,1
0.138969,1.457332,0.063276,6.864822,-0.029639,10.016194,0
0.047861,-2.684936,0.277648,1.333705,-0.05131,19.346585,0
-0.042551,1.343467,0.305515,3.928066,-0.144518,22.776052,0
-0.052986,-6.90202,0.133217,-10.888239,0.003468,4.486319,0
-0.00469,-6.047023,0.060549,0.756554,-0.032023,0.493986,1
0.076617,-0.906501,0.393538,6.1081,-0.168612,39.620511,1
0.030519,1.799011,0.183712,9.282874,-0.190523,22.427964,0
-0.049832,-3.963749,0.407671,-9.373385,-0.106654,26.994201,0
0.02812,9.098355,0.468866,11.238786,-0.259972,50.030273,0
0.101116,-8.097206,0.213697,0.667315,-0.121577,18.632571,1
-0.090676,-2.153756,0.29993,-9.531706,-0.144934,21.752083,0
0.028871,-6.399222,0.129523,-5.873827,0.135757,2.689046,0
