@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute slope21 numeric
@attribute intercept21 numeric
@attribute slope22 numeric
@attribute intercept22 numeric
@attribute slope23 numeric
@attribute intercept23 numeric
@attribute slope24 numeric
@attribute intercept24 numeric
@attribute slope25 numeric
@attribute intercept25 numeric
@attribute slope26 numeric
@attribute intercept26 numeric
@attribute slope27 numeric
@attribute intercept27 numeric
@attribute slope28 numeric
@attribute intercept28 numeric
@attribute slope29 numeric
@attribute intercept29 numeric
@attribute slope30 numeric
@attribute intercept30 numeric
@attribute slope31 numeric
@attribute intercept31 numeric
@attribute slope32 numeric
@attribute intercept32 numeric
@attribute slope33 numeric
@attribute intercept33 numeric
@attribute slope34 numeric
@attribute intercept34 numeric
@attribute slope35 numeric
@attribute intercept35 numeric
@attribute slope36 numeric
@attribute intercept36 numeric
@attribute slope37 numeric
@attribute intercept37 numeric
@attribute slope38 numeric
@attribute intercept38 numeric
@attribute slope39 numeric
@attribute intercept39 numeric
@attribute slope40 numeric
@attribute intercept40 numeric
@attribute slope41 numeric
@attribute intercept41 numeric
@attribute slope42 numeric
@attribute intercept42 numeric
@attribute slope43 numeric
@attribute intercept43 numeric
@attribute slope44 numeric
@attribute intercept44 numeric
@attribute slope45 numeric
@attribute intercept45 numeric
@attribute slope46 numeric
@attribute intercept46 numeric
@attribute slope47 numeric
@attribute intercept47 numeric
@attribute slope48 numeric
@attribute intercept48 numeric
@attribute destClass {0,1}

@data
4.532143,-15.153571,-0.814286,0.5,1.26,-5.033333,-6.422857,17.157143,0.242857,-8.690476,0.374286,-7.119048,0.028571,-7.438095,-1.217143,-5.290476,-0.077143,-10.82381,0.334286,-14.419048,0.74,-13.466667,-0.985714,-7.752381,-0.128571,-11.961905,1.491429,-14.228571,0.354286,-12.152381,-1.005714,-8.685715,0.691429,-12.095238,0.708571,-8.638095,0.745714,-4.747619,-0.165714,-1.019048,1.414286,-2.885714,-0.56,3.366667,-0.7,4.466667,0.808571,1.195238,-1.231429,4.461905,-0.577143,-3.490476,0.414286,-2.819048,-0.58,-0.5,-1.408571,0.171429,0.751429,-4.995238,-0.571429,0.995238,1.214286,-2.352381,-2.008571,3.938095,0.525714,-3.680952,-0.605714,-0.019048,-0.828571,-0.461905,-0.342857,-1.509524,-1.505714,-5.919048,-0.014286,-13.280952,2.914286,-17.885714,0.342857,0.67619,-0.154286,4.219048,-0.677143,4.709524,-0.302857,4.357143,-0.097143,0.209524,-0.634286,-0.047619,0.637143,-3.542857,11.865714,-16.714285,0
4.675,-21.096428,-2.075,4.682143,-1.411429,-11.638095,0.728571,-19.938095,0.611428,-19.161904,0.091429,-12.195238,0.514286,-12.485714,-1.265714,-12.319047,-0.057143,-17.690476,0.051428,-16.461904,0.88,-16.666667,-0.631429,-12.504762,0.134286,-16.552381,-0.017143,-15.890476,0.651429,-17.295238,-0.668571,-12.528571,0.828571,-14.404762,0.174286,-11.619048,0.037143,-10.576191,0.325714,-10.147619,0.42,-6.7,1.008571,-0.204762,1.077143,4.32381,-0.205714,10.347619,0.14,10.333333,0.554286,11.380952,0.268571,11.461905,-0.054286,13.319048,0.654286,15.180952,-0.714286,19.285714,-0.131429,15.561905,0.354286,13.680952,0.32,15.433333,0.04,17.766667,-0.405714,17.814286,0.14,16,-0.322857,16.823809,-0.382857,16.590476,0.268571,13.695239,0.505714,11.685714,-1.78,15.033334,0.177143,5.857143,-0.665714,-0.385714,-0.634286,-0.580952,-0.457143,-6.590476,0.302857,-7.323809,0.894286,-5.852381,9.311428,-7.661905,0
5.167857,-16.617857,-1.210714,6.317857,-0.905714,-1.319048,-1.145714,-3.952381,-0.225714,-9.052381,-0.168572,-9.195238,-0.074286,-10.114286,0.242857,-9.457143,-1.36,-6.233333,0.014286,-14.219048,0.068571,-14.604762,-0.245714,-15.085714,0.831428,-20.595238,-0.091428,-15.738096,0.085714,-15.414286,-0.025714,-15.485714,-0.011429,-13.504762,0.311429,-13.361905,-0.062857,-10.842857,0.122857,-9.723809,0.377143,-10.209524,0.048571,-5.004762,-0.311429,-3.804762,-0.008571,-4.228572,0.485714,-4.747619,1.377143,-1.709524,0.082857,5.142857,0.245714,5.985714,0.154286,5.714286,0.728572,6.228571,0.285714,3.985714,1.297143,5.490476,-0.14,8.933333,-0.385714,11.214286,-0.42,9.1,0.14,7,0.254286,5.080952,0.091429,6.938095,-0.528571,4.838095,-0.462857,0.12381,-0.571429,0.495238,0.017143,-2.209524,-0.562857,-2.742857,0.094286,-4.685714,1.437143,-4.409524,-0.322857,-2.842857,-0.251429,-3.904762,12.285685,-21.558714,0
4.232143,-18.010714,-0.821429,3.135714,0.328571,-2.071428,-0.9,1,-0.037143,-1.52381,-1.374286,-1.414286,-0.085714,-4.385714,-1.008571,-3.728572,-1.685714,-5.119047,0.214286,-14.852381,0.114286,-14.752381,-0.214286,-13.714286,0.322857,-13.390476,1.348572,-13.138096,0.577143,-6.976191,0.017143,-6.776191,-0.102857,-7.242857,0.357143,-0.042857,-0.311429,-0.304762,0.14,-0.5,0.157143,1.390476,-0.082857,2.857143,0.648571,2.228571,1.157143,5.22381,1.457143,12.857143,0.16,18.366666,0.368572,21.161905,1.817143,23.72381,-0.394286,27.685714,0.725714,25.185714,0.622857,25.442857,0.022857,26.042857,1.6,26.3,-0.948572,32.938096,-1.194286,27.485714,-1.011429,24.095238,0.454286,22.814286,-1.537143,26.842857,-0.951429,24.128571,-0.182857,15.590476,-0.945714,19.347619,-1.145714,17.847619,0.245714,11.952381,0.254286,12.680952,0,10.566667,-1.302857,13.557143,0.514286,9.014286,10.645714,-6.047619,0
5.521428,-17.792857,-0.542857,8.028572,0.082857,2.542857,-0.885714,1.914286,-0.96,1.766667,0.062857,0.909524,-0.297143,1.709524,-0.354286,1.185714,0.317143,1.757143,-0.694286,4.552381,2.402857,-0.257143,0.285714,9.752381,-1.948571,8.171428,1.308571,4.728571,-0.768571,6.604762,0.482857,2.542857,-0.048571,8.171429,-0.168571,7.871429,0.5,4.866667,-2.68,10,2.665714,-3.014286,0.462857,7.809524,-0.745714,7.214286,0.537143,3.42381,2.397143,4.090476,-0.151429,10.161905,2.434286,10.047619,0.522857,23.07619,0.708571,25.128571,-3.151429,33.228572,0.18,20.066666,-0.265714,22.347619,1.562857,11.37619,0.477143,22.757143,0.254286,22.880952,1.417143,22.42381,-1.228572,32.504762,0.417143,24.72381,-0.002857,30.02381,0.56,31.9,-0.517143,32.27619,0.282857,28.642857,0.557143,31.123809,-2.92,37.066666,-0.911429,15.861905,0.637143,4.290476,-0.185714,10.980952,9.597143,0.290476,0
5.064286,-18.864285,-0.639286,6.646429,3.231429,3.004762,1.568571,4.561905,-1.142857,5.957143,-1.177143,7.842857,-1.448571,8.271429,1.817143,-1.476191,0.8,4.666666,0.28,5.466667,1.245714,1.485714,-0.837143,11.376191,1.545714,2.019048,-1.762857,12.890476,0.268571,5.961905,-0.605714,11.947619,-0.765714,14.380953,-1.657143,17.309524,0.497143,9.190476,-4.037143,16.242857,0.397143,-12.609524,0.271429,-9.095238,0.7,-7.333333,-0.048571,-4.695238,0.348571,-4.138095,-0.14,-0.166667,0.071429,-1.361905,-0.031429,-2.504762,0.771429,-2.228571,0.065714,2.885714,-0.162857,0.757143,-0.425714,0.680952,0.38,-2.366667,-0.102857,2.357143,-0.002857,1.157143,1.425714,-0.947619,-1.062857,4.923809,-0.125714,-1.019048,-0.345714,-2.019048,0.66,-3.266667,-0.188571,-1.828571,-1.437143,8.276191,0.831429,-2.195238,0.105714,8.485715,-0.86,-1.366667,0.242857,-5.657143,0.802857,2.542857,10.617143,-13.442857,0
3.232143,-17.325,-0.725,-6.653571,1.645714,-12.180952,0.425714,-11.647619,1.128571,-15.138095,-1.077143,-7.190476,0.357143,-14.27619,0.557143,-13.77619,-0.037143,-11.823809,1.062857,-13.357143,-0.445714,-10.652381,0.828571,-13.138095,0.125714,-6.580952,1.142857,-9.590476,1.36,-5.7,-1.268571,-0.795238,0.474286,-7.319047,-0.048571,-3.961905,0.677143,-4.776191,-0.26,4.033333,0.18,4,0.597143,8.290476,-1.005714,13.180953,-0.34,6.933333,0.874286,7.280953,1.471429,15.771429,0.42,23.166667,0.602857,25.07619,0.06,24.9,-0.191429,22.661906,0.971429,22.371428,-0.128571,28.571429,-0.157143,27.342857,0.505714,29.885714,-1.34,31.466667,0.102857,24.242857,0.031429,26.104762,0.031429,22.271428,-0.805714,22.480953,0.228571,33.028572,-0.997143,28.509524,1.211428,18.104762,-0.357143,21.409524,-0.302857,23.02381,-0.574286,22.085714,-0.325714,18.414286,0.677143,15.590476,8.891428,4.138096,0
3.946428,-18.696428,-0.967857,-4.396429,0.202857,-12.557143,0.171429,-13.495238,-0.177143,-12.890477,0.088571,-12.304762,-0.285714,-12.252381,-0.571429,-14.271428,0.822857,-17.357142,0.582857,-13.690476,-0.048571,-5.495238,1.057143,-8.809524,-0.602857,-2.57619,0.377143,-9.042857,-0.468571,-6.295238,2.365714,-8.547619,-1.245714,16.247619,-0.897143,7.642857,0.377143,5.090476,0.34,10.766666,-1.005714,13.980953,-2.085714,10.980952,2.268571,-0.604762,-0.837143,9.542857,0.202857,3.376191,3.714286,1.547619,0.362857,20.509524,0.214286,20.780952,1.691428,15.904762,-1.542857,25.790477,0.805714,15.519047,0.168571,23.561905,0.028571,18.995238,-0.302857,20.057142,-0.148572,20.604762,-0.582857,19.723809,-0.268571,8.971429,0.848571,4.061905,-0.125714,6.080952,-0.357143,6.842857,-0.237143,5.409524,0.357143,2.857143,0.354286,4.214286,0.014286,5.014286,1.145714,-1.447619,0.274286,-0.019048,0.357143,4.92381,10.6,-7.366667,0
3.414286,-13.157143,0.85,-1.407143,-1.185714,6.514286,-1.491429,4.628571,1.577143,-3.976191,-0.62,8.066667,0.291429,2.138095,-0.831429,4.861905,2.025714,-3.247619,-1.26,3.7,0.194286,-8.052381,-0.057143,-5.857143,-1.125714,-5.252381,0.197143,-8.87619,0.391428,-7.928571,0.802857,-8.523809,1.6,-7.8,-1.608571,-1.295238,0.248571,-10.338095,-0.377143,-9.52381,0.728571,-11.071428,0.24,-2.4,0.831429,0.338095,0.52,2.733333,0.491429,3.304762,0.085714,6.619048,0.8,6.166667,0.494286,8.580952,-0.211429,10.395238,1.185714,7.552381,0.04,11.833333,-2.168572,15.271429,-0.388571,6.871429,0.011429,5.304762,0.197143,5.957143,0.86,9.166666,1.122857,10.676191,1.005714,15.319048,-0.185714,19.447619,-0.6,23.933333,-0.331428,23.728571,-0.368571,16.538095,-0.511429,14.995238,-0.9,14.966667,-0.305714,7.780952,2.845714,4.552381,-3.32,21.599999,10.034286,-3.352381,0
4.828571,-16.371428,-0.671429,10.385714,0.711428,4.104762,0.417143,8.490476,0.274286,7.647619,-0.38,5.566667,-1.011429,7.061905,0.094286,2.680952,0.134286,2.614286,0.254286,4.680952,0.074286,6.914286,0.102857,7.242857,-0.025714,6.280952,-1.422857,5.857143,-0.96,-1.1,-0.348571,0.171429,0.768571,-4.371429,-0.345714,1.847619,0.302857,1.709524,0.862857,6.07619,0.482857,11.542857,-0.222857,14.957143,0.111429,15.338095,0.014286,16.047619,1.02,17.966667,0.245714,23.052381,-1.131428,23.995238,-0.062857,16.557143,-0.48,16.333333,-0.451429,16.061905,-0.231429,13.461905,0.945714,11.652381,-0.202857,14.523809,-0.354286,12.352381,-0.154286,13.019048,-1.337143,10.342857,-0.034286,3.485714,-0.168571,2.138095,1.668571,3.228571,-0.845714,6.214286,-0.437143,0.609524,0.022857,2.37619,-0.562857,4.157143,0.437143,0.990476,0.554286,1.747619,0.557143,4.823809,0.191428,10.338095,9.742857,-1.823809,0
