@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute destClass {0,1}

@data
-0.210006,0.748977,0.133049,-13.724664,-0.068479,1.80339,-0.115313,0.281239,0.264905,-7.349795,0
-0.194469,-7.19211,0.091412,-16.59661,0.443828,-6.062887,-0.01794,16.752659,-0.211003,9.425658,0
-0.232917,0.31917,0.074066,-16.817768,0.328884,-11.26803,-0.010283,7.798247,0.053207,-2.638252,0
-0.144188,0.023144,0.291436,-16.628346,0.597228,-4.61239,-0.096998,28.679953,-0.05907,16.016248,0
0.001378,1.405552,0.023301,5.45488,0.396684,-0.591701,0.103088,20.987843,-0.397711,35.141671,0
0.086401,2.296201,0.136479,4.875862,0.043843,-4.637463,-0.01977,1.434132,0.173312,-3.26353,0
-0.090215,-7.959906,0.158904,-10.945997,0.463773,0.327294,-0.009536,26.164874,-0.104866,25.569725,0
-0.144772,-7.77744,0.344652,-11.6519,0.226079,5.056751,-0.291267,25.259731,0.108527,2.712157,0
0.08617,-0.643776,-0.030672,-5.637931,0.399332,-9.20339,0.124479,7.071303,-0.11076,18.999766,0
0.007496,4.753594,-0.15273,6.789012,0.176846,11.447808,-0.250241,17.264641,0.24559,-0.82519,0
0.012846,2.316657,0.205057,11.40415,0.439494,14.72443,0.04089,40.094973,-0.285216,45.861426,0
-0.090667,0.306429,0.301227,-5.481531,0.488431,-1.089246,-0.117684,33.978141,-0.1263,25.228872,0
0.195724,10.932203,-0.018902,13.674927,0.028967,11.217533,0.141419,19.083343,-0.088305,20.708065,0
-0.180212,3.365342,0.667877,-6.506897,0.147796,24.310228,0.072967,30.415254,0.039715,31.759498,1
-0.219342,1.816774,-0.001421,-11.783635,0.234332,-6.721566,-0.023104,6.211923,0.001132,2.653945,1
0.153305,-5.855406,0.549103,-5.8391,0.050826,20.18422,-0.126303,27.485856,0.079578,21.252718,1
