@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute destClass {2,1}

@data
0.008996,-0.395558,2
0.019573,-0.834529,1
0.026596,-1.125952,2
0.024232,-1.02788,1
0.018656,-0.796466,1
0.025506,-1.080748,1
0.012526,-0.542047,2
0.027779,-1.175041,2
0.017093,-0.731588,1
0.018784,-0.80176,1
0.020189,-0.860057,1
0.015741,-0.675463,2
0.015742,-0.675537,1
0.015566,-0.668201,1
0.020115,-0.857018,1
0.017145,-0.733756,2
0.015247,-0.655001,1
0.010229,-0.446732,2
0.022601,-0.960155,2
0.019325,-0.824227,1
0.016351,-0.700798,2
0.013785,-0.594303,2
0.013533,-0.583864,2
0.010209,-0.445916,2
0.019926,-0.849141,2
0.018748,-0.800263,1
0.021294,-0.905924,1
0.020541,-0.874672,1
0.016734,-0.716685,1
0.013054,-0.563974,2
0.022674,-0.963201,1
0.017915,-0.765705,2
0.027889,-1.179621,2
0.022372,-0.950655,1
0.021386,-0.90974,2
0.018109,-0.773747,2
0.017479,-0.747605,2
0.016978,-0.72681,1
0.01901,-0.811163,1
0.025031,-1.06102,2
0.014963,-0.643213,2
0.01453,-0.625225,1
0.019912,-0.848569,2
0.013829,-0.596125,2
0.022517,-0.956704,2
0.020832,-0.886742,2
0.010021,-0.438085,2
0.022275,-0.946639,1
0.023392,-0.992988,2
0.019213,-0.819581,1
0.017608,-0.752946,2
0.01845,-0.787905,2
0.021023,-0.894688,1
0.007124,-0.317879,2
0.020106,-0.856645,1
0.031576,-1.332633,2
0.014909,-0.640975,1
0.017805,-0.761134,1
0.025178,-1.067107,1
0.022899,-0.972529,1
0.018728,-0.799438,2
0.021087,-0.897346,1
0.025426,-1.077419,2
0.01981,-0.84436,2
0.018389,-0.785379,1
0.018888,-0.806097,1
0.017329,-0.741377,1
0.016444,-0.70466,1
0.024562,-1.041534,1
0.018847,-0.804395,2
0.013254,-0.572256,2
0.022853,-0.970632,2
0.01374,-0.592454,1
0.008882,-0.390836,2
0.007465,-0.332023,2
0.016124,-0.691398,2
0.011079,-0.482005,2
0.017594,-0.752368,2
0.002329,-0.118893,2
0.013688,-0.590284,1
0.018814,-0.803027,1
0.019969,-0.850961,1
0.013319,-0.574951,1
0.015404,-0.661482,2
0.020375,-0.867792,2
0.022037,-0.936785,2
0.015063,-0.647332,1
0.021294,-0.905947,2
