@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute destClass {2,1}

@data
0.308482,-1.064986,-0.041091,0.515554,-0.008297,0.197365,-0.459109,0.912764,0.248915,-3.003887,0.228595,-0.977011,0.031326,0.33868,0.042615,0.512525,-0.041768,0.905652,0.100023,0.125934,2
0.286372,-1.546902,-0.045715,0.228463,-0.01837,-0.167598,-0.358626,0.519873,0.189661,-2.613474,0.246469,-0.928894,0.050695,0.665925,0.043538,1.104292,-0.115705,1.38923,0.090902,0.080496,1
0.255348,-1.781706,-0.024755,-0.14917,-0.000604,-0.330306,-0.348687,0.281129,0.25165,-2.502327,0.17747,-0.422282,0.04895,0.783781,0.032993,1.256244,-0.100487,1.331717,0.107299,0.268584,2
0.279009,-1.693061,-0.054694,0.13172,-0.011854,-0.339108,-0.333156,0.154457,0.140375,-2.188173,0.225342,-0.710598,0.056744,0.760738,0.029857,1.283764,-0.113488,1.390865,0.111613,0.160803,1
0.261701,-1.442374,-0.02438,0.292249,-0.026692,-0.036184,-0.017024,-0.135106,0.076113,-2.579229,0.275929,-1.826803,0.052243,0.393693,0.058699,0.763601,-0.019516,1.31636,0.028882,0.6611,1
0.236492,-1.660962,-0.004636,-0.024922,-0.030015,-0.240636,-0.043436,-0.279679,0.136303,-2.530852,0.235306,-1.369313,0.056822,0.532828,0.072335,1.02575,-0.085059,1.666304,0.048988,0.584577,1
0.301383,-1.307794,-0.027824,0.299026,-0.013074,0.032182,-0.461948,0.14482,0.252381,-2.180677,0.142713,-0.122359,0.042622,0.74086,-0.018677,1.231974,-0.125472,0.851486,0.15263,-0.474074,2
0.26279,-1.835668,-0.006067,-0.275957,0.007025,-0.304908,-0.315154,0.353712,0.209373,-2.527377,0.225338,-0.772796,0.019386,0.826922,0.044931,0.986575,-0.045387,1.398478,0.055104,0.626169,2
0.302652,-1.417295,-0.034822,0.284166,-0.017209,-0.08187,-0.44398,0.268779,0.205779,-2.338213,0.152129,-0.320765,0.038032,0.626717,0.038177,0.979998,-0.099202,1.226991,0.100254,0.003369,1
0.204444,-1.149441,-0.01119,0.184774,-0.037567,0.007865,0.015986,-0.312915,-0.027832,-2.026388,0.233506,-1.96844,0.100625,0.212616,0.059376,0.826069,-0.020839,1.394563,0.02209,0.699819,1
0.286151,-1.53334,-0.04464,0.247264,-0.017243,-0.162474,-0.315159,0.348422,0.163122,-2.581249,0.252757,-1.091667,0.033938,0.713074,0.043517,1.064635,-0.099351,1.415237,0.081118,0.230341,1
0.294852,-1.426066,-0.028129,0.202937,-0.016751,-0.038528,-0.477556,0.342422,0.285351,-2.396917,0.157124,-0.179803,0.040184,0.7889,-0.005644,1.202929,-0.119197,0.957988,0.151205,-0.32983,2
0.270933,-1.373998,-0.026091,0.386912,-0.037121,0.059117,-0.052606,-0.072679,0.100908,-2.647168,0.262573,-1.820965,0.069848,0.428558,0.055909,0.910068,-0.073939,1.397942,0.056638,0.274071,1
0.289537,-1.348636,-0.051675,0.44259,-0.031893,0.06741,-0.182678,0.27357,0.126303,-2.726662,0.280001,-1.723445,0.024655,0.573661,0.047868,0.793683,-0.029557,1.2418,0.039867,0.426451,1
0.293326,-1.479694,-0.03581,0.132497,-0.003363,-0.236028,-0.391343,0.174968,0.158137,-2.21609,0.197283,-0.505694,0.043103,0.68535,0.043809,1.073132,-0.112773,1.380785,0.095875,0.061726,1
0.289301,-1.477139,-0.02534,0.128872,-0.009943,-0.088816,-0.451306,0.248194,0.268291,-2.342354,0.15763,-0.138747,0.041469,0.83796,-0.010768,1.270984,-0.116848,0.951829,0.146005,-0.28802,2
0.305536,-1.392013,-0.046281,0.371585,-0.009256,-0.086424,-0.439977,0.580568,0.210982,-2.602388,0.203783,-0.662706,0.03438,0.675324,0.031148,1.032201,-0.115776,1.21321,0.108976,-0.09932,1
0.313019,-1.250761,-0.033097,0.487288,-0.027187,0.187839,-0.428292,0.696903,0.225432,-2.842516,0.221492,-0.872451,0.01182,0.66223,0.032928,0.845446,-0.106102,1.113375,0.110089,-0.220734,2
0.258349,-1.4996,-0.008895,-0.15159,0.002965,-0.278099,-0.368325,-0.141487,0.23791,-2.135318,0.156959,-0.112495,0.040711,0.793492,0.029651,1.210247,-0.122132,1.269548,0.118689,-0.023954,2
0.257609,-1.369722,-0.038607,0.344203,-0.061861,0.011266,-0.124851,-0.091986,0.103209,-2.488237,0.275924,-1.685624,0.057249,0.458066,0.06757,0.960405,-0.079342,1.520316,0.05843,0.410228,1
0.281947,-1.34787,-0.025379,0.176511,-0.011505,-0.036898,-0.465282,0.316378,0.284728,-2.477569,0.156866,-0.266211,0.030938,0.720186,0.024896,1.068725,-0.11916,1.131326,0.122187,-0.167124,2
0.181246,-0.838525,-0.020928,0.291145,-0.012014,0.048792,-0.004651,-0.084011,-0.069207,-2.125017,0.236133,-1.78978,0.066438,0.266212,0.052874,0.636329,-0.021592,1.17891,0.04675,0.519022,2
0.27036,-1.299025,-0.023812,0.406565,-0.029604,0.172308,-0.122921,0.127258,0.212836,-3.266365,0.232373,-1.271315,0.027352,0.532275,0.054243,0.768785,-0.069873,1.217671,0.076576,0.16215,2
0.290827,-1.230118,-0.048215,0.543796,-0.027322,0.185934,-0.339111,0.653083,0.324647,-3.391074,0.211227,-0.863007,0.020664,0.604332,0.031684,0.830942,-0.11342,1.141125,0.114486,-0.232836,2
0.270288,-1.502685,-0.02298,0.007584,-0.006473,-0.149071,-0.438568,0.379585,0.287832,-2.543664,0.166919,-0.268288,0.044851,0.790102,0.021732,1.220578,-0.121375,1.14128,0.13063,-0.118028,2
0.267572,-1.503249,-0.040024,0.365142,-0.032631,-0.102914,-0.137663,0.012995,0.150228,-2.673992,0.260395,-1.478359,0.068285,0.515212,0.066829,1.105381,-0.139667,1.594851,0.090796,0.088338,1
0.26499,-1.597992,-0.043356,0.255167,-0.02558,-0.171458,-0.272494,0.267018,0.19789,-2.715818,0.248214,-1.027093,0.058221,0.680058,0.027717,1.220927,-0.111642,1.360751,0.105391,0.154635,1
