@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute destClass {2,1}

@data
0.86618,-1.993167,-0.023706,0.712052,-0.064007,0.517661,0,0.237929,-0.033189,0.192887,0.068748,0.045909,0.028447,0.08858,-0.744373,-1.134657,0.279733,-3.026408,0.293956,-2.099497,0.27025,-1.032721,0.208614,-0.039433,-0.021336,0.406242,0.047412,0.451284,0.056895,0.496326,0.045042,0.674122,0.009482,0.840065,-0.056895,0.749982,-0.07586,0.470249,0.533477,-0.204645,2
0.750776,-2.317639,0.053856,0.028624,-0.047594,0.188941,-0.035069,-0.046525,-0.003757,-0.240659,0.021292,-0.303282,0.123995,-0.200579,-0.633753,-1.039738,0.275545,-2.716804,0.185366,-1.873887,0.296837,-1.004669,0.195386,0.133832,0.037574,0.683669,0.057614,0.860268,0.063876,1.073189,0.021292,1.312412,-0.095188,1.358753,-0.135267,0.955456,-0.105208,0.459475,0.558418,-0.341985,1
0.675476,-2.478297,0.065209,-0.397527,-0.043473,-0.151182,-0.003623,-0.299714,-0.009057,-0.337752,0.005434,-0.332318,0.038039,-0.335941,-0.530728,-1.348491,0.340536,-2.614631,0.230043,-1.484343,0.18657,-0.441,0.152154,0.330639,0.056152,0.778045,0.057963,0.960992,0.054341,1.220017,-0.001811,1.444625,-0.110493,1.345001,-0.096002,0.924765,-0.036227,0.549814,0.461835,0.100034,2
0.718487,-2.419564,0.082353,-0.195475,-0.051159,0.074045,-0.026203,-0.222926,0,-0.416331,-0.017469,-0.383889,-0.155972,-0.123104,-0.248307,-1.812593,0.183423,-2.223111,0.192158,-1.733983,0.232086,-0.739505,0.158468,0.309875,0.053654,0.766561,0.063637,0.976187,0.041177,1.259432,-0.004991,1.46282,-0.08984,1.359254,-0.124778,0.949984,-0.05615,0.475829,0.482198,-0.012006,1
0.7561,-2.261747,0.051703,-0.022453,-0.005044,0.262544,-0.052964,0.136439,-0.066836,-0.026236,0.008827,-0.228004,-0.005044,-0.24818,-0.361921,0.391171,-0.269864,-2.133448,0.187896,-2.369264,0.249688,-1.803053,0.25221,-0.671893,0.103406,0.326858,0.032787,0.621943,0.054225,0.769486,0.06053,0.996474,0.027743,1.241118,-0.080707,1.334435,-0.136193,0.982603,0.430405,0.100451,1
0.694836,-2.415758,0.058565,-0.408848,0.029282,-0.039888,-0.052708,-0.060386,-0.04978,-0.277077,0.001464,-0.452772,0.005856,-0.448379,-0.49341,0.274898,-0.108345,-2.246324,0.11713,-1.874436,0.282576,-1.430806,0.218155,-0.411776,0.080527,0.504766,0.057101,0.752203,0.081991,1.011353,0.062957,1.329068,-0.016105,1.572112,-0.124451,1.37592,-0.106881,0.888366,0.428813,0.140804,1
0.835762,-2.2096,-0.032182,0.482733,-0.036205,0.277571,-0.028159,0.136774,-0.020114,0.010057,-0.024137,-0.034194,-0.792486,0.354004,0.084478,-3.093511,0.239355,-2.154194,0.287628,-1.230968,0.172979,-0.18907,0.04425,0.617495,0.024137,0.768349,0.060342,0.88501,0.042239,1.138444,-0.08649,1.261139,-0.146831,0.878975,-0.118672,0.343947,-0.05833,-0.068387,0.649177,-0.697617,2
0.670547,-2.516859,0.044064,-0.365363,-0.021074,-0.277235,0.02299,-0.33471,0.032569,-0.344289,-0.013411,-0.256161,0.011495,-0.192938,-0.714605,-0.708296,0.250974,-2.568567,0.235647,-1.750508,0.247142,-0.790677,0.250974,0.075278,-0.001916,0.856937,0.034485,0.883758,0.053643,0.97955,0.055559,1.144311,-0.001916,1.335894,-0.080465,1.266924,-0.086212,0.906748,0.415956,0.236699,2
0.818673,-2.285631,0.002429,0.339233,-0.013362,0.198325,-0.047374,0.079283,-0.026724,-0.112643,-0.040086,-0.138152,-0.691176,0.431552,-0.092319,-2.589458,0.188282,-2.290636,0.291533,-1.665056,0.208932,-0.417538,0.058307,0.440055,0.015791,0.658704,0.055877,0.753453,0.051018,0.955096,0.007288,1.184678,-0.08746,1.211402,-0.104466,0.836053,-0.095963,0.382963,0.569327,-0.384489,1
0.658187,-1.898831,0.02278,-0.045154,0.007194,0.177847,-0.043162,0.127492,-0.027575,-0.078724,-0.016785,-0.241779,-0.011989,-0.272951,0.02278,-0.232187,-0.351287,-1.571393,0.199023,-2.447812,0.15706,-1.866331,0.26976,-1.076235,0.217007,0.057954,0.047957,0.674205,0.047957,0.842055,0.06714,1.053067,0.027575,1.31923,-0.077931,1.399558,-0.137877,1.0159,0.425673,0.106676,1
