@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute destClass {2,1}

@data
0.007845,0.120011,0.068802,-1.838111,-0.001166,0.632409,2
0.014313,-0.392656,0.078754,-1.819864,-0.031224,1.310933,1
0.027385,-0.812545,0.095639,-1.920639,-0.02571,1.352744,2
0.014796,-0.552984,0.094266,-1.97725,-0.030962,1.409186,1
0.017493,-0.353772,0.027043,-1.261262,0.002867,0.908394,1
0.021682,-0.668925,0.047209,-1.419945,-0.009533,1.22083,1
0.011144,-0.133746,0.123512,-2.358473,-0.049675,1.278278,2
0.032022,-0.882032,0.082432,-1.778434,-0.006559,1.137183,2
0.009524,-0.205159,0.107467,-2.231277,-0.026983,1.154642,1
0.012221,-0.282538,0.014893,-1.151833,0.000362,0.996743,1
0.013562,-0.370665,0.076276,-1.837569,-0.023157,1.241348,1
0.013537,-0.274497,0.118247,-2.265124,-0.043416,1.279956,2
0.014346,-0.232716,0.030689,-1.332401,-0.018372,1.138465,1
0.011537,-0.165531,0.042545,-1.493847,-0.007676,0.966199,1
0.010363,-0.331223,0.10446,-2.162788,-0.029617,1.277038,1
0.01647,-0.3644,0.12084,-2.279632,-0.045359,1.336005,2
0.008727,-0.160886,0.091251,-2.015075,-0.03225,1.194926,1
0.010503,-0.002712,0.081701,-1.94699,-0.02991,1.042027,2
0.017956,-0.545073,0.124012,-2.312832,-0.036267,1.364257,2
0.007702,-0.242354,0.046092,-1.533957,-0.012793,1.156105,1
0.013611,-0.262258,0.114074,-2.264719,-0.035456,1.215198,2
0.008621,-0.091203,0.013803,-1.111039,0.003616,0.784003,2
0.018212,-0.20124,0.049752,-1.554761,-0.014189,0.963339,2
0.012412,-0.052223,0.070573,-1.767293,-0.028963,1.023532,2
0.01905,-0.483105,0.110015,-2.145817,-0.039236,1.349544,2
0.014143,-0.350054,0.050643,-1.533088,-0.03046,1.353038,1
0.017545,-0.483156,0.07488,-1.778923,-0.029185,1.341644,1
0.01843,-0.450092,0.052628,-1.549575,-0.020032,1.244126,1
0.004839,-0.166474,0.113326,-2.279131,-0.045536,1.398425,1
0.005657,-0.014872,0.011829,-1.118741,0.005224,0.760347,2
0.018059,-0.516821,0.094745,-2.019478,-0.023344,1.261906,1
0.011261,-0.266944,0.013606,-1.07384,0.007387,0.838672,2
0.030365,-0.877451,0.059869,-1.502917,-0.007112,1.191532,2
0.022568,-0.52562,0.057066,-1.616283,0.001092,0.985408,1
0.024891,-0.61382,0.078905,-1.738463,-0.024417,1.213973,2
0.018731,-0.407217,0.112162,-2.197155,-0.038321,1.287953,2
0.014212,-0.325965,0.104043,-2.122309,-0.040258,1.328629,2
0.015744,-0.271787,0.014025,-1.117944,0.00844,0.807222,1
0.013358,-0.310991,0.086617,-1.986735,-0.020394,1.156688,1
0.030381,-0.791996,0.055663,-1.471129,-0.017368,1.269308,2
0.017133,-0.273491,0.106666,-2.163282,-0.037302,1.202376,2
0.013113,-0.185052,0.012926,-1.118341,-0.016576,1.108955,1
0.020077,-0.429278,0.095729,-2.063454,-0.015662,1.074095,2
0.003483,-0.013305,0.012554,-1.118337,0.008143,0.738524,2
0.019387,-0.51374,0.110417,-2.212475,-0.018576,1.157949,2
0.017004,-0.434794,0.123282,-2.372539,-0.028637,1.233381,2
0.009405,0.000467,0.115224,-2.300085,-0.035287,1.026814,2
0.016549,-0.464203,0.021988,-1.181959,0.005703,0.982238,1
0.020479,-0.555548,0.093799,-1.998738,-0.007193,1.041945,2
0.014729,-0.376733,0.066937,-1.718584,-0.036078,1.413183,1
0.017646,-0.311998,0.055274,-1.606029,-0.000645,0.875626,2
0.013056,-0.352245,0.140891,-2.534801,-0.04919,1.406138,2
0.009527,-0.381923,0.120053,-2.305881,-0.044109,1.467247,1
0.006037,0.125695,0.127372,-2.45109,-0.048328,1.11011,2
0.013704,-0.346644,0.004783,-1.018323,0.005621,0.972814,1
0.032414,-1.083953,0.12341,-2.119494,-0.023007,1.343727,2
0.005664,-0.145688,0.125358,-2.388954,-0.057728,1.478475,1
0.010677,-0.241328,0.077241,-1.879524,-0.020504,1.144075,1
0.02516,-0.709966,0.05004,-1.451736,-0.016904,1.308014,1
0.023742,-0.582993,0.043353,-1.423851,-0.004629,1.096859,1
0.021181,-0.437163,0.065072,-1.666674,-0.019423,1.134949,2
0.017979,-0.475357,0.078328,-1.819844,-0.024519,1.259377,1
0.024938,-0.730359,0.117439,-2.195264,-0.026049,1.288504,2
0.022735,-0.51694,0.079491,-1.804839,-0.032353,1.311799,2
0.016125,-0.322897,0.003768,-0.991038,0.012054,0.815956,1
0.014385,-0.363435,0.096588,-2.040659,-0.033177,1.287164,1
0.012517,-0.272625,0.034726,-1.359095,-0.021209,1.213567,1
0.009511,-0.240037,0.110448,-2.20242,-0.047924,1.403294,1
0.020931,-0.621721,0.053534,-1.519628,-0.01498,1.27161,1
0.017163,-0.331817,0.104978,-2.221141,-0.014972,1.039478,2
0.015937,-0.182772,0.055652,-1.599676,-0.020984,1.032593,2
0.023315,-0.60449,0.111178,-2.172175,-0.024862,1.229948,2
0.015992,-0.201207,0.038673,-1.418356,-0.026643,1.174571,1
0.009228,0.063146,0.04511,-1.528776,-0.019224,0.924907,2
0.003596,0.12582,0.131898,-2.469143,-0.050906,1.134692,2
0.01449,-0.244647,0.121175,-2.375574,-0.030695,1.13643,2
0.005567,0.012199,0.029052,-1.30028,-0.021235,1.040704,2
0.016444,-0.333505,0.133158,-2.485182,-0.036158,1.2205,2
0.00218,0.353174,0.058461,-1.694581,-0.029199,0.850242,2
0.001748,-0.059255,0.111266,-2.230552,-0.057595,1.474948,1
0.019835,-0.397897,0.028352,-1.273761,-0.005027,1.022302,1
0.01739,-0.383006,0.021322,-1.201298,0.010484,0.853465,1
0.012478,-0.131595,0.009325,-1.095463,-0.017605,1.103686,1
0.012539,-0.194548,0.097103,-2.114969,-0.031381,1.186287,2
0.020775,-0.525695,0.143451,-2.509693,-0.041252,1.308536,2
0.021301,-0.54514,0.129286,-2.397253,-0.027088,1.208475,2
0.01686,-0.250906,0.048787,-1.528187,-0.02301,1.136791,1
0.023112,-0.517484,0.047108,-1.468181,0.000533,0.963811,2
0.017278,-0.63421,0.096341,-1.971522,-0.034388,1.469418,1
0.024629,-0.526343,0.033823,-1.318825,0.006783,0.897812,2
0.014407,-0.204772,0.053107,-1.607996,-0.006871,0.927404,2
0.015973,-0.433449,0.050743,-1.528154,-0.027136,1.360589,1
0.009046,-0.190395,0.030297,-1.289389,-0.005405,0.954934,2
0.020737,-0.692624,0.113398,-2.163884,-0.031783,1.408068,2
0.016378,-0.489797,0.08716,-1.919096,-0.040834,1.495687,1
0.015921,-0.23631,0.057446,-1.637367,-0.008795,0.935269,2
0.012777,-0.381153,0.07527,-1.796015,-0.02649,1.279448,1
0.007401,-0.044186,0.096012,-2.136012,-0.021253,1.004345,2
0.00753,-0.103331,0.100153,-2.103107,-0.046354,1.311811,1
0.018015,-0.43155,0.083927,-1.838282,-0.057022,1.596719,1
0.006894,-0.192225,0.033141,-1.312268,-0.016566,1.120975,2
0.008933,-0.281744,0.114885,-2.260778,-0.045366,1.416736,1
0.014341,-0.307174,0.050483,-1.553198,-0.022942,1.228274,1
0.014118,-0.276044,0.104375,-2.193714,-0.022887,1.112393,2
0.018381,-0.464961,0.073897,-1.807415,-0.006461,1.047156,2
0.014827,-0.285098,0.052803,-1.566443,-0.030694,1.286217,1
0.022912,-0.687869,0.119715,-2.273068,-0.020635,1.247363,2
0.014936,-0.343764,0.027165,-1.244963,-0.01789,1.195178,1
0.016673,-0.42431,0.017914,-1.137344,-0.004498,1.088752,1
0.018604,-0.415978,0.080747,-1.891418,-0.012633,1.070006,2
0.013986,-0.258563,0.126931,-2.383274,-0.046344,1.298409,2
0.009829,-0.125122,0.014048,-1.105604,0.0078,0.736394,2
0.025661,-0.775415,0.085857,-1.836122,-0.01406,1.22916,2
0.019503,-0.36149,0.066332,-1.727534,-0.000289,0.867459,2
0.001467,-0.024054,0.119458,-2.320603,-0.055518,1.394971,1
0.013169,-0.512004,0.03945,-1.315244,-0.004764,1.114527,2
0.019698,-0.440901,0.023389,-1.220688,-0.011121,1.163359,1
0.0201,-0.508292,0.058611,-1.594977,-0.022278,1.27474,1
0.007929,-0.149772,0.076935,-1.847552,-0.033108,1.23193,1
0.020257,-0.506142,0.0324,-1.314265,-0.007855,1.148885,1
0.023902,-0.821634,0.074538,-1.690741,-0.003156,1.159343,2
0.008591,0.03292,0.089646,-1.986264,-0.049485,1.228505,2
0.011286,-0.218566,0.016199,-1.174531,0.000648,0.946604,1
0.012612,-0.228963,0.122145,-2.388727,-0.031389,1.155532,2
0.017098,-0.342566,0.140447,-2.518858,-0.040657,1.21674,2
0.028359,-0.560094,0.0387,-1.344062,-0.005426,1.005414,2
0.039215,-1.271892,0.068851,-1.459292,0.0063,1.120555,2
0.019458,-0.405035,0.065475,-1.71981,-0.005558,0.986589,2
0.01356,-0.252198,0.027748,-1.273995,-0.01146,1.056561,1
0.014436,-0.251668,0.12658,-2.433892,-0.024523,1.046211,2
0.014806,-0.430169,0.029246,-1.263325,-0.017253,1.265012,1
0.012903,-0.16346,0.092517,-2.051738,-0.019611,0.990078,2
0.019965,-0.449121,0.024099,-1.23881,0.004707,0.962834,1
0.015209,-0.362373,0.024243,-1.205266,-0.004047,1.022971,1
0.015778,-0.449148,0.056989,-1.588702,-0.008324,1.101177,1
0.029442,-1.071969,0.127566,-2.148373,-0.01829,1.280953,2
0.024254,-0.732202,0.045659,-1.405556,0.002683,1.091017,1
0.021459,-0.509016,0.099646,-2.06526,-0.022278,1.173413,2
0.016776,-0.426247,0.049093,-1.511046,-0.02696,1.345335,1
0.014996,-0.262375,0.105754,-2.198515,-0.025498,1.108302,2
0.015524,-0.329652,0.046673,-1.517186,-0.01263,1.110997,1
0.007578,-0.154732,0.081681,-1.896613,-0.047077,1.415202,1
0.022283,-0.462898,0.037331,-1.362112,0.000337,0.948968,2
0.012834,-0.154402,0.026786,-1.291466,-0.022371,1.146321,1
0.010797,-0.302869,0.039603,-1.351525,-0.004528,0.968443,2
0.009767,-0.35974,0.031005,-1.224301,-0.015579,1.177245,2
0.016972,-0.228921,0.021156,-1.229228,0.00041,0.87119,1
0.02053,-0.486683,0.093653,-2.023699,-0.015061,1.105545,2
0.026037,-0.554218,0.041546,-1.386984,-0.005233,1.032785,2
0.020143,-0.626174,0.06873,-1.709522,-0.003946,1.122477,1
0.014921,-0.436532,0.031956,-1.292308,-0.015296,1.235807,1
0.02459,-0.585763,0.082655,-1.875382,-0.009469,1.074477,2
0.017984,-0.313438,0.05266,-1.579472,-0.015777,1.08552,1
0.017332,-0.46056,0.05274,-1.531086,-0.031936,1.410111,1
0.010949,-0.320729,0.090704,-2.00307,-0.031488,1.309891,1
0.018132,-0.56918,0.096341,-2.019825,-0.018693,1.229286,1
0.006534,-0.044307,0.005253,-1.025044,0.004095,0.78825,2
0.012232,-0.185511,0.112911,-2.292715,-0.029363,1.118515,2
0.010345,0.060365,0.054066,-1.628163,-0.012535,0.800783,2
0.011599,-0.342923,0.09441,-2.020399,-0.038278,1.382266,1
0.018105,-0.430516,0.041809,-1.424885,-0.010018,1.115115,1
0.025288,-0.671415,0.10516,-2.094853,-0.017745,1.178086,2
0.011994,-0.246724,0.057083,-1.65232,-0.016017,1.116048,1
0.008745,-0.012941,0.027126,-1.24783,-0.024411,1.03938,2
0.024215,-0.672123,0.071837,-1.694339,-0.023804,1.324411,2
0.012493,-0.315665,0.017125,-1.104171,-0.002689,0.989605,2
0.015929,-0.353531,0.023484,-1.216773,-0.013651,1.155817,1
0.014211,-0.187269,0.064959,-1.716709,-0.031512,1.193885,2
0.011151,-0.091011,0.088693,-1.970909,-0.043731,1.237692,2
0.019869,-0.355003,0.023264,-1.213021,-0.004,0.973026,1
0.008719,-0.06481,0.029113,-1.278767,-0.007866,0.872339,2
0.008666,0.088093,0.099038,-2.080399,-0.050576,1.154384,2
0.015562,-0.25783,0.00321,-0.99743,0.012023,0.772836,1
0.014553,-0.255727,0.004405,-1.021404,0.008244,0.843215,1
0.014903,-0.372659,0.044701,-1.476662,-0.014711,1.176565,1
0.016852,-0.507934,0.058559,-1.607426,-0.017203,1.262864,1
0.01718,-0.289573,0.036607,-1.399456,-0.001996,0.923148,2
0.012907,-0.416725,0.102627,-2.111254,-0.035758,1.384312,1
0.024359,-0.666968,0.051154,-1.493432,-0.012719,1.245988,1
0.016979,-0.330683,0.109144,-2.148344,-0.042773,1.287108,2
0.016772,-0.3971,0.092437,-1.970051,-0.037921,1.338067,2
0.013218,-0.325915,0.073231,-1.786778,-0.034273,1.341621,1
0.023549,-0.732887,0.115029,-2.20667,-0.014936,1.203708,2
0.016866,-0.165456,0.097687,-2.063603,-0.040499,1.16264,2
0.006175,0.026545,0.022089,-1.210217,0.001513,0.714992,2
0.020903,-0.549855,0.032372,-1.28742,-0.015602,1.261996,1
0.013164,-0.350281,0.06603,-1.718254,-0.026394,1.289038,1
0.010955,-0.351858,0.045783,-1.420274,-0.001399,0.958372,2
0.017525,-0.281364,0.070987,-1.790021,-0.014096,1.000065,2
0.019607,-0.370442,0.084668,-1.891781,-0.027938,1.164979,2
0.013198,-0.364033,0.067018,-1.686745,-0.03759,1.408632,1
0.016815,-0.548522,0.111001,-2.165357,-0.038168,1.436932,2
0.012972,-0.456512,0.097413,-2.035469,-0.033531,1.387741,1
0.022922,-0.682834,0.066124,-1.639903,-0.024484,1.384454,1
0.018275,-0.273923,0.02895,-1.29528,-0.00677,0.956359,2
0.02003,-0.482232,0.080371,-1.883381,-0.009113,1.066531,2
0.012478,-0.379915,0.100283,-2.109037,-0.023319,1.214793,1
0.014833,-0.532527,0.113501,-2.17702,-0.037114,1.411392,1
0.019954,-0.554303,0.050305,-1.5196,-0.004553,1.120175,1
0.018187,-0.278741,0.12234,-2.315352,-0.041261,1.187291,2
0.024049,-0.628832,0.07431,-1.758563,-0.007618,1.095704,2
0.013409,-0.196606,0.058837,-1.67248,-0.017556,1.064078,1
0.015808,-0.474602,0.065181,-1.646311,-0.027771,1.335775,1
0.005469,0.209011,0.058515,-1.686689,-0.026874,0.910005,2
0.012869,-0.288292,0.101642,-2.157236,-0.024934,1.169544,1
0.009915,-0.30987,0.099228,-2.059578,-0.048759,1.487575,1
0.019244,-0.41232,0.1041,-2.155873,-0.01264,1.006996,2
0.009699,-0.203695,0.06224,-1.700852,-0.018446,1.115698,1
0.015149,-0.256522,0.066958,-1.738788,-0.03305,1.266345,1
0.022384,-0.43564,0.052077,-1.513833,-0.023,1.188051,2
0.016543,-0.188704,0.035224,-1.378845,-0.018223,1.048013,1
0.020047,-0.444197,0.10327,-2.094193,-0.029868,1.210135,2
0.014849,-0.280923,0.080509,-1.909727,-0.023298,1.151144,1
0.025474,-0.603795,0.071871,-1.710537,-0.02368,1.253155,2
0.023071,-0.461328,0.049597,-1.501276,0.001915,0.889039,2
0.028849,-0.772414,0.080488,-1.785223,-0.007849,1.12086,2
0.009537,-0.320055,0.083365,-1.879985,-0.036238,1.368384,1
0.010161,-0.079286,0.108587,-2.232819,-0.033291,1.091749,2
0.007323,-0.231519,0.111418,-2.206142,-0.052409,1.475486,1
0.008327,-0.141067,0.101853,-2.16632,-0.031689,1.181063,1
0.012547,-0.358257,0.094785,-2.008151,-0.041962,1.417219,1
0.012167,-0.162505,0.054424,-1.587901,-0.035744,1.267277,1
0.012459,-0.37142,0.098724,-2.100402,-0.024671,1.237219,1
0.017875,-0.393476,0.076332,-1.841661,-0.012988,1.071996,2
0.006071,-0.175406,0.106317,-2.209554,-0.038025,1.314371,1
0.016251,-0.366515,0.010112,-1.066183,0.01372,0.824888,1
0.021676,-0.425134,0.054134,-1.570205,-0.005405,0.978176,2
0.006458,0.11996,0.105381,-2.233831,-0.030952,0.955203,2
0.020289,-0.526021,0.1025,-2.063906,-0.034177,1.326972,2
0.016296,-0.382773,0.03996,-1.405997,-0.021479,1.25259,1
0.003625,-0.04842,0.094885,-2.050233,-0.053224,1.420591,1
0.01939,-0.463308,0.086823,-1.903382,-0.03098,1.284345,2
0.021566,-0.601799,0.139012,-2.457946,-0.037733,1.334644,2
0.012005,-0.29226,0.067597,-1.716379,-0.034283,1.330142,1
0.015858,-0.10224,0.048014,-1.523921,-0.008234,0.80836,2
0.008351,-0.095265,0.031667,-1.302653,-0.019701,1.056946,2
0.009802,-0.240568,0.094779,-2.074136,-0.028209,1.21699,1
0.013152,-0.269097,0.075699,-1.831505,-0.027674,1.208015,1
0.018393,-0.398793,0.032526,-1.319303,-0.007766,1.06885,1
0.010715,-0.434637,0.097044,-2.039662,-0.029893,1.356407,1
0.008742,-0.291231,0.11349,-2.216194,-0.050777,1.47609,1
0.012424,-0.286934,0.104333,-2.175343,-0.02405,1.144041,2
0.01734,-0.379472,0.038352,-1.378535,-0.026934,1.303081,1
0.016314,-0.087563,0.042586,-1.432416,-0.028309,1.040309,2
0.013743,-0.242201,0.09107,-2.010091,-0.034927,1.242148,2
0.01491,-0.332376,0.066312,-1.714538,-0.012809,1.056646,1
0.013971,-0.408655,0.00995,-1.052557,0.012061,0.908759,1
0.013848,-0.355184,0.023663,-1.225933,-0.013301,1.1876,1
0.014441,-0.458435,0.103073,-2.072993,-0.043081,1.459888,1
0.011537,-0.280502,0.072608,-1.823276,-0.021362,1.189509,1
0.014961,-0.502967,0.032184,-1.276548,-0.01513,1.280602,1
0.016127,-0.205825,0.038544,-1.433163,-0.021909,1.130002,1
0.014693,-0.166429,0.070331,-1.7912,-0.020669,1.022146,2
0.010977,-0.103839,-0.003291,-0.968725,0.008419,0.788442,1
0.007921,-0.087426,0.010479,-1.087461,0.004941,0.793093,2
0.013816,-0.301853,0.078769,-1.876569,-0.030747,1.276917,1
0.005899,-0.147556,0.109996,-2.222605,-0.045595,1.354429,1
0.014701,-0.332608,0.018534,-1.179694,0.004313,0.938718,1
0.024027,-0.494475,0.096655,-2.059231,-0.021452,1.14742,2
0.022354,-0.389014,0.068446,-1.734779,-0.016825,1.058432,2
0.009949,-0.178878,0.078831,-1.847891,-0.049247,1.426385,1
0.008204,0.001027,0.021742,-1.188856,-0.016699,0.942305,2
0.019454,-0.282555,0.067727,-1.71986,-0.026754,1.119956,2
0.01605,-0.377404,0.054101,-1.575461,-0.01764,1.177282,1
0.007782,-0.19085,0.085747,-1.972964,-0.030943,1.252216,1
0.005579,0.12404,0.090585,-2.07042,-0.027373,0.951014,2
0.013955,-0.222802,0.016183,-1.166946,0.001132,0.9009,1
0.015089,-0.491702,0.02173,-1.171609,-0.001024,1.11339,1
0.026451,-0.797379,0.070634,-1.676318,-0.003093,1.138118,2
0.017941,-0.437676,0.130913,-2.392892,-0.042589,1.329299,2
0.011196,-0.251222,0.020841,-1.162753,0.010074,0.778789,2
0.008702,-0.269149,0.027711,-1.25633,0.008975,0.846053,2
0.017511,-0.343645,0.071834,-1.750935,-0.031038,1.24075,2
0.015151,-0.480148,0.021577,-1.173861,0.00126,1.074483,1
0.012627,-0.341993,0.082914,-1.92762,-0.023725,1.233414,1
0.018861,-0.366903,0.092877,-2.009113,-0.02857,1.186547,2
0.014736,-0.600586,0.104673,-2.049424,-0.046566,1.599947,1
0.010873,-0.350771,0.077003,-1.847951,-0.013898,1.13333,1
0.012877,-0.26493,0.053565,-1.561024,-0.016936,1.090942,1
0.013606,-0.477362,0.020642,-1.111187,0.015614,0.848728,2
0.011071,-0.074557,0.018822,-1.143125,-0.001732,0.770819,2
0.023452,-0.573582,0.102953,-2.058542,-0.032607,1.299161,2
0.012548,-0.290541,0.079141,-1.891683,-0.022099,1.176071,1
0.005886,-0.123236,0.103206,-2.105773,-0.052768,1.401955,1
0.009494,-0.179825,0.017488,-1.120878,0.008709,0.752183,2
0.023966,-0.648852,0.077944,-1.806382,-0.011881,1.173147,2
0.008305,-0.004939,0.013642,-1.112079,-0.005547,0.828931,2
0.007897,0.12037,0.08269,-1.949677,-0.038398,1.058059,2
0.023601,-0.610183,0.100341,-2.026641,-0.02854,1.282205,2
0.016251,-0.461109,0.116689,-2.296358,-0.022821,1.204184,1
0.004074,-0.211662,0.127517,-2.33968,-0.062669,1.554201,1
0.014036,-0.320271,0.016141,-1.121784,-0.008212,1.078839,1
0.015612,-0.196892,0.028745,-1.31487,-0.006316,0.931518,1
