@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute slope21 numeric
@attribute intercept21 numeric
@attribute slope22 numeric
@attribute intercept22 numeric
@attribute slope23 numeric
@attribute intercept23 numeric
@attribute slope24 numeric
@attribute intercept24 numeric
@attribute slope25 numeric
@attribute intercept25 numeric
@attribute slope26 numeric
@attribute intercept26 numeric
@attribute slope27 numeric
@attribute intercept27 numeric
@attribute slope28 numeric
@attribute intercept28 numeric
@attribute slope29 numeric
@attribute intercept29 numeric
@attribute slope30 numeric
@attribute intercept30 numeric
@attribute slope31 numeric
@attribute intercept31 numeric
@attribute slope32 numeric
@attribute intercept32 numeric
@attribute slope33 numeric
@attribute intercept33 numeric
@attribute slope34 numeric
@attribute intercept34 numeric
@attribute slope35 numeric
@attribute intercept35 numeric
@attribute slope36 numeric
@attribute intercept36 numeric
@attribute slope37 numeric
@attribute intercept37 numeric
@attribute slope38 numeric
@attribute intercept38 numeric
@attribute slope39 numeric
@attribute intercept39 numeric
@attribute slope40 numeric
@attribute intercept40 numeric
@attribute slope41 numeric
@attribute intercept41 numeric
@attribute slope42 numeric
@attribute intercept42 numeric
@attribute slope43 numeric
@attribute intercept43 numeric
@attribute slope44 numeric
@attribute intercept44 numeric
@attribute slope45 numeric
@attribute intercept45 numeric
@attribute slope46 numeric
@attribute intercept46 numeric
@attribute slope47 numeric
@attribute intercept47 numeric
@attribute slope48 numeric
@attribute intercept48 numeric
@attribute destClass {2,1}

@data
4.484991,-3.796645,0,0.617227,0.118531,0.569815,0.071118,0.640933,-0.284474,0.78317,0.071118,0.47499,0,0.332753,-0.023706,0.261635,-0.047412,0.261635,0.047412,0.214223,-0.142237,0.237929,0,0.119398,0.189649,-0.022839,-0.118531,0.285341,0.118531,0.04828,-0.023706,0.16681,-1.374956,-0.805142,0,-3.009813,-0.118531,-2.84387,0.545241,-2.583103,0.237061,-2.085274,0.237061,-1.468914,0.474123,-1.137028,0.047412,-0.378431,0.426711,-0.14137,0.047412,0.451284,-0.071118,0.403872,-0.189649,0.47499,0.071118,0.427578,-0.071118,0.617227,0.047412,0.498696,0.047412,0.617227,0.047412,0.664639,-0.023706,0.806876,-0.047412,0.854289,-0.047412,0.901701,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
3.684992,-3.796645,-0.037574,-0.036505,0.100198,-0.061555,0.087673,0.051168,-0.02505,0.23904,-0.175347,0.23904,-0.037574,0.101267,-0.037574,0.001069,-0.087673,-0.074079,-0.062624,-0.124178,-0.137772,-0.186802,0.02505,-0.249426,-0.037574,-0.274476,0.075149,-0.287,0.275545,-0.324575,-0.413317,0.364287,-1.001981,-0.850614,-0.225446,-2.516407,0.413317,-2.791952,0.087673,-2.065516,0.200396,-1.86512,0.300594,-1.577051,0.363218,-1.038486,0.225446,-0.374674,0.313119,0.076218,0.087673,0.577208,0.050099,0.677406,0.02505,0.76508,0.050099,0.865278,0.075148,0.965476,0.075149,1.065674,0.037574,1.215971,0.075149,1.291119,0.012525,1.353743,-0.02505,1.328694,-0.125248,1.178397,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
3.304928,-3.796645,0,-0.455491,0.036227,-0.437377,0.072454,-0.328695,0.090568,-0.220014,-0.126795,-0.111332,-0.018114,-0.256241,0.036227,-0.310582,0.054341,-0.346809,0,-0.310582,-0.036227,-0.328695,-0.018114,-0.346809,0.036227,-0.346809,-0.018114,-0.310582,0.054341,-0.364923,-0.144909,-0.14756,-1.177384,-1.035126,0.036227,-2.683463,0.271704,-2.611008,0.163022,-1.81401,0.235477,-1.487965,0.217363,-1.017012,0.25359,-0.473604,0.126795,-0.038878,0.235477,0.287167,0.054341,0.685666,0.072454,0.776234,0.090568,0.866802,0.018114,0.975483,0.054341,1.084165,0.072454,1.21096,0.036227,1.337755,0.018113,1.428323,-0.072454,1.482664,-0.054341,1.319641,-0.144909,1.138506,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
3.448942,-3.796645,-0.037433,-0.247881,0.049911,-0.235404,0.037433,-0.110626,0.037433,0.089018,-0.074867,0.089018,-0.062389,-0.035759,-0.099822,-0.110626,-0.062389,-0.247881,-0.037433,-0.285315,-0.049911,-0.397615,0,-0.410092,-0.012478,-0.385137,-0.012478,-0.42257,0.249555,-0.347703,-0.736188,-0.123104,-0.461677,-1.720257,-0.149733,-2.344145,0.411766,-2.331667,0,-1.770168,0.049911,-1.670346,0.274511,-1.383358,0.324422,-0.771947,0.249555,-0.297792,0.274511,0.251229,0.037433,0.687951,0.062389,0.762817,0.049911,0.875117,0.099822,0.962461,0.062389,1.099717,0.024956,1.261928,0.012478,1.36175,0.074867,1.424139,-0.074867,1.486527,-0.1123,1.374228,-0.037433,1.149628,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
3.812024,-3.796645,-0.037831,0.0406,0.01261,-0.009842,0.126105,-0.009842,0.138715,0.078431,-0.01261,0.254978,0.025221,0.267588,-0.063052,0.204536,-0.050442,0.091042,0.050442,-0.085505,0,-0.060284,-0.138715,-0.123337,0,-0.224221,0.01261,-0.21161,0.050442,-0.287273,-0.151326,-0.173779,0.340483,0.05321,-0.958397,-0.047674,-0.542251,-2.002299,-0.037832,-2.784149,0.302652,-2.418445,0.138715,-1.977078,0.113494,-1.750089,0.26482,-1.296112,0.378315,-0.716029,0.277431,-0.199,0.201768,0.280199,0.025221,0.57024,0.037831,0.620682,0.037831,0.683734,0.050442,0.772008,0.063052,0.872892,0.075663,0.986386,0.025221,1.137712,0.050442,1.225985,-0.025221,1.326869,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
3.452219,-3.796645,0,-0.329785,-0.043924,-0.329785,0,-0.359068,0.058565,-0.212655,0.161054,-0.110166,-0.014641,0.065528,-0.087847,0.036246,-0.029282,-0.124808,-0.014641,-0.241938,-0.014641,-0.285861,-0.014641,-0.402991,0.014641,-0.461556,-0.029282,-0.432274,0.043924,-0.461556,0.014641,-0.446915,0.190336,-0.022319,-0.81991,-0.593327,-0.263542,-2.145299,0.23426,-2.657743,0.175695,-1.896398,0.11713,-1.647497,0.278184,-1.427878,0.292825,-0.871511,0.087847,-0.359068,0.248901,0.021605,0.190336,0.460842,0.058565,0.665819,0.014641,0.768308,0.058565,0.870797,0.161054,0.987927,0.131771,1.134339,0.029282,1.339317,0.043924,1.471088,0,1.558935,-0.073206,1.573576,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
4.017898,-3.796645,0.060342,0.241366,0.080455,0.341936,0.020114,0.482733,-0.040228,0.362049,-0.060342,0.281594,-0.040228,0.221252,0,0.120683,-0.020114,0.120683,-0.020114,0.040228,-0.040228,0.020114,0,-0.040228,0.040228,-0.060342,-0.040228,-0.080455,-0.120683,0.040228,-1.287287,-1.005693,0,-3.037192,0.281594,-3.037192,0.241366,-2.152182,0.26148,-1.689564,0.281594,-1.226945,0.301708,-0.663757,0.080455,-0.140797,0.281594,0.100569,0.080455,0.603416,0.040228,0.703985,0.040228,0.764326,0.040228,0.804554,0.020114,0.905123,0.100569,0.985579,0.060342,1.126376,0,1.247059,-0.060341,1.247059,-0.120683,1.106262,-0.201139,0.905123,-0.100569,0.563188,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
3.228205,-3.796645,0.019158,-0.530124,0.076633,-0.472649,0.057475,-0.300225,0.038317,-0.24275,0,-0.281066,-0.057475,-0.319383,-0.019158,-0.338541,0.095791,-0.319383,0.019158,-0.281066,0.076633,-0.357699,0.057475,-0.300225,0.076633,-0.300225,-0.095792,-0.24275,0,-0.204433,-0.11495,-0.089483,-0.938757,-0.568441,-0.268216,-2.388479,0.191583,-2.541746,0.287375,-2.081947,0.325691,-1.794572,0.153266,-1.238981,0.153266,-0.760024,0.210741,-0.261908,0.383166,0.025467,0.249058,0.561899,-0.019158,0.868432,0.038317,0.830115,0.038317,0.88759,0.076633,0.925907,0.038317,0.983382,0.038317,1.098331,0.076633,1.136648,0.057475,1.251598,-0.038317,1.347389,-0.019158,1.347389,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
3.856493,-3.796645,0.08503,0.084142,0.036442,0.242055,-0.072883,0.424263,0.012147,0.327086,-0.08503,0.217761,-0.036442,0.205614,-0.072883,0.13273,-0.048589,0.0477,-0.060736,-0.061625,-0.024294,-0.110214,0,-0.183097,-0.133619,-0.098066,0,-0.231686,0.109325,0.071994,-1.166132,-0.754015,-0.170061,-2.539654,0.072883,-2.867629,0.255091,-2.321004,0.145766,-1.895852,0.206502,-1.628614,0.327974,-1.094137,0.157914,-0.401747,0.182208,0.023406,0.145766,0.399969,0,0.582177,0.08503,0.630766,0,0.691502,0.060736,0.752238,0.060736,0.861563,0.072883,0.946593,0.048589,1.055918,0.060736,1.165243,0.012147,1.189537,-0.036442,1.189537,-0.109325,1.043771,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
4.744535,-3.796645,0,-0.021175,0,-0.021175,0.011989,-0.033165,0.071936,0.002803,0.035968,0.134686,-0.107904,0.302536,-0.011989,0.158664,-0.095914,0.086728,-0.047957,0.014793,-0.023979,-0.081122,-0.035968,-0.129079,-0.059947,-0.224994,-0.011989,-0.272951,-0.011989,-0.272951,-0.011989,-0.29693,0.191829,-0.344887,-0.371669,0.038771,-0.803284,-1.363978,-0.047957,-2.407049,0.215807,-2.466995,0.095914,-1.987423,0.107904,-1.831562,0.287743,-1.627743,0.311722,-1.100214,0.203818,-0.500748,0.311722,0.002803,0.059947,0.57829,0.047957,0.674205,0.047957,0.770119,0.023979,0.854044,0.071936,0.92598,0.083925,1.045874,0.059947,1.189745,0.059947,1.309638,0.047957,1.357596,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
