@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute destClass {2,1}

@data
0.058425,-0.204633,-0.065889,0.491724,0.234273,-3.344488,0.025449,0.348093,-0.019481,0.76385,2
0.079407,-0.814116,-0.034658,-0.034786,0.215039,-3.017398,0.049669,0.630009,-0.05818,1.127809,1
0.080075,-1.157308,-0.046927,-0.093929,0.226819,-2.841157,0.049413,0.743203,-0.030771,1.042853,2
0.081144,-0.982474,-0.062175,-0.06463,0.201999,-2.705022,0.051348,0.736638,-0.041851,1.086437,1
0.090385,-0.831796,0.001051,-0.127293,0.073221,-2.145959,0.05582,0.285391,-0.044572,1.339408,1
0.095789,-1.158784,0.003804,-0.352465,0.109989,-2.237166,0.070622,0.39711,-0.062109,1.528134,1
0.067739,-0.502584,-0.161355,0.725282,0.235352,-2.700383,0.029727,0.773792,-0.029793,0.459685,2
0.078794,-1.191468,-0.02484,-0.144329,0.208957,-2.853162,0.03024,0.765127,-0.038385,1.317214,2
0.073623,-0.621653,-0.125551,0.459752,0.23032,-2.871678,0.042545,0.575508,-0.049331,0.987004,1
0.07333,-0.68756,-0.019218,-0.036691,0.012636,-1.642083,0.074757,0.136801,-0.051092,1.432569,1
0.079457,-0.799583,-0.038937,-0.013263,0.194319,-2.921314,0.045896,0.634073,-0.054323,1.198306,1
0.07064,-0.648687,-0.13079,0.522114,0.249821,-2.888658,0.029003,0.807677,-0.028179,0.581434,2
0.090604,-0.734724,-0.009296,-0.026063,0.079701,-2.232351,0.064384,0.321812,-0.0649,1.292479,1
0.07557,-0.586482,-0.009737,0.010368,0.129543,-2.676911,0.041915,0.442812,-0.052596,1.246638,1
0.06704,-0.695361,-0.106052,0.26632,0.215101,-2.751908,0.046203,0.641765,-0.057503,1.122956,1
0.071268,-0.721792,-0.131605,0.493051,0.243917,-2.802075,0.028208,0.866263,-0.026503,0.581704,2
0.07362,-0.580334,-0.080099,0.289227,0.231858,-3.081228,0.041169,0.617125,-0.050336,0.922569,1
0.073928,-0.419546,-0.072429,0.453172,0.231888,-3.259359,0.028102,0.597334,-0.053855,0.857209,2
0.061983,-0.828952,-0.132555,0.337882,0.223832,-2.530658,0.043458,0.757641,-0.042837,0.938052,2
0.085694,-0.757722,-0.014443,-0.146667,0.11584,-2.465461,0.067897,0.346044,-0.061678,1.391263,1
0.065509,-0.600647,-0.134708,0.555372,0.239707,-2.861539,0.037422,0.674803,-0.04233,0.804875,2
0.054576,-0.391962,-0.01214,0.061377,0.037787,-1.870027,0.054771,0.170349,-0.036486,1.16664,2
0.086427,-0.650763,-0.024181,0.16885,0.15332,-2.776404,0.044245,0.409619,-0.050273,1.078691,2
0.075989,-0.468933,-0.032285,0.247448,0.236489,-3.351462,0.031812,0.537871,-0.054107,0.861816,2
0.067359,-0.798424,-0.0981,0.297081,0.244844,-2.921687,0.040363,0.780677,-0.034367,0.785571,2
0.093881,-0.872775,-0.006786,-0.167857,0.136014,-2.56992,0.073968,0.412489,-0.071909,1.29539,1
0.091965,-0.969599,-0.022571,-0.132233,0.199917,-2.938147,0.052251,0.65481,-0.042796,1.067722,1
0.086894,-0.899671,-0.00377,-0.162854,0.140683,-2.633992,0.054574,0.54086,-0.061782,1.333309,1
0.060454,-0.51958,-0.130025,0.389313,0.211886,-2.620763,0.05598,0.615014,-0.059104,0.910583,1
0.053658,-0.32922,-0.016554,0.089077,0.029572,-1.837125,0.052737,0.170668,-0.024351,1.076679,2
0.074733,-0.884967,-0.077065,0.132971,0.211106,-2.818258,0.042308,0.694915,-0.050311,1.181469,1
0.053699,-0.5449,-0.010357,-0.058691,0.023799,-1.657694,0.060211,0.168896,-0.031508,1.260273,2
0.082503,-1.220229,0.007179,-0.353647,0.156562,-2.507684,0.05803,0.5372,-0.042417,1.380969,2
0.087154,-0.949491,-0.009768,-0.110689,0.160618,-2.79086,0.038704,0.556465,-0.031881,1.270863,1
0.084714,-1.006913,-0.008743,-0.150253,0.23169,-3.09105,0.044304,0.643102,-0.046273,1.069063,2
0.072615,-0.759727,-0.11019,0.413897,0.24836,-2.971818,0.030669,0.823668,-0.024759,0.666479,2
0.07036,-0.692555,-0.095459,0.328299,0.237421,-2.979921,0.040203,0.754955,-0.0362,0.759373,2
0.067057,-0.610988,-0.008952,0.014615,0.029731,-1.825749,0.054233,0.237132,-0.019365,1.142499,1
0.077417,-0.727567,-0.071139,0.196599,0.209272,-2.968686,0.037721,0.646155,-0.04806,1.122772,1
0.08865,-1.175623,0.002148,-0.257586,0.135505,-2.402077,0.051557,0.622922,-0.045642,1.27693,2
0.077155,-0.665745,-0.105777,0.479499,0.25526,-3.11883,0.031231,0.734889,-0.030086,0.647874,2
0.08654,-0.675319,-0.029451,0.118296,0.011455,-1.626773,0.082574,0.102515,-0.064742,1.295708,1
0.070598,-0.760719,-0.08365,0.310684,0.234699,-3.074757,0.029136,0.67691,-0.043061,1.100465,2
0.049134,-0.308178,-0.011386,0.014711,0.033298,-1.843487,0.052627,0.15709,-0.0241,1.116435,2
0.06597,-0.816173,-0.114379,0.338586,0.226095,-2.774542,0.038207,0.670585,-0.042893,1.112789,2
0.063244,-0.734211,-0.142866,0.467619,0.223225,-2.622572,0.03814,0.706629,-0.048007,1.017474,2
0.066507,-0.371584,-0.159926,0.826601,0.247524,-2.893855,0.025237,0.601662,-0.042185,0.627271,2
0.072744,-0.838001,-0.010759,-0.153101,0.029208,-1.692472,0.06951,0.221591,-0.040682,1.438285,1
0.070428,-0.881896,-0.062582,0.093895,0.235899,-3.044357,0.034578,0.638065,-0.035143,1.175047,2
0.090323,-0.871391,-0.024024,-0.083002,0.171411,-2.793147,0.059908,0.607914,-0.061448,1.150247,1
0.073881,-0.680138,-0.009387,0.002372,0.18173,-2.992719,0.037392,0.452928,-0.037557,1.172873,2
0.060548,-0.657828,-0.172044,0.54393,0.211938,-2.280188,0.036553,0.842738,-0.027873,0.576182,2
0.068371,-0.7567,-0.123258,0.231538,0.20799,-2.492784,0.046077,0.795039,-0.040041,0.852412,1
0.057838,-0.209175,-0.188682,0.967996,0.230847,-2.624148,0.023488,0.660062,-0.040733,0.419704,2
0.074043,-0.746755,-0.019641,-0.06454,-0.019343,-1.336982,0.084571,0.012699,-0.047214,1.489596,1
0.066624,-1.30157,-0.102456,-0.024563,0.199026,-2.067074,0.033203,0.917897,-0.007104,0.897209,2
0.068359,-0.54623,-0.142215,0.45464,0.218698,-2.583945,0.034389,0.88076,-0.029297,0.486497,1
0.07598,-0.666328,-0.05341,0.126232,0.201165,-2.988721,0.04045,0.589365,-0.058969,1.203158,1
0.094715,-1.167059,0.003172,-0.314742,0.115824,-2.304604,0.065228,0.518017,-0.053398,1.385457,1
0.090854,-1.024933,0.002904,-0.209748,0.113561,-2.407572,0.054202,0.469011,-0.044385,1.364816,1
0.08595,-0.861017,-0.009067,-0.066577,0.192393,-2.978178,0.044517,0.568527,-0.053676,1.164442,2
0.085014,-0.911751,-0.029782,-0.068012,0.215254,-3.031914,0.049749,0.611515,-0.050968,1.156229,1
0.072131,-1.037866,-0.113303,0.235602,0.229391,-2.599505,0.041594,0.755469,-0.027519,0.947968,2
0.079707,-0.889425,-0.022559,-0.027427,0.222616,-3.109684,0.04315,0.708291,-0.054498,1.072888,2
0.074859,-0.714035,-0.019196,0.016568,-0.021104,-1.358459,0.066501,0.119781,-0.018602,1.220943,1
0.080542,-0.793265,-0.08115,0.216939,0.23175,-2.991468,0.041443,0.710541,-0.036458,0.875587,1
0.081854,-0.733428,-0.017962,-0.035253,0.07527,-2.119826,0.06843,0.353347,-0.061414,1.272974,1
0.078919,-0.687844,-0.107606,0.323641,0.231067,-2.86216,0.036164,0.827572,-0.034522,0.663299,1
0.092376,-1.090088,0.001063,-0.308408,0.136385,-2.490821,0.064905,0.479478,-0.062156,1.467216,1
0.061395,-0.621306,-0.127312,0.543654,0.223852,-2.873724,0.035681,0.582502,-0.044058,1.084917,2
0.079035,-0.596842,-0.015724,0.113887,0.179084,-2.983464,0.037144,0.524783,-0.053555,1.03435,2
0.070752,-0.914003,-0.106358,0.303818,0.237779,-2.827185,0.037782,0.727199,-0.037534,1.004725,2
0.095635,-0.728692,-0.017285,0.082755,0.10601,-2.437148,0.058233,0.419399,-0.057331,1.081398,1
0.07327,-0.35603,-0.023073,0.241172,0.149974,-2.848378,0.033833,0.43818,-0.060965,1.034366,2
0.062004,-0.250433,-0.194719,0.922524,0.225117,-2.463181,0.024206,0.690397,-0.023913,0.240964,2
0.06576,-0.579341,-0.158769,0.684034,0.233883,-2.742361,0.033419,0.639899,-0.050971,0.906706,2
0.056006,-0.316724,-0.016598,0.102857,0.084884,-2.24419,0.05796,0.268937,-0.072251,1.201965,2
0.064685,-0.644896,-0.170908,0.659028,0.229319,-2.546173,0.03151,0.74293,-0.032712,0.715405,2
0.067936,-0.078342,-0.058888,0.556793,0.19929,-3.148782,0.025778,0.421145,-0.055784,0.70144,2
0.068258,-0.484991,-0.123612,0.396855,0.214415,-2.677047,0.046403,0.752982,-0.043834,0.603564,1
0.09489,-0.892476,-0.004192,-0.090788,0.071533,-2.122603,0.057979,0.326051,-0.053864,1.369024,1
0.09317,-0.883589,-0.005835,-0.118799,0.047622,-1.919592,0.0605,0.204496,-0.04079,1.415152,1
0.086012,-0.620654,-0.032546,0.162465,-0.003962,-1.537373,0.081551,0.0885,-0.072527,1.339527,1
0.065488,-0.53956,-0.107671,0.479738,0.224919,-2.970494,0.042094,0.584055,-0.064142,1.052456,2
0.06857,-0.834862,-0.17276,0.557944,0.220615,-2.281403,0.016332,0.986401,-0.003857,0.453948,2
0.069741,-0.858978,-0.152317,0.48374,0.229575,-2.53009,0.036239,0.723928,-0.02878,0.859356,2
0.096389,-0.774808,-0.011396,0.018574,0.146086,-2.735917,0.049201,0.499996,-0.045416,1.020699,1
0.077562,-0.873175,0.000472,-0.130837,0.131521,-2.565997,0.036916,0.54631,-0.030955,1.233125,2
0.073167,-0.997226,-0.072693,-0.016878,0.194842,-2.559,0.054997,0.732697,-0.054641,1.183369,1
0.083488,-0.912345,-0.005002,-0.088398,0.081916,-2.171933,0.045648,0.418104,-0.024912,1.245441,2
0.071312,-0.577457,-0.014707,0.065049,0.162869,-2.911689,0.029358,0.546217,-0.044293,1.158165,2
0.096402,-0.959964,-0.007232,-0.212135,0.126928,-2.469208,0.074427,0.41665,-0.073235,1.389285,1
