@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute destClass {2,3,4,1}

@data
0.001968,-0.126907,2
0.000592,-0.038175,3
0.003415,-0.220239,4
0.002688,-0.17339,4
0.000452,-0.029174,2
0.00333,-0.214779,4
-0.000163,0.010489,1
-0.000939,0.060589,1
0.003086,-0.199044,4
0.001166,-0.075233,2
0.00078,-0.050325,3
0.002249,-0.145073,2
0.000197,-0.012735,3
-0.000319,0.020607,3
0.001815,-0.117074,3
-0.000783,0.050486,3
0.004595,-0.296355,4
0.003186,-0.20548,2
0.000794,-0.051199,2
0.005288,-0.341066,4
0.001343,-0.086618,3
0.001522,-0.098151,2
0.000633,-0.040838,3
0.003646,-0.235184,4
-0.000356,0.022962,3
-0.001798,0.115967,1
0.004111,-0.26517,4
-0.001044,0.067357,1
0.00119,-0.07676,3
0.001041,-0.067124,2
0.003961,-0.255486,4
0.000416,-0.026842,1
0.00344,-0.221856,4
0.001781,-0.114862,2
0.00102,-0.065771,3
0.00281,-0.181223,4
0.001832,-0.118192,2
0.004961,-0.319996,4
0.003706,-0.239028,4
0.002187,-0.141034,2
-0.003105,0.200253,1
0.002787,-0.179736,4
0.00182,-0.117388,3
0.001651,-0.106489,2
0.000778,-0.050165,2
-0.001014,0.065407,1
0.004747,-0.306175,4
0.003817,-0.246165,4
0.004679,-0.301771,4
0.002642,-0.170422,3
0.001489,-0.096015,2
0.004437,-0.286164,4
0.002825,-0.182225,2
0.004258,-0.274618,4
0.000831,-0.053583,3
0.00399,-0.257381,4
0.003072,-0.198148,2
0.004202,-0.271,4
-0.00121,0.078034,1
0.002671,-0.172309,2
0.000894,-0.057646,2
0.001593,-0.102736,2
0.003587,-0.231348,4
-0.000948,0.061146,3
0.000095,-0.0061,3
0.000767,-0.04945,3
-0.001684,0.108593,1
0.001404,-0.090533,2
-0.003598,0.232091,1
0.000641,-0.041334,3
0.003866,-0.249357,4
0.001637,-0.105582,2
0.002872,-0.185255,4
0.0045,-0.290276,4
0.003114,-0.200855,4
0.000763,-0.049187,2
0.00331,-0.213469,4
-0.001248,0.080471,1
0.001478,-0.095353,3
-0.000227,0.014616,3
