@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute destClass {2,3,4,1}

@data
0.053186,-0.41637,-0.152616,-0.338221,0.275292,-0.762488,-0.058345,0.647439,-0.054161,0.419674,-0.001572,-0.007078,-0.018369,0.046835,0.001281,-0.08604,-0.330351,2.614433,0.217745,-1.71073,2
0.059232,-0.613546,-0.031622,0.195558,-0.014428,0.004133,0.02914,0.035334,-0.038216,0.179725,0.060108,1.198755,-0.112073,-0.765945,-0.144189,0.328568,0.275921,-1.142576,0.067274,-0.326881,3
0.052834,-0.449258,-0.042484,0.359411,0.013042,-0.063085,-0.178205,0.16257,0.365829,-2.09362,-0.184557,1.839777,0.191625,-2.267824,-0.180077,2.073092,-0.023977,0.165316,0.078673,-0.282586,4
0.031821,-0.480458,0.036288,-0.112394,-0.016024,0.243294,-0.118604,-0.59546,0.205197,-0.008789,-0.084731,0.59277,0.02337,-0.09478,0.092068,-1.371242,-0.213053,2.024832,0.072623,-0.371499,4
0.024981,-0.238831,-0.019168,0.193849,0.055982,-0.282481,0.003285,-0.044711,0.010828,-0.184781,0.004823,-0.013313,-0.168042,0.554684,0.408469,-2.30103,-0.116705,2.211576,0.220564,-2.445056,2
0.05642,-0.401392,-0.004567,0.004868,-0.190382,0.349316,0.375349,-2.153,-0.163864,1.705431,0.00171,-0.015495,-0.026201,0.104003,-0.198825,0.430306,0.357475,-1.795524,-0.058967,0.882602,4
0.053277,-0.583149,-0.038352,0.243555,0.052447,-0.324554,0.028884,-0.212861,0.057619,-0.225181,0,1.563316,0,-1.601372,-0.260826,2.397958,0.186602,-1.91024,0.0882,-0.354583,1
0.03534,-0.34672,-0.014222,0.086941,-0.073056,0.462997,-0.012493,-0.054226,-0.06888,1.211646,0.212693,-1.979482,-0.00879,0.050727,0,1.704579,0.055372,-1.891301,0.062736,-0.377351,1
0.047706,-0.537452,-0.01192,0.022429,0.006562,0.001316,0.011341,0.071322,0.021181,-0.017562,0.011329,-0.002945,-0.178816,0.054581,0.321833,-1.325247,-0.306355,1.165358,0.171597,0.001467,4
0.06508,-0.553267,-0.11901,-0.546169,0.185359,-0.075107,-0.092869,0.839878,-0.032197,0.16723,-0.054861,0.426628,0.184949,-0.257897,-0.303314,1.205552,0.116501,-0.954649,0.053211,-0.269287,2
