@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute destClass {2,3,4,1}

@data
0.118261,-0.569262,0.048114,-0.089954,-0.335694,-0.142048,0,-1.680129,0.35788,0.109272,-0.195361,1.985688,0.025785,-0.17877,-0.078212,0.616451,0.048814,0.001708,0.12025,-0.468868,0.024564,-0.182844,0.017068,0.10154,0.03704,-0.327208,0.030639,-0.042284,0.013059,-0.251917,0.388926,-0.415491,0,1.660086,-0.477174,0.069507,0.456133,-1.955932,0.269618,-0.454322,2
0.220417,-1.018661,0.093706,-0.302925,-0.093238,0.180854,-0.01396,0.071898,-0.071849,0.057071,-0.018306,0.003152,0.022159,0.267153,-0.001553,0.185163,-0.032953,-0.007492,0.409302,-0.347266,0,1.699656,-0.874168,2.185305,0,-1.699885,0.365735,-1.865658,0.106692,-0.194653,0,-1.699885,0.777038,-1.376119,-0.459187,2.18997,-0.075171,0.203163,0.380081,-0.72958,3
0.188544,-0.77364,0.086864,-0.231015,-0.020697,0.243458,-0.042074,-0.002904,-0.097647,0.31618,-0.021037,0.124906,-0.34248,0.049658,0,-1.605849,0.566164,-1.039685,0,1.564668,-0.224512,0.889672,-0.326031,-0.300834,0,-1.605849,0.452931,-0.096079,0,1.564668,0.139596,-0.508683,0.044447,0.020032,-0.01076,-0.132642,-0.06676,0.202846,0.341694,-0.441436,4
0.090094,-0.567773,0.142819,-0.656688,0.073498,-0.195601,0.060925,0.073358,0.021475,0.038032,-0.090885,0.276328,0,-1.650369,0.606265,-2.499141,0,1.744717,-0.382624,1.927627,0.011362,-0.085804,0.079071,-0.318699,-0.069578,0.17586,-0.186721,0.441221,0,-1.650369,0.77602,-1.327028,-0.44484,2.229248,0.002553,-0.114669,0.05135,-0.217094,0.26644,-0.411192,4
0.192802,-0.69425,-0.056898,0.136116,0.057661,0.004536,-0.073082,0.087857,-0.00381,-0.012789,-0.080375,0.401168,0.026108,-0.021028,0.023684,-0.151094,0.061186,-0.38678,0.003992,-0.017282,-0.028451,0.09522,0.045307,0.078,0.069582,-0.446881,0,-1.756405,0.910302,-2.262128,0,1.783656,0,1.783656,-0.809157,2.626528,0,-1.756405,0.643559,-1.99005,2
0.200481,-0.781383,-0.007604,0.11837,0.007386,-0.043405,0.05284,-0.235272,-0.334575,0.499137,0,-1.652534,0.697077,-1.884893,0,1.60049,-0.102397,0.772851,0.062828,-0.2139,0.050435,-0.111568,0.041288,-0.10362,-0.039962,0.006689,0.021308,-0.058516,-0.366114,0.306557,0,-1.652534,0.836492,-2.117252,0,1.60049,-0.399525,1.471675,0.252972,-0.226312,4
0.202974,-0.982242,0.025031,-0.130197,-0.070858,0.240748,-0.092278,0.065831,0.089037,-0.218041,-0.157836,0.387156,0.055476,-0.056425,-0.090355,0.164276,-0.007533,0.149692,0.195556,0.715904,0,1.563316,-0.723357,1.261917,0,-1.601372,0.813777,-2.05347,0,1.563316,-0.452098,0.056322,0.302791,-2.005093,-0.109841,0.351678,-0.040018,-0.012741,0.297971,-0.261997,1
0.216997,-0.834288,-0.076954,0.138678,-0.04931,0.216939,0.12738,-0.229904,-0.044291,0.141181,-0.020963,-0.151831,0.031563,-0.18116,0.216453,-0.483036,0,1.704579,0,-1.688268,0.278742,-0.868362,-0.042738,0.152088,-0.04487,0.144539,0.424422,-0.236202,0,1.704579,-0.775508,2.5124,0,-1.688268,0.433779,-2.154665,-0.045506,-0.171978,0.297371,-0.516449,1
0.25781,-1.025529,0.092373,-0.471939,-0.050473,0.069805,0.036499,-0.05954,0.108952,-0.346859,0.019768,-0.017854,0.004829,0.15594,-0.01508,0.098214,-0.030331,0.198422,-0.08181,0.303748,0.028064,0.184131,0.051222,-0.185371,-0.226489,-0.816621,0,-1.64708,0.46487,-0.097513,0,1.607011,-0.612849,0.911347,0,-1.64708,0.46487,-0.097513,-0.064952,1.606166,4
0.269552,-1.086784,0.049219,-0.064972,-0.167638,-0.831543,0,-1.557976,0,1.508867,-0.16778,1.7885,0.087326,-0.09462,0.028955,-0.078778,0.051827,-0.163399,0.069034,-0.14605,-0.120838,0.399516,-0.004228,-0.206703,0.249118,0.595433,0,1.508867,-0.43812,0.048465,0,-1.557976,0.165953,-0.481513,-0.00113,0.053855,0.085711,-0.257917,0.309728,-0.641354,2
