@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute destClass {2,3,4,1}

@data
0.036551,-0.862086,-0.00716,0.192947,-0.009535,0.235676,2
0.006894,-0.241203,-0.019584,0.648462,0.041354,-1.01049,3
0.004255,-0.095336,0.005683,-0.477344,-0.018018,0.740329,4
0.000967,-0.117848,0.02223,-0.381187,0.019181,-0.389132,4
0.003752,-0.077076,-0.000326,-0.03499,-0.000805,0.055054,2
-0.03963,0.404735,-0.038607,1.246543,0.037719,-0.770196,4
0.004863,-0.215157,-0.021695,0.652146,0.003296,-0.152576,1
0.000463,-0.060248,-0.012184,0.271928,-0.038704,0.848201,1
0.011674,-0.307919,-0.021428,0.370011,0.039181,-0.684576,4
0.041686,-0.939632,0.012784,-0.11654,-0.00771,0.054373,2
0.033929,-0.344115,0.045177,-1.346399,0.050486,-1.05685,3
-0.024087,0.21345,0.010274,-0.000308,-0.037098,0.875134,2
-0.012738,0.299643,0.00352,-0.075784,0.02988,-0.65198,3
-0.04427,0.952369,0.027938,-0.604022,0.006152,-0.112456,3
-0.00947,0.151245,-0.04,0.516761,-0.020026,0.797359,3
0.025849,-0.397338,-0.016256,0.179041,0.012646,-0.26533,3
0.002306,-0.136538,0.027457,-0.516542,0.063878,-1.312497,4
-0.03447,0.155517,-0.021601,1.164518,0.008537,-0.290981,2
0.003949,-0.109262,0.024836,-0.579776,-0.037383,0.868194,2
-0.028584,0.109532,-0.039313,1.297801,0.057717,-1.167523,4
0.013765,-0.328361,-0.045877,0.94114,0.043411,-0.856192,3
-0.03499,0.355704,0.028308,0.188852,0.042037,-1.260301,2
0.005504,-0.153338,-0.063976,1.044338,-0.028065,0.924325,3
0.054381,-1.187831,0.019124,-0.428558,0.005178,-0.062707,4
-0.043575,0.942614,0.020249,-0.46747,0.008105,-0.133832,3
0.003671,-0.058506,0.042995,-0.566643,0.008993,-0.546016,1
0.006162,-0.153963,0.019415,-0.535064,0.03974,-0.685228,4
0.035921,-0.504734,0.060199,-1.394961,-0.010286,0.072989,1
-0.001663,-0.010173,-0.034127,0.488508,-0.021296,0.722379,3
-0.023427,0.171778,0.034103,-0.006343,0.027199,-0.941357,2
-0.00156,-0.023726,-0.009965,-0.132824,-0.007286,0.553703,4
0.01089,-0.296005,-0.039709,0.783624,-0.010051,0.32466,1
-0.012576,0.087588,-0.012203,0.102125,-0.027334,0.915207,4
0.010075,-0.2812,0.045399,-0.921131,-0.035085,0.770643,2
0.02007,-0.345456,-0.055129,0.806492,0.013201,-0.01404,3
0.008072,-0.219399,0.001442,0.040099,0.060879,-1.3019,4
0.048462,-1.094591,-0.008903,0.373123,0.029354,-0.748703,2
-0.011424,-0.203126,-0.023974,0.785413,-0.005813,0.299282,4
0.007977,-0.235934,-0.002171,-0.011018,0.043234,-0.785359,4
0.004238,-0.157903,0.009207,-0.413294,-0.0531,1.403405,2
0.00895,-0.16874,-0.040637,0.850002,-0.042116,0.863586,1
0.009034,-0.174146,-0.038392,0.369858,-0.004548,0.511325,4
0.001628,-0.069124,-0.037687,0.684876,0.036895,-0.633342,3
-0.026809,0.103946,-0.008225,0.835222,-0.00396,-0.0959,2
0.024888,-0.617466,-0.058124,1.232999,0.009078,-0.11874,2
-0.032889,0.640202,0.004768,-0.100802,-0.036206,0.829448,1
0.005675,-0.229438,0.011391,-0.334887,0.025305,-0.325804,4
0.011576,-0.28826,-0.034343,0.298198,-0.013295,0.742492,4
0.05002,-1.177503,-0.014453,0.145393,-0.01261,0.527371,4
-0.018331,0.317099,0.031317,-0.704342,0.004069,0.040057,3
-0.018107,0.024763,-0.011543,0.796877,0.017395,-0.546739,2
0.011479,-0.671737,-0.037909,1.163929,0.006739,-0.074538,4
0.006836,-0.222298,0.02932,-0.769803,-0.044861,1.17326,2
0.006666,-0.197137,-0.019679,0.007062,-0.01411,0.75758,4
0.025429,-0.168318,0.032284,-1.435918,-0.03071,1.015665,3
0.008389,-0.243222,0.028106,-0.568205,0.043242,-0.865767,4
0.003054,-0.178088,-0.01184,0.00131,-0.040177,1.206093,2
0.053886,-1.220617,0.001953,-0.029781,0.023928,-0.450205,4
0.034764,-0.440117,0.047377,-1.35452,-0.041857,0.924158,1
0.007468,-0.233118,0.043136,-0.917055,-0.022106,0.549657,2
0.005207,-0.084631,-0.049488,0.503854,-0.065177,1.876151,2
-0.034214,0.245809,-0.034801,1.176037,-0.041702,0.931699,2
-0.001882,0.020185,0.029228,-0.667558,0.045281,-0.876381,4
-0.025988,0.696827,0.031334,-0.814922,0.005851,-0.107264,3
-0.032684,0.67881,-0.037599,0.446506,-0.034294,1.087705,3
-0.00796,0.184984,0.005507,-0.139103,0.025622,-0.528771,3
-0.016911,0.342854,0.041675,-0.527594,0.015037,-0.642144,1
0.013321,-0.339655,-0.025414,0.251428,-0.059476,1.585767,2
-0.043498,0.933375,-0.019875,0.651225,0.031241,-0.888026,1
0.031741,-0.482362,-0.017197,0.118828,0.048239,-0.975426,3
0.011274,-0.264476,-0.034714,0.404506,0.02622,-0.203532,4
0.028657,-0.711787,0.009672,0.123426,0.041078,-1.091285,2
0.004564,-0.06632,0.056668,-1.177545,0.039613,-0.876912,4
0.043389,-0.957241,-0.006003,0.043384,0.046838,-0.875971,4
0.007729,-0.194547,-0.043792,0.485074,-0.016045,0.800542,4
-0.030124,0.365041,-0.011368,0.523874,-0.018097,0.3841,2
0.004358,-0.106738,0.058081,-1.216314,0.022202,-0.456306,4
0.007681,-0.199128,-0.045783,0.96542,-0.01536,0.353347,1
0.008618,-0.241417,-0.048022,1.035537,0.054959,-1.123785,3
0.035719,-0.492297,-0.003893,-0.208638,0.036707,-0.762526,3
0.003793,-0.162268,0.042069,-0.572457,0.011506,-0.470035,1
0.005348,-0.192604,-0.061697,0.849453,-0.025001,1.050632,3
0.004466,-0.184145,0.003059,0.268278,0.014107,-0.538577,1
-0.010347,0.022954,0.026027,-0.426711,-0.039128,0.905986,2
0.022805,-0.432385,0.010066,-0.242509,0.008537,-0.207411,2
0.000271,0.018743,0.051288,-1.193549,0.005411,-0.022259,3
0.044464,-0.709291,0.066715,-1.228656,0.051104,-1.497969,1
-0.004397,0.066187,-0.032253,0.245169,-0.0333,1.160458,4
-0.025743,0.56543,0.038877,-0.403909,0.047931,-1.431273,1
0.006617,-0.191337,-0.014479,0.352849,0.048899,-1.025459,3
-0.027868,0.555952,0.006447,-0.178606,-0.012887,0.358061,1
-0.02408,0.13789,-0.009949,0.551465,0.03122,-0.609494,4
0.023155,-0.351151,0.015971,-0.569304,0.010594,-0.138654,3
0.006499,-0.170071,-0.0356,0.459324,0.03352,-0.384598,4
0.005294,-0.129062,-0.043177,0.856646,-0.013183,0.342502,1
0.0092,-0.257553,0.000017,-0.104157,0.000853,0.147029,4
0.042779,-0.984914,0.013793,-0.188829,-0.010639,0.189273,2
0.005942,-0.222382,-0.039693,0.831225,-0.04118,0.96395,1
0.004921,-0.154388,0.022822,-0.469849,0.032742,-0.647269,4
0.006069,-0.13436,0.012927,-0.485041,0.037897,-0.578295,4
-0.000583,-0.051655,-0.003144,0.109716,-0.000442,0.031282,3
-0.00198,0.007292,0.011505,-0.058275,-0.013596,0.13829,1
-0.038353,0.739802,-0.036419,0.795974,0.003645,-0.020956,1
0.003893,-0.148445,-0.030343,0.780794,-0.016779,0.275032,1
-0.007095,0.150214,-0.001968,0.040927,0.041993,-0.879064,3
-0.00026,0.009213,-0.06277,1.163066,0.026008,-0.394766,3
0.002219,-0.038356,0.039835,-0.969849,0.019279,-0.281125,4
0.039972,-0.885392,0.021662,-0.519131,-0.004191,0.178831,4
0.00939,-0.12384,-0.008081,0.022235,0.008498,-0.110845,1
0.008276,-0.267706,-0.040917,0.533303,-0.038724,1.231024,2
-0.017471,0.339935,-0.001069,0.036832,0.034368,-0.699568,3
0.039397,-0.899782,0.025994,-0.302307,0.008558,-0.369327,2
0.025846,-0.561069,-0.005223,0.108411,0.060765,-1.269287,4
0.005494,-0.235236,-0.004998,0.116781,-0.007698,0.269686,3
-0.000213,-0.097661,-0.057612,0.730763,-0.039836,1.420262,3
0.009771,-0.285653,0.013295,-0.408442,0.023341,-0.283587,4
0.006698,-0.221182,-0.024534,0.496884,-0.010143,0.310312,1
0.008916,-0.234778,-0.003075,0.286005,0.083376,-1.928226,3
-0.027596,0.547727,-0.002433,0.006478,-0.00576,0.212224,1
-0.039421,0.812455,-0.007996,0.155263,-0.042831,0.948002,1
0.001375,-0.13284,-0.037287,0.470581,-0.036537,1.185398,2
-0.000266,-0.044131,-0.032841,0.73362,-0.05256,1.110803,1
-0.038599,0.394003,-0.041394,1.122519,-0.005074,0.299322,4
