@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute slope21 numeric
@attribute intercept21 numeric
@attribute slope22 numeric
@attribute intercept22 numeric
@attribute slope23 numeric
@attribute intercept23 numeric
@attribute slope24 numeric
@attribute intercept24 numeric
@attribute slope25 numeric
@attribute intercept25 numeric
@attribute slope26 numeric
@attribute intercept26 numeric
@attribute slope27 numeric
@attribute intercept27 numeric
@attribute slope28 numeric
@attribute intercept28 numeric
@attribute slope29 numeric
@attribute intercept29 numeric
@attribute slope30 numeric
@attribute intercept30 numeric
@attribute slope31 numeric
@attribute intercept31 numeric
@attribute slope32 numeric
@attribute intercept32 numeric
@attribute slope33 numeric
@attribute intercept33 numeric
@attribute slope34 numeric
@attribute intercept34 numeric
@attribute slope35 numeric
@attribute intercept35 numeric
@attribute slope36 numeric
@attribute intercept36 numeric
@attribute slope37 numeric
@attribute intercept37 numeric
@attribute slope38 numeric
@attribute intercept38 numeric
@attribute slope39 numeric
@attribute intercept39 numeric
@attribute slope40 numeric
@attribute intercept40 numeric
@attribute slope41 numeric
@attribute intercept41 numeric
@attribute slope42 numeric
@attribute intercept42 numeric
@attribute slope43 numeric
@attribute intercept43 numeric
@attribute slope44 numeric
@attribute intercept44 numeric
@attribute slope45 numeric
@attribute intercept45 numeric
@attribute slope46 numeric
@attribute intercept46 numeric
@attribute slope47 numeric
@attribute intercept47 numeric
@attribute slope48 numeric
@attribute intercept48 numeric
@attribute destClass {2,3,4,1}

@data
1.215144,-1.621136,-0.134304,0.207002,0.284155,-0.542144,-0.000624,0.164949,0.134378,0.014149,-0.875756,-0.220536,0,-1.680129,0,-1.680129,0,-1.680129,1.670107,-2.236832,0,1.660086,0,1.660086,0,1.660086,-0.911685,1.963981,0.080438,-0.163412,-0.146985,-0.143046,0.039477,0.552569,0.127961,0.121733,-0.368733,0.475968,-0.213817,0.359155,-0.073025,0.351662,0.001695,-0.402164,-0.191806,0.190026,-0.381604,0.470191,0.526777,-0.625174,-0.008963,-0.00374,-0.081014,0.144247,-0.494163,0.369781,0.033982,-0.106586,0.188558,-0.2416,0.243823,-0.322976,-0.195086,0.114823,-0.149753,-0.100633,0.187344,-0.194908,-0.016606,-0.006717,0,1.660086,0,1.660086,0,1.660086,0,1.660086,-3.340215,1.660086,0,-1.680129,0,-1.680129,0,-1.680129,1.785165,-1.680129,0.571432,-0.264838,-0.146964,-0.075228,-0.466174,0.210745,2.218325,-0.278942,2
0.798321,-1.558733,-0.235331,0.044476,-0.115053,0.152859,0.028757,-0.171377,0.373354,-0.015788,-0.312797,0.018585,-0.227038,0.104253,0.13645,-0.015004,0.136887,-0.17918,0.255567,-0.141638,-0.0988,-0.292252,-0.133842,0.034434,-0.143909,0.106146,0.097714,-0.183092,-0.166666,0.440124,-0.191711,0.452907,-0.194138,0.613645,-0.088432,0.191497,0.042995,0.098249,-0.094339,0.013058,0.002817,-0.168506,-0.002887,-0.208495,0,1.699656,0,1.699656,0,1.699656,0,1.699656,-1.699771,1.133066,0,-1.699885,0,-1.699885,0,-1.699885,0.809761,-1.435043,0.129444,-0.338107,0.266305,-0.176041,-1.027609,0.012797,0,-1.699885,0,-1.699885,0,-1.699885,0,1.699656,0,1.699656,0,1.699656,0,1.699656,-0.287871,-0.129366,-0.089345,0.237819,0.131123,-0.221473,-1.19538,0.606164,-0.002396,-0.187478,0.521205,-0.6427,1.413487,0.525895,3
0.960229,-1.556143,-0.123219,0.284108,-0.014485,-0.152873,0.054936,-0.032012,-0.076275,0.194908,-0.085589,0.469809,-0.078419,0.161879,-0.066353,-0.006551,-0.151518,0.005557,0.431798,-0.176758,-0.092476,-0.181139,0.141954,-0.043105,0.123533,-0.046309,0.310517,-0.352038,-0.398251,0.257892,0,-1.605849,0,-1.605849,0,-1.605849,0,-1.605849,1.585258,-1.077429,0,1.564668,0,1.564668,0,1.564668,-0.827217,1.840407,-0.096115,0.29584,0.0707,-0.195962,0,-1.605849,0,-1.605849,0,-1.605849,1.585258,-2.134268,0,1.564668,0,1.564668,0,1.564668,-1.038378,1.21343,-0.437333,0.149513,0.271159,-0.02575,0.214829,-0.085929,0.445227,0.107316,0.7312,-0.323564,-0.49555,0.109052,0.523203,-0.425694,-0.107573,-0.12202,-0.296058,0.394461,0.078919,-0.122188,0.298915,-0.205324,-0.854902,0.3461,0.478483,-0.220517,1.276717,0.662665,4
1.324361,-1.654336,0.17041,-0.308872,0.263532,-0.835991,-0.106692,-0.272053,-0.19016,0.421358,-0.024258,-0.193357,0.186486,0.050974,-0.127551,0.173529,-0.209781,0.594539,0.031683,0.421689,-0.035124,-0.355133,0.018886,0.46991,-0.452997,0.478421,0.363861,-0.526655,0,-1.650369,0,-1.650369,0,-1.650369,0,-1.650369,0,1.744717,0,1.744717,0,1.744717,0,1.744717,0.148389,0.054004,0.257975,-0.461793,-0.237145,0.193957,-0.322642,0.151338,0.087329,-0.257101,-0.147281,0.411509,0.188115,-0.316665,0.229915,-0.030534,-0.095526,0.037658,-0.493737,-0.827474,0,-1.650369,0,-1.650369,0,1.744717,0,1.744717,0,1.744717,0,1.744717,-0.507763,0.115895,0.090516,-0.099761,-0.099734,-0.218258,-0.319609,0.157576,-0.072434,-0.113506,0.473108,-0.291869,0.687737,-0.404985,-0.454578,0.065136,0.583503,-0.034956,2.538601,-0.599219,4
1.381799,-1.618728,0.444864,-0.548851,-0.101347,0.306805,0.048426,-0.165807,0.239558,-0.310586,0.197445,-0.112666,-0.047939,0.350253,0.028369,-0.010021,-0.052951,-0.119927,0.105315,-0.32572,-0.047015,0.111228,0.24974,-0.165263,0.248872,0.101824,0.110046,-0.224152,0.051274,-0.098614,-0.283435,0.403099,0.008292,0.046904,0.167552,-0.397608,-0.416309,0.312695,0.002945,-0.220873,0.14745,-0.250629,0.25135,-0.179966,-0.129866,-0.045297,-0.004304,0.259854,0.184938,-0.346185,0.039537,0.051473,-0.375603,0.517928,-0.29139,0.27505,0.172182,-0.472886,-0.826711,-0.378553,0,-1.756405,0,-1.756405,1.770031,-1.166395,0,1.783656,0,1.783656,0,1.783656,0,1.783656,0,1.783656,0,1.783656,0,1.783656,0,1.783656,0,-1.756405,0,-1.756405,0,-1.756405,0,-1.756405,0,-1.756405,0.225302,-0.227913,2.422344,-0.482962,2
1.000651,-1.492237,-0.104092,0.066538,-0.156455,0.376306,0.133587,-0.066775,-0.024903,0.023928,0.253664,-0.208458,-0.147326,0.09911,0.018633,-0.32795,-0.335825,0.488168,-0.104888,0.130174,-0.201363,0.078277,0,-1.652534,0,-1.652534,0,-1.652534,0,-1.652534,0,1.60049,0,1.60049,0,1.60049,0,1.60049,-0.087169,0.275842,0.244239,0.120133,0.004494,-0.168039,-0.219276,0.174392,-0.468601,0.458708,-0.075297,0.255301,0.003473,-0.078631,-0.072584,0.14018,0.164989,-0.158881,-0.25686,0.13893,-0.180169,0.06704,0.222162,-0.179988,-0.054621,0.037032,-0.666413,0.018061,0,-1.652534,0,-1.652534,0,-1.652534,0,-1.652534,3.253024,-1.652534,0,1.60049,0,1.60049,0,1.60049,0,1.60049,0,1.60049,-0.161787,-0.027313,-0.428094,0.140352,0.142701,0.051254,-0.073265,0.151273,1.91654,0.022842,4
0.924976,-1.548502,0.18232,-0.50824,0.249334,-0.069477,0.053651,-0.341531,0.345082,-0.141525,-0.194147,0.187555,0.068325,-0.141735,-0.16941,0.058852,-0.153309,0.014249,0.163353,-0.577403,-0.040067,0.11276,0.026503,0.366113,0.124855,-0.118877,-0.357058,-0.029891,0.274527,-0.251272,-0.420718,0.439972,-0.398908,0.694873,0.096673,-0.213439,0.078217,-0.27233,0.047477,0.182681,0.143838,-0.097541,0.912597,0.042321,0,1.563316,0,1.563316,0,1.563316,0,1.563316,0,-1.601372,0,-1.601372,0,-1.601372,0,-1.601372,1.582344,-1.073924,0,1.563316,0,1.563316,-1.582344,2.090763,0,-1.601372,0,-1.601372,0,-1.601372,0,-1.601372,2.119539,-1.601372,-0.563128,0.593833,-0.424916,0.207515,0.250547,-0.201369,0.832573,-0.321913,0.431466,-0.487718,-0.623705,0.151104,0.072693,-0.036582,-0.606413,0.571893,1.518075,0.421307,1
1.263475,-1.728957,-0.036285,-0.045141,-0.028625,0.329642,-0.165792,-0.179477,-0.046731,-0.028515,-0.384934,0.657626,0.261517,-0.34957,-0.137008,0.077051,0.36848,-0.203042,-0.390693,0.670735,-0.475269,0.475812,-0.177837,0.008334,-0.07692,-0.127671,-0.819505,0.681125,-0.151498,-0.063872,-0.109552,0.111017,-0.348572,0.190654,0.127532,-0.107933,0.896764,0.209972,0,1.704579,0,1.704579,0,-1.688268,0,-1.688268,0.768583,-1.944463,-0.239927,0.425811,-0.139062,0.332336,-0.094271,0.023742,-0.047237,0.064067,-0.437632,0.601609,0.069436,-0.088203,1.002621,0.033544,0,1.704579,0,1.704579,0,1.704579,0,1.704579,0,-1.688268,0,-1.688268,0,-1.688268,0,-1.688268,0,-1.688268,0,-1.688268,0.349044,-0.008638,-0.277638,0.000873,-0.302276,-0.29905,0.036404,-0.287298,-0.121114,-0.073799,0.077625,-0.139832,2.046144,-0.106762,1
0.841193,-1.744609,-0.320253,0.66698,-0.033723,-0.338704,-0.489796,0.288974,-0.181433,0.188927,-0.620788,0.531358,-0.514201,0.492831,0.280005,-0.255906,0.197682,-0.09418,-0.280159,0.070147,0.822482,-0.643702,-0.004444,-0.173874,-0.062577,0.252732,-0.233937,0.29234,-0.289836,0.4493,-0.113234,0.154178,-0.036748,0.218485,0.010282,0.27565,0.387458,-0.349462,0.037339,-0.117625,-0.189241,0.335392,-0.120039,0.408628,-0.022262,-0.160748,-0.17664,0.352735,-0.018101,0.158323,-0.453454,0.561525,-0.00629,-0.041525,-0.895356,0.373655,0,-1.64708,0,-1.64708,0,-1.64708,1.627046,-2.189429,0,1.607011,0,1.607011,0,1.607011,0,1.607011,-2.116324,1.607011,-1.765967,0.118886,0,-1.64708,0,-1.64708,0,-1.64708,0,-1.64708,3.254091,-1.64708,0,1.607011,0,1.607011,0,1.607011,0,1.607011,1.644096,0.295286,4
0.839907,-1.605799,0.388718,-0.295805,0.242799,-0.050772,0.416143,-0.51659,0.189338,-0.061753,0,-1.557976,0,-1.557976,0,-1.557976,0,-1.557976,1.533421,-1.046836,0,1.508867,0,1.508867,0,1.508867,-0.782975,1.769858,-0.108302,0.041256,-0.038963,0.335724,-0.276756,0.464509,0.299815,-0.39621,-0.067917,0.200867,0.448821,-0.547476,0.223091,-0.187558,0.096907,-0.304231,-0.021938,0.456759,0.342398,-0.138927,-0.181416,0.067269,-0.153475,-0.006386,-0.088046,-0.062228,0.910336,-0.589636,0,1.508867,0,1.508867,0,1.508867,-1.533421,2.020007,0,-1.557976,0,-1.557976,0,-1.557976,0,-1.557976,2.165202,-1.557976,-0.402232,0.462726,0.131402,-0.05183,-0.444241,0.369241,-0.452921,-0.068739,-0.374796,0.488571,0.175735,-0.283825,1.094886,-0.480301,0.178441,-0.091325,0.418154,-0.482232,0.474595,-0.212532,2.584187,-0.644805,2
