@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute destClass {2,3,4,1}

@data
-0.079203,0.314452,-0.0072,0.683325,-0.013362,0.20612,-0.002991,-0.033473,-0.073905,1.037845,2
0.018688,-0.359762,0.018737,-0.170348,0.095687,-0.441176,0.020215,-1.240156,0.017507,0.076021,3
0.014968,-0.200968,-0.073815,0.476935,0.059021,-0.320865,0.123389,-1.605086,0.016513,-0.100961,4
0.03129,-0.483227,-0.100776,0.679734,-0.050761,1.287896,-0.03557,0.057929,-0.056896,1.116575,4
0.010418,-0.135274,0.002845,-0.021356,0.009773,-0.174257,0.06478,-0.961641,-0.139205,1.934901,2
0.008783,-0.152495,0.07456,-1.278939,-0.062212,1.136151,-0.068993,0.454493,0.047517,-0.154901,4
0.017858,-0.348245,0.008406,-0.12979,0.090531,-0.289712,0.108194,-1.736615,0.089967,-1.432597,1
0.010502,-0.197818,-0.019535,0.191926,-0.068868,0.908366,0.097509,-0.367579,0.104723,-2.089041,1
0.016132,-0.351802,0.007929,-0.009091,0.001475,0.068839,0.111633,-1.601691,0.081673,-0.841774,4
-0.070119,0.16498,-0.032077,1.060812,-0.003703,0.082046,-0.09944,1.361726,0.038778,-0.587553,2
0.002325,-0.138961,-0.157125,2.279162,0.056166,-0.938862,-0.047939,0.359873,0.148455,-1.584739,3
0.015305,-0.260236,-0.080747,0.110369,-0.081202,1.843779,0.082907,-0.405942,0.028821,-0.851526,2
0.092582,-0.846966,-0.025762,0.046103,0.00821,-0.117444,-0.001299,-0.359171,-0.04513,0.919972,3
-0.129733,1.947827,-0.009963,-0.671897,-0.013372,0.604318,-0.008791,0.120397,0.029511,-0.346291,3
0.039007,-0.229317,0.059806,-1.098174,0.002501,0.044305,0.134755,-1.748643,0.022674,-0.20246,3
0.014835,-0.217618,0.092545,-0.369822,-0.069865,-0.307019,-0.064703,1.128294,0.017537,-0.113199,3
0.012858,-0.239647,0.012174,-0.198625,0.063592,-0.956595,-0.122749,1.233821,0.110549,-0.794259,4
0.021847,-0.442363,0.106394,-1.687853,-0.069787,1.217932,-0.135731,1.789704,0.029257,-0.277168,2
0.018276,-0.254055,0.00521,-0.063599,-0.054699,0.022179,-0.029121,1.173523,-0.12293,1.412758,2
0.018729,-0.343982,0.118752,-1.800214,-0.042233,0.876926,-0.084713,0.376808,0.017668,0.537938,4
0.01835,-0.386892,-0.006156,0.192205,-0.080792,1.379165,0.031987,-1.423768,-0.058625,1.429742,3
0.016207,-0.216071,0.026115,-0.988401,-0.035344,1.235124,-0.12436,1.382038,0.018698,-0.179144,2
0.017127,-0.28519,0.010834,-0.040668,-0.188141,2.094924,0.068828,-0.683309,0.014933,-0.130509,3
-0.042226,-0.347082,-0.080971,1.894689,0.099956,-1.321452,0.004169,-0.047406,0.017302,-0.156606,4
-0.085971,1.523779,0.081956,-1.45293,-0.07542,0.319297,-0.074255,1.476244,0.022369,-0.224889,3
0.011294,-0.151188,-0.012939,0.1717,0.006356,-0.072607,-0.139055,1.86059,-0.032504,0.277106,1
0.012539,-0.222018,-0.002959,0.053855,-0.082559,0.305859,-0.171426,2.180807,0.008016,0.636361,4
0.024143,-0.431542,-0.121027,1.630893,0.010927,-0.243469,-0.114487,1.843329,0.085263,-1.359441,1
-0.002844,0.027667,0.014284,-0.257521,-0.120498,1.342783,0.047829,-0.424611,0.015094,-0.111624,3
0.008209,-0.234721,-0.014956,-0.348312,-0.04371,1.306889,-0.169372,2.028862,0.025858,-0.328084,2
0.010633,-0.160198,0.001929,-0.068948,-0.084693,0.400344,0.018763,0.403632,0.122979,-1.444967,4
0.019106,-0.379937,0.05907,-0.384625,-0.073159,0.590643,0.088921,-0.775757,0.043605,-0.769612,1
0.015704,-0.267473,-0.094544,0.453449,-0.034102,1.21295,0.079731,-1.058197,0.020998,-0.188078,4
0.013433,-0.330774,-0.03558,0.351542,0.147923,-1.693427,-0.01193,0.734044,0.092926,-1.646037,2
0.011458,-0.199377,0.087915,-0.447339,0.010619,-0.769914,0.136016,-1.937099,-0.017183,0.493426,3
0.024395,-0.38687,0.00087,0.008751,0.001683,0.044534,0.042892,-0.799728,0.096387,-0.944519,4
0.097679,-1.724085,-0.072616,1.287637,0.082496,-0.292481,0.060984,-1.476932,0.010092,-0.027063,2
0.033028,-0.540429,0.157006,-2.12616,-0.126776,1.056033,-0.094723,1.868352,0.017339,-0.081206,4
0.018342,-0.323405,0.008761,-0.124566,-0.084966,0.78859,-0.106519,0.900569,-0.018645,1.046652,4
0.018275,-0.316746,-0.003057,0.026962,-0.09066,0.351602,-0.004061,1.130234,-0.049287,0.417822,2
0.024748,-0.338877,-0.014248,0.200713,-0.046224,1.109018,0.155563,-1.714771,0.065572,-1.573723,1
0.010811,-0.18988,-0.006818,0.133696,-0.014515,0.07887,0.180055,-2.16943,0.088032,-1.072811,4
0.014535,-0.210219,-0.002617,0.009851,-0.061796,0.911972,0.087186,-1.741967,-0.06641,1.394145,3
0.018004,-0.338012,0.113251,-1.65283,-0.039991,0.678094,-0.141794,2.202038,0.082746,-1.29198,2
0.116695,-1.554402,0.001042,-0.060984,-0.150008,2.294969,0.071408,-1.281519,0.023115,-0.176201,2
0.100892,-0.579687,0.083899,-1.881423,-0.002717,0.03848,0.078152,-0.310659,0.030255,-0.897725,1
0.030214,-0.483568,0.005098,-0.136199,-0.102946,0.663404,-0.040493,0.784451,-0.041641,1.044018,4
0.019921,-0.371211,0.003883,0.033546,-0.073249,0.496318,0.034911,-0.29098,0.059762,-0.433025,4
0.090325,-1.728971,-0.069093,1.295585,-0.073452,0.70906,0.020362,-0.008365,0.027764,-0.216121,4
0.05197,-0.525403,-0.041337,0.278667,0.133273,-1.793753,-0.006499,0.16873,0.015176,-0.03552,3
0.009361,-0.184441,0.137629,-1.772651,-0.019634,0.294579,-0.110329,1.359181,0.008369,-0.014115,2
0.111002,-1.515776,0.182169,-2.371556,-0.02434,0.388025,-0.002271,0.078233,0.021204,-0.175963,4
0.028423,-0.452408,-0.001882,-0.006253,-0.029539,-0.40229,-0.030797,1.462288,-0.048678,0.429571,2
0.016077,-0.28401,0.007284,-0.08895,0.070417,-1.039215,0.176033,-2.187743,-0.028612,0.584925,4
0.015953,-0.206172,-0.158514,2.195662,-0.031618,-0.478794,0.028696,0.277419,0.020101,-0.220832,3
0.018046,-0.344724,0.004184,-0.012051,-0.013243,-0.319445,-0.152423,1.988646,0.068641,-0.37748,4
-0.008033,-0.082533,0.000926,0.024442,-0.088982,0.585753,0.014506,0.336467,-0.069574,1.025336,2
-0.068889,-0.124133,-0.089572,2.012512,-0.000396,-0.024792,-0.01148,0.189861,0.106715,-1.258179,4
0.01205,-0.283161,-0.132649,1.868077,0.04721,-0.824529,0.017714,0.571502,0.100169,-1.888075,1
0.015731,-0.306419,-0.033354,0.199926,0.144718,-1.601326,-0.000316,0.406313,0.081675,-1.304157,2
0.027283,-0.307204,-0.00237,0.043682,-0.055786,0.367472,0.13363,-1.376138,-0.077762,0.959753,2
0.014695,-0.296098,0.082654,-1.390152,-0.057716,1.081591,0.088977,-0.366989,0.045308,-1.202318,2
0.012463,-0.116164,0.009262,-0.180305,-0.035406,-0.199404,-0.170703,1.98235,-0.046332,1.39747,4
0.088678,-0.639618,-0.08752,0.681013,0.045046,-0.772215,-0.033757,0.498992,0.005333,0.009585,3
0.105213,-0.849273,-0.04167,-0.012446,-0.006334,0.10438,0.091539,-1.129517,0.015049,-0.160619,3
0.049793,-0.620293,-0.095895,1.193318,0.005317,-0.099843,-0.076843,0.585724,0.00597,0.336816,3
0.041294,-0.404003,-0.067,0.652158,0.004361,-0.013607,-0.177322,2.273404,0.002412,-0.054764,1
0.015623,-0.361448,0.004117,0.045326,-0.026226,0.175383,0.153615,-1.170299,0.061259,-1.293805,2
0.08573,-0.257829,0.082667,-1.8402,0.068712,0.009404,0.073998,-1.828273,0.009415,-0.089633,1
0.017283,-0.270353,0.079144,-0.15966,0.045234,-1.422341,-0.070417,0.550696,0.1145,-1.020148,3
0.011056,-0.276135,-0.013687,0.251598,0.002799,-0.007875,0.175136,-2.528472,0.033496,-0.04911,4
-0.055691,0.174285,-0.000357,0.350217,0.083644,-0.436461,-0.01426,-0.358059,0.021343,-0.163464,2
0.014114,-0.156599,0.003001,0.00947,0.142265,-2.173468,-0.100884,1.452227,0.125913,-1.436746,4
0.094141,-1.552149,-0.047605,0.90626,0.001007,-0.02931,0.021019,-0.875337,-0.066335,1.522686,4
0.020303,-0.33577,-0.003633,0.073366,-0.033075,0.269469,0.124908,-1.437672,0.092565,-1.082741,4
0.017865,-0.203256,-0.012899,-0.455477,-0.088592,1.733213,0.035782,-0.345831,-0.049368,0.486499,2
0.021483,-0.268632,-0.057896,0.336108,0.161996,-1.647475,-0.011744,0.088785,0.084942,-0.993538,4
0.026261,-0.396591,0.051955,-0.349201,-0.12422,1.28692,0.090547,-0.624038,0.078228,-1.451709,1
0.008263,-0.238385,-0.001132,0.047832,-0.069639,1.402027,0.009361,-0.954996,0.139167,-1.331729,3
0.015355,-0.224071,0.048541,0.225913,0.085637,-1.891321,-0.06936,0.506859,0.061394,-0.386975,3
0.014422,-0.258156,0.002206,-0.129678,0.05272,-0.545875,-0.0789,0.888233,-0.13889,1.90099,1
0.002443,-0.155304,0.002134,-0.054358,-0.116194,1.301555,0.16342,-1.872054,0.018041,-0.092889,3
0.018984,-0.330337,0.008345,-0.158906,0.093044,-0.431104,0.010183,-0.74407,-0.078384,1.012268,1
0.012896,-0.296202,-0.092991,0.525151,-0.007112,0.739535,0.066438,-0.456695,-0.080082,0.748858,2
0.103315,-1.421721,-0.091746,1.256654,-0.007565,0.140395,-0.0008,-0.013023,0.023443,-0.295387,2
0.020393,-0.298161,-0.070563,0.808157,0.103543,-1.600027,-0.056286,1.002987,0.017638,-0.096998,3
0.030688,-0.500599,-0.031149,0.800466,0.11432,-1.564367,-0.11561,1.221605,0.016314,-0.139143,1
0.007061,-0.041422,-0.013278,-0.019118,0.014731,-0.20488,0.141676,-1.655676,0.015838,-0.154254,4
0.001341,0.42054,0.064782,-1.255911,0.050733,-0.346078,-0.094404,0.905823,0.022559,-0.28701,1
0.017582,-0.305184,0.00317,-0.029528,0.091141,-0.554811,-0.003076,-1.02631,0.04939,-0.06176,3
-0.094025,1.287352,0.026579,-0.557838,0.01448,-0.223615,-0.080215,1.09104,0.031672,-0.328081,1
0.039719,-0.591302,-0.009011,-0.547999,-0.085131,1.751338,-0.022772,0.253303,0.141519,-1.669388,4
0.022813,-0.259759,0.078638,-0.383313,0.118486,-2.509667,-0.044627,0.838524,0.028691,-0.235795,3
0.027972,-0.408827,0.003524,0.043942,-0.019009,0.097062,-0.009404,-0.36694,0.121167,-0.918357,4
0.016857,-0.263032,-0.007905,0.123431,-0.09957,1.510523,-0.01514,-0.112115,0.02315,-0.226209,1
0.019834,-0.358647,0.002066,-0.04145,-0.093736,0.829111,-0.018367,0.702189,0.100884,-1.264716,4
-0.070137,0.224802,0.018007,0.369248,0.003198,-0.141782,-0.092284,1.448527,0.066207,-0.963192,2
0.022533,-0.387516,0.001622,-0.079615,-0.053472,1.086648,0.125282,-1.178381,0.103712,-1.9371,1
0.011402,-0.225688,-0.089584,0.567795,-0.059022,1.322908,-0.063794,0.447682,0.051087,-0.238803,4
0.018461,-0.282675,-0.030167,0.322972,0.130952,-1.591752,0.079176,-1.576555,-0.05929,1.388846,4
-0.00842,0.004478,-0.003422,0.069662,0.001495,0.027025,-0.048087,0.802195,0.13737,-1.890069,3
0.007456,-0.087517,0.000129,-0.073359,0.061531,-0.5121,0.012433,-0.21834,-0.121062,1.385242,1
0.070427,-0.231572,0.117765,-2.111342,-0.140543,1.602202,-0.012345,0.19217,-0.000901,0.118503,1
0.011893,-0.244287,-0.005757,0.046478,0.024964,0.463866,0.173853,-2.178478,0.090197,-1.776927,1
-0.057105,0.690051,0.008305,-0.11634,-0.012035,0.212204,-0.008449,-0.510177,-0.066203,1.417859,3
0.029493,-0.282841,0.018143,-0.258936,-0.170539,2.150478,0.10215,-1.757722,-0.051119,1.04742,3
0.00788,-0.077962,-0.039721,0.249135,0.171451,-1.959015,0.093838,-1.308926,-0.008518,0.285141,4
0.165897,-2.164753,-0.002004,0.06525,-0.08889,0.420058,-0.09415,1.868393,0.009186,-0.064432,4
0.100028,-0.874422,0.158762,-1.732202,0.10125,-2.037184,-0.007954,0.121227,0.020462,-0.134266,1
0.003701,-0.21188,0.004736,-0.042124,-0.016314,0.211433,0.165414,-2.029251,-0.090088,1.228707,2
0.089005,-0.786699,-0.007467,-0.320247,-0.007183,0.161867,-0.032218,0.192968,0.097253,-0.99025,3
-0.073759,0.156974,-0.060373,1.447679,-0.006667,0.061747,-0.148899,1.956598,0.037242,-0.467285,2
-0.0556,0.311848,0.00755,0.294015,-0.016948,0.19357,-0.091767,0.337382,-0.011734,0.969422,4
0.011199,-0.307961,-0.000358,0.007603,0.001101,0.00106,0.020389,0.248463,0.166824,-2.438604,3
0.022404,-0.347913,-0.005712,-0.052055,-0.151124,1.53552,0.114459,-1.004088,0.023208,-0.171891,3
0.014545,-0.334485,0.006082,-0.017753,0.126035,-1.699741,0.070592,-1.039678,-0.032984,0.788284,4
0.016718,-0.323331,-0.00609,0.006687,0.005613,0.406993,0.070733,-1.356974,-0.072603,1.086997,1
0.021353,-0.361908,-0.000094,0.02377,0.087661,-0.459799,-0.035604,-0.604433,0.124214,-1.066747,3
-0.014214,0.540609,0.069176,-1.324745,-0.006285,0.059459,-0.001,0.230344,0.072515,-1.008059,1
0.104507,-0.644987,0.036859,-1.122609,-0.005308,0.028575,0.086481,-0.404861,0.045969,-1.212463,1
0.017875,-0.295228,0.014566,-0.24818,0.010933,-0.147151,0.119194,-1.510472,-0.06997,1.043549,2
0.016433,-0.195414,0.020318,-0.300053,-0.031274,0.771066,0.134765,-1.549818,-0.085794,0.593625,1
0.015663,-0.231177,0.076124,-1.252229,-0.116462,1.400949,0.007795,0.173448,0.025526,-0.199068,4
0.027616,-0.432447,0.015936,-0.246553,-0.031665,0.779984,0.152441,-1.641769,0.027494,-0.856982,1
0.023769,-0.425277,0.050658,-0.366379,0.079035,-1.24755,-0.054065,1.058229,0.091477,-1.404937,1
0.028051,-0.485211,0.006996,0.001619,-0.015801,0.16539,0.039331,-0.809084,0.022653,0.111926,4
0.029291,-0.472297,0.058182,-0.344439,-0.127798,1.130871,0.168125,-1.99481,0.013209,-0.081935,3
