@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute destClass {1,2}

@data
-0.000652,0.108814,1
0.001377,-0.046431,1
-0.000041,0.062037,1
0.005653,-0.373576,1
0.007417,-0.508461,1
0.000786,-0.001198,1
-0.000137,0.069366,1
-0.002833,0.275647,1
0.005978,-0.398378,1
-0.008928,0.741894,2
0.006219,-0.416874,1
0.000403,0.028087,1
0.005929,-0.394632,1
-0.000437,0.092376,1
0.007599,-0.522424,2
0.002613,-0.14099,1
0.003643,-0.219739,1
0.010742,-0.762874,1
0.005212,-0.339824,1
0.005899,-0.392379,1
-0.002721,0.267091,1
0.003809,-0.232484,1
-0.005486,0.478569,1
0.001074,-0.023283,1
0.000264,0.038691,1
0.00374,-0.227224,1
0.00374,-0.227166,1
-0.000431,0.091912,1
0.004726,-0.3026,1
-0.000374,0.087558,1
0.002262,-0.114165,1
-0.001073,0.140972,1
-0.000141,0.069667,1
0.001729,-0.073382,1
0.006051,-0.403986,1
-0.001428,0.168173,1
0.005564,-0.3667,1
-0.001781,0.195172,1
0.00644,-0.433746,1
0.006214,-0.416451,1
0.00535,-0.350368,1
0.003788,-0.230835,1
-0.00599,0.517179,2
0.001981,-0.092608,1
0.0019,-0.086467,1
-0.00341,0.319786,1
0.001095,-0.024856,1
0.006994,-0.476117,1
0.003254,-0.190004,1
-0.001896,0.203927,1
0.004063,-0.251873,1
0.01112,-0.791759,1
0.002315,-0.118172,1
0.001681,-0.069685,1
0.011189,-0.797026,1
-0.000583,0.103506,2
-0.001952,0.208264,1
0.004728,-0.302746,1
0.00443,-0.279947,1
-0.000651,0.108744,1
0.000929,-0.012135,1
0.000116,0.05001,1
-0.002114,0.220651,1
0.004417,-0.278984,1
0.00812,-0.562296,1
0.003622,-0.218162,1
-0.002887,0.279736,1
0.008593,-0.598457,1
-0.000921,0.129368,1
0.007081,-0.482782,1
-0.002128,0.221693,1
0.003752,-0.228114,1
0.005004,-0.3239,1
0.004963,-0.320789,1
-0.001904,0.204597,1
0.007799,-0.53769,1
0.002371,-0.12246,1
0.001517,-0.057174,1
0.000382,0.029719,1
0.006605,-0.446393,1
-0.000701,0.112537,1
-0.005894,0.509783,2
-0.005832,0.505084,2
-0.000493,0.096647,2
-0.000785,0.118949,1
0.001984,-0.092893,1
-0.00127,0.156093,1
0.006357,-0.427421,1
0.009658,-0.679924,1
-0.001695,0.188616,1
-0.001688,0.188017,2
0.008508,-0.591914,1
-0.000544,0.100562,1
-0.005928,0.512441,2
0.003093,-0.177731,1
0.004097,-0.254543,1
-0.000365,0.0868,1
0.001831,-0.081162,1
0.002005,-0.094489,1
0.003802,-0.231901,1
-0.001009,0.136065,1
0.012876,-0.926106,2
0.010476,-0.742529,2
-0.004085,0.371446,2
0.008133,-0.563262,2
-0.003646,0.337825,1
0.001796,-0.078453,1
0.001241,-0.036031,1
0.001205,-0.033281,1
-0.004163,0.377401,1
0.001117,-0.026529,1
0.009314,-0.653576,1
0.000272,0.038119,1
0.002884,-0.161747,1
0.006772,-0.459182,1
-0.003877,0.355523,2
0.007271,-0.497333,1
-0.006468,0.553735,1
-0.001662,0.186036,1
0.008396,-0.583406,1
0.007596,-0.52219,1
0.006634,-0.448567,1
0.00392,-0.240943,2
0.004184,-0.261148,1
0.001644,-0.066887,1
0.005901,-0.392541,1
0.000135,0.048603,1
0.004063,-0.25188,1
0.006407,-0.431226,1
-0.004411,0.396357,2
0.002115,-0.10285,1
0.00607,-0.405433,2
0.000299,0.036019,1
-0.003209,0.304365,2
-0.00229,0.234131,1
-0.003998,0.364798,2
-0.003265,0.308674,2
0.005048,-0.327295,1
-0.005887,0.509245,2
0.001436,-0.050924,1
0.006382,-0.429323,1
0.001159,-0.029717,1
0.000626,0.010999,1
-0.002291,0.234169,2
-0.003763,0.346781,2
-0.00222,0.228751,1
0.004222,-0.264073,1
-0.002841,0.276225,1
0.000011,0.058066,1
0.004934,-0.318537,1
-0.00052,0.09868,1
0.001619,-0.064965,1
0.000331,0.033593,1
0.002298,-0.11691,1
0.000246,0.040112,1
0.007848,-0.541484,1
0.007447,-0.510749,1
0.011366,-0.810547,2
0.006041,-0.403185,1
-0.000652,0.10876,1
0.005093,-0.330705,1
-0.000299,0.081788,1
-0.001323,0.16016,1
0.002754,-0.151804,1
0.009095,-0.636838,1
0.000963,-0.014786,1
-0.003709,0.342682,2
-0.00323,0.306028,1
0.000192,0.044259,1
0.003451,-0.205126,1
0.010557,-0.748702,1
0.003285,-0.192383,1
0.002154,-0.105875,1
-0.000639,0.107777,1
0.006867,-0.466438,2
0.001279,-0.038937,1
0.005811,-0.385604,1
0.009485,-0.666686,1
0.006633,-0.448487,1
-0.000266,0.07923,1
-0.001142,0.146308,1
-0.003635,0.336974,1
0.001026,-0.01957,1
0.006162,-0.41248,1
-0.002382,0.241161,1
-0.005727,0.497013,1
0.005913,-0.393407,1
0.001958,-0.090867,1
-0.001747,0.192568,1
0.000481,0.022104,1
0.010362,-0.733771,1
