@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute destClass {1,-1}

@data
0.201842,-2.688589,0.006679,1.652457,-0.171413,0.702768,0.002767,0.244909,-0.000076,0.280512,-0.000306,0.278406,0.000612,0.273123,-0.000877,0.285354,-0.142239,0.523636,0.331804,-2.583249,1
0.091632,0.131457,-0.017129,0.499553,-0.000907,1.074524,-0.065253,-0.302572,-0.00241,-1.028761,-0.001791,-1.052384,0.00978,-1.080667,0.091323,-1.345499,-0.000758,1.073182,0.276535,-0.133013,1
0.075548,-0.413634,-0.073685,0.559287,0.053462,-0.227783,-0.115302,1.721313,-0.001203,-0.339436,0.001203,-0.350156,0.000438,-0.334587,-0.001422,-0.360365,-0.001094,-0.385121,0.313243,-1.072286,1
0.043061,-1.541051,0.074282,-0.468369,-0.028468,-0.800404,0.156203,-0.766564,-0.002831,0.981437,-0.000915,0.939901,0.01008,0.914173,-0.048166,1.227817,-0.000134,-1.095352,0.330586,-2.529273,1
0.042944,-1.547995,0.098824,-0.936701,-0.056783,-0.490348,0.180896,-1.156039,-0.003152,1.007278,-0.000746,0.961303,0.007388,0.932208,-0.003675,1.029306,-0.097656,-0.139187,0.330762,-2.537064,1
0.07633,-0.36294,-0.092849,0.696365,0.05326,-0.147943,-0.163678,1.956748,0.001225,-0.490269,0.00078,-0.480911,-0.002005,-0.444777,-0.004011,-0.472332,0.090909,-0.58983,0.292543,-0.842664,1
0.092209,0.117605,-0.022402,0.751254,0.010873,0.956836,-0.103542,0.129043,-0.003715,-0.996628,-0.000066,-1.059327,0.008824,-1.091837,0.000332,-0.94074,0.051088,0.581534,0.276222,-0.119097,1
0.093406,0.180548,0.00067,0.707999,-0.001311,1.163751,-0.131655,0.510283,-0.002265,-0.963598,-0.000495,-0.986551,0.000495,-1.004054,0.006086,-0.864852,0.193058,-1.242333,0.274847,-0.058139,1
0.039797,-1.661081,0.260124,-1.35823,-0.16971,0.578716,0.141663,-1.031453,0.002419,0.598993,0.001534,0.637561,-0.000015,0.661468,-0.01778,0.609644,-0.106729,0.827783,0.334414,-2.698973,1
0.329456,-1.955754,-0.315591,2.754425,0.030795,0.113044,-0.000026,0.447964,0.000537,0.443793,0.000052,0.451023,-0.10545,0.84803,-0.000404,-1.025407,0,-1.029117,0.328301,-2.452118,-1
