@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute destClass {1,-1}

@data
0.105405,-2.222273,0.494525,-2.227028,0.029574,1.582531,-0.000663,1.721374,-0.635799,2.290548,0.235722,-2.055943,0.008447,0.227175,0.000357,0.273337,0.000204,0.279762,0,0.279405,-0.000561,0.278691,0,0.275122,-0.000051,0.275836,0.001275,0.278334,-0.001836,0.2843,0.000459,0.274969,-0.243524,0.621643,0,-1.145432,0,-1.145432,1.422017,-3.51546,1
0.341208,-0.636599,0.002755,1.070129,-0.150827,0.901395,0.01584,0.313236,-0.000689,1.07495,0.000689,1.060487,-0.21373,0.157358,-0.007805,-0.965928,-0.003214,-1.025387,0,-1.055919,-0.000689,-1.055919,0.001607,-1.078417,0.011478,-1.071989,0,-0.9595,0.002755,-0.981539,0.435953,-1.129611,-0.002066,1.074261,0,1.065308,0,1.065308,1.185152,-0.909946,1
0.285087,-1.058371,0.001094,0.362689,0.040836,0.281016,-0.001458,-0.40554,0.14402,-0.520391,0,0.362689,0.883809,-1.038498,0.008751,-0.37236,-0.002552,-0.336629,-0.004011,-0.339181,0,-0.341733,0.001458,-0.339181,0.001458,-0.339181,-0.001458,-0.328972,-0.001094,-0.377829,0.001094,-0.380017,-0.005469,-0.377829,-0.004375,-0.381111,-0.003281,0.398785,1.257151,-1.701936,1
0.16313,-1.910964,-0.000315,-1.095076,0.378841,-1.431116,-0.073008,0.538198,-0.104845,-0.564699,-0.000263,-1.09526,0.372794,-1.481172,0.005836,0.965886,-0.003681,0.983737,-0.002787,0.959629,-0.00347,0.946563,0.001709,0.926503,0.010332,0.922271,-0.004443,1.055693,-0.004101,1.025512,-0.437573,1.45362,-0.000158,-1.095943,0,-1.096732,0,-1.096732,1.416799,-3.458064,1
0.162518,-1.916352,-0.000205,-1.103582,0.287749,-1.612838,-0.112804,0.609487,-0.173895,-0.120047,0,-1.103761,0.283367,-1.555796,0.015785,0.910126,-0.00287,1.006632,-0.00287,0.980801,-0.000564,0.960352,0,0.95246,0.002639,0.954792,0.005561,1.010758,-0.004074,1.013346,-0.000615,0.990052,-0.00369,-1.087771,0,-1.103761,0,-1.103761,1.417552,-3.466348,1
0.289545,-1.019364,0,0.425021,0.018568,0.445817,0.00817,-0.5394,0.16674,-0.505606,0,0.425021,0.462343,0.284647,0.001114,-0.448417,-0.005199,-0.469213,0.004828,-0.492608,0,-0.479611,-0.000371,-0.466613,0,-0.448417,-0.006313,-0.453616,-0.006684,-0.477383,-0.001114,-0.511919,0.202762,-0.726936,0,0.425021,0,0.425021,1.253754,-1.664569,1
0.343436,-0.654575,0.004202,1.05619,-0.145745,1.125856,0.013933,0.50196,0.039146,0.868866,-0.000663,1.073219,-0.322232,0.819326,0.000663,-0.988887,-0.005087,-0.991983,-0.003096,-1.029138,-0.001548,-1.055456,0,-1.058553,0.000663,-1.063197,0.010616,-0.993531,0.003317,-0.951732,0.215632,-1.294089,0.003981,1.055305,0,1.077864,0,1.077864,1.183807,-0.895148,1
0.351027,-0.611655,0.002595,1.136165,-0.083036,0.952873,0.011087,0.724997,-0.003303,1.169191,-0.001651,1.15598,-0.367763,1.263313,-0.007313,-0.904813,-0.00519,-0.954351,0,-0.987376,0,-0.987376,0.001887,-0.998935,0,-1.007192,0.024061,-1.036915,0.002123,-0.818238,0.004246,-0.810454,0.203815,-1.128914,0.002123,1.132155,0,1.132862,1.177914,-0.830327,1
0.150345,-2.001568,0,-1.249845,0.421153,-1.986863,0,1.698229,-0.527008,1.706154,0,-1.249845,0.321371,-1.631322,0.006312,0.546472,0.003448,0.595943,0.002196,0.618517,0.001921,0.638209,0.000463,0.653939,0.000292,0.662465,-0.007771,0.673752,-0.023003,0.546181,-0.000051,0.412898,0.000669,0.410737,-0.356467,0.533007,0,-1.249845,1.433204,-3.638518,1
0.57126,-2.834544,0.038164,1.731891,0.008165,1.930552,-0.168073,-0.595891,0.089602,-0.074063,0.00051,0.446683,0.000177,0.447605,0.000304,0.446253,0.000464,0.44401,0.000345,0.44849,-0.00005,0.451661,-0.00006,0.45179,-0.003539,0.457913,-0.179085,-0.109043,0.000625,-1.031884,0.000026,-1.029207,0.000027,-1.029206,0.000037,-1.029243,-0.000211,-1.028877,1.407312,-3.375435,-1
0.158519,-1.944345,-0.000236,-1.151748,0.343052,-1.433883,-0.065925,0.260214,-0.080584,-0.748828,-0.000184,-1.152482,0.242538,-0.362613,0.001311,0.961606,-0.004878,0.960138,-0.003855,0.92159,-0.003593,0.910759,-0.000079,0.890751,0.006136,0.881389,-0.002072,1.017226,-0.004956,0.998843,-0.22704,1.331537,0,-1.151748,0,-1.151748,0,-1.151748,1.422694,-3.522904,1
0.269672,-1.166278,0,0.18208,0.670968,-0.756374,-0.001502,-0.332944,0.094811,-0.402014,-0.001502,0.185083,0.241531,-0.199308,-0.004076,-0.292403,-0.000858,-0.305916,0,-0.286396,-0.001502,-0.278889,0.003432,-0.289399,0.001073,-0.287898,-0.000215,-0.287898,-0.001931,-0.285753,-0.003218,-0.284466,0,-0.301841,-0.001931,0.195594,0,0.18208,1.279784,-1.950893,1
