@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute destClass {1,2}

@data
0.016159,-0.410392,0.00001,0.276347,-0.011476,0.186482,1
-0.000849,0.697722,-0.001888,-0.987539,0.08097,-1.50093,1
0.003916,0.028672,-0.033831,0.826529,0.043739,-1.027382,1
0.003909,-0.843506,0.000982,0.913015,-0.0298,0.74375,1
0.006563,-0.971655,0.008314,0.682278,-0.031721,0.900865,1
0.004023,0.070175,-0.033297,0.668435,0.053115,-1.162122,1
0.002973,0.69609,-0.002517,-0.96467,0.083768,-1.67575,1
0.007625,0.713474,-0.002299,-0.91203,0.083634,-1.869173,1
0.01214,-0.856236,0.005274,0.464603,-0.019077,0.615747,1
-0.00218,0.473627,0.000183,0.445333,0.02149,-1.235488,2
0.01366,-1.102627,-0.00146,0.954353,-0.0318,0.824148,1
0.001619,0.176959,-0.011002,0.092872,0.040495,-0.874831,1
0.021945,-1.006072,0.019044,0.019948,-0.019893,0.634401,1
0.015737,-0.414691,0.000349,0.272585,-0.011614,0.200607,1
-0.021868,0.785779,0.001724,-1.141726,0.039913,0.046084,2
0.011916,-0.83322,0.000025,0.941946,-0.016439,0.186038,1
0.009342,-0.657814,0.011066,0.340637,-0.020021,0.488939,1
0.009265,-1.126153,0.016364,0.327167,-0.028533,1.062279,1
0.01555,-0.861176,0.012958,0.238548,-0.019888,0.586356,1
0.007672,-0.878383,0.000063,0.797479,-0.029235,0.805839,1
0.017238,-0.365144,-0.000079,0.401209,-0.005551,-0.158448,1
0.017359,-0.991329,-0.000002,0.822815,-0.026759,0.583541,1
0.00455,0.800897,-0.015444,-0.385,0.078019,-1.936388,1
0.003082,0.622044,-0.002394,-1.040274,0.065431,-1.07211,1
0.000643,0.732283,-0.002259,-0.985536,0.082425,-1.604063,1
0.006852,-0.757332,-0.000011,0.858405,-0.025552,0.552595,1
0.019947,-1.104097,0.000129,0.936061,-0.026688,0.512932,1
0.002866,0.71873,-0.002565,-1.013182,0.073716,-1.395025,1
0.02183,-0.989953,0.013401,0.246744,-0.020732,0.556208,1
0.003415,0.697047,-0.002408,-0.966518,0.08275,-1.663651,1
-0.001454,0.684535,-0.001174,-1.078986,0.074163,-1.228012,1
0.016605,-0.416226,0.000175,0.311038,-0.011886,0.152296,1
0.00168,0.216683,-0.009685,0.047027,0.041003,-0.916696,1
0.009456,-0.601412,0.002443,0.633925,-0.017316,0.283158,1
0.012618,-0.981078,0.005048,0.653867,-0.028461,0.781611,1
0.017497,-0.432345,-0.000005,0.348609,-0.011461,0.10184,1
0.012733,-1.053705,-0.000869,0.965835,-0.031096,0.754516,1
0.015828,0.233766,-0.000122,-0.569011,0.06479,-1.519653,1
0.00973,-0.939279,0.000084,0.763507,-0.028482,0.829068,1
0.007732,-0.871126,0.005051,0.64223,-0.028579,0.811044,1
0.012062,-0.83902,0.003922,0.52781,-0.020661,0.610416,1
0.000964,0.552024,0.000229,-1.19312,0.059416,-0.708024,1
0.01668,-0.156783,-0.000015,0.468242,0.014727,-0.931976,2
0.01404,-0.718215,0.002542,0.627378,-0.016267,0.260896,1
0.003007,0.5863,-0.002707,-0.995996,0.078998,-1.409355,1
0.007924,0.675463,-0.014495,-0.519547,0.08558,-1.974421,1
0.017529,-0.488504,0.00002,0.192084,-0.00542,0.163137,1
0.002297,-0.876054,0.001237,0.887214,-0.031524,0.881351,1
0.011486,-0.833976,0.000137,0.85208,-0.024593,0.488901,1
0.017724,-0.428225,0.000041,0.390673,-0.009672,0.003793,1
0.014668,-0.912958,0.009313,0.577984,-0.024361,0.525618,1
0.011808,-1.105029,0.013588,0.229624,-0.015886,0.8254,1
0.019264,-0.95529,-0.000038,0.855151,-0.021689,0.339091,1
0.003029,0.281233,-0.024093,0.061219,0.070439,-1.407483,1
0.009174,-1.144143,0.016305,0.320777,-0.027734,1.070882,1
0.034271,-1.153816,0.000194,1.011247,0.009293,-0.785102,2
0.018005,-0.41207,0.000053,0.344865,-0.011005,0.058838,1
0.003914,-0.822672,0.001131,0.995776,-0.024989,0.515606,1
0.005366,0.400845,-0.000123,-1.14579,0.063079,-0.798439,1
0.016125,-0.406797,0.000213,0.26738,-0.011225,0.181351,1
0.012776,-0.641538,0.00167,0.684669,-0.013236,0.104314,1
0.012828,-0.604359,0.000871,0.73747,-0.008569,-0.084414,1
0.00857,0.5738,-0.016704,-0.439842,0.087462,-1.959079,1
0.009815,-0.855337,0.000044,0.83025,-0.027243,0.64453,1
0.005128,-0.907528,0.000012,0.733899,-0.025939,0.884179,1
0.01404,-0.894049,-0.000057,0.801549,-0.027569,0.613521,1
0.008848,0.684202,-0.002802,-0.895379,0.083249,-1.865585,1
0.014502,-1.07671,0.013341,0.302288,-0.025649,0.904081,1
0.003124,0.483557,-0.017834,-0.154114,0.077321,-1.729426,1
0.007687,-0.927905,0.000025,0.765975,-0.028014,0.857899,1
0.003829,0.442098,-0.019512,0.035683,0.068482,-1.632363,1
0.00562,0.3347,-0.000275,-0.878074,0.077642,-1.365592,1
0.012264,-1.016592,-0.001058,1.001291,-0.026444,0.58181,1
0.008306,-0.726047,0.004211,0.515547,-0.020512,0.594211,1
0.012764,-0.262241,0.000044,0.280252,-0.011578,0.121515,1
0.007708,-0.913239,0.00952,0.457547,-0.02716,0.892116,1
0.02661,-1.134165,0.000016,0.86958,-0.020196,0.277356,1
0.014115,-0.686962,0.002593,0.609089,-0.017155,0.266281,1
0.002562,0.116325,-0.014877,0.246021,0.038371,-0.840701,1
0.008149,-0.973633,0.000391,0.865099,-0.032851,0.905129,1
0.01635,-0.396593,0.000201,0.244162,-0.010663,0.174549,1
0.018473,-0.216141,-0.000026,0.511689,0.019082,-1.070094,2
0.017417,-0.193467,0.00014,0.490907,0.015764,-0.966184,2
0.032243,-1.097235,0.000064,0.963126,0.004308,-0.6141,2
0.016179,-0.404224,0.000057,0.277309,-0.011478,0.177631,1
0.016098,-0.47703,0.001299,0.125984,-0.000784,0.106865,1
0.017715,-0.446566,-0.000056,0.348871,-0.011712,0.117949,1
0.005579,-0.930322,0.000028,0.948588,-0.029812,0.777444,1
0.008876,-1.074602,0.015073,0.384198,-0.030789,1.051498,1
0.016117,-0.370048,0.000109,0.318343,-0.010857,0.086533,1
0.041843,-1.281459,0.000583,1.103927,0.026129,-1.375149,2
0.006335,-1.012828,0.008202,0.650943,-0.032016,0.990281,1
0.016039,-0.403671,0.000101,0.256534,-0.010837,0.184356,1
0.01614,-0.144784,-0.000014,0.447051,0.011173,-0.820141,2
0.015006,-0.902329,0.000012,0.845925,-0.024488,0.473753,1
0.012496,-0.755244,0.01094,0.337089,-0.02048,0.524441,1
0.017193,-0.470924,0.000159,0.309999,-0.01248,0.209059,1
-0.00055,0.684133,-0.002018,-1.045814,0.075935,-1.30746,1
0.012358,-0.681792,0.002417,0.630701,-0.016753,0.279451,1
0.01059,-0.828316,-0.00001,0.810179,-0.02743,0.622927,1
0.017204,-0.406635,0.000055,0.260131,-0.011326,0.166822,1
-0.018058,0.37278,0.000786,-1.00939,0.055431,-0.128695,2
-0.017361,0.555447,-0.003055,-1.049605,0.057061,-0.237606,2
0.036638,-0.92548,-0.026453,1.4787,0.029442,-1.384464,2
-0.011688,0.445372,0.000671,-1.014776,0.029584,0.286089,2
0.007695,0.668347,-0.00765,-0.621508,0.082503,-1.953425,1
-0.003526,0.749733,-0.001582,-1.035652,0.077675,-1.361533,1
0.012498,-0.76403,-0.000068,0.976336,-0.00667,-0.175934,1
0.005082,0.014894,-0.031057,0.627927,0.051313,-1.103732,1
0.006835,0.706208,-0.020252,-0.324524,0.085207,-2.019216,1
0.014284,-0.67423,0.002381,0.636995,-0.014624,0.163055,1
0.018825,-1.083017,0.016873,0.020402,-0.009357,0.584409,1
-0.003326,0.79745,-0.001753,-0.967403,0.0762,-1.442489,1
0.01782,-0.957259,0.000014,0.853908,-0.02321,0.416583,1
0.014996,-1.027373,0.013512,0.375273,-0.028417,0.832866,1
0.007958,0.252304,0.000594,-0.310196,-0.008044,0.210204,2
0.010115,-0.931898,0.01315,0.363632,-0.027999,0.872665,1
-0.007081,0.450222,0.000128,0.326577,-0.005363,-0.292755,1
0.016933,-0.408053,0.000096,0.353405,-0.010898,0.070358,1
0.007165,-1.011012,0.010329,0.576478,-0.032011,0.987993,1
0.005165,-0.953245,0.005106,0.756684,-0.031761,0.925234,1
0.010145,-0.945994,0.005041,0.631798,-0.028509,0.833564,1
0.002275,0.097597,0.000538,-0.483565,0.027126,-0.18881,2
0.015359,-0.810573,0.012885,0.26288,-0.020584,0.534631,1
-0.006644,0.816151,-0.0025,-0.9806,0.078975,-1.412797,1
0.018482,-0.983663,0.009412,0.34228,-0.019936,0.621135,1
