@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute destClass {1,-1}

@data
0.167682,-2.298403,0.003522,-0.178706,-0.000157,0.280381,0.000071,0.277137,0.034199,-0.862216,1
-0.011693,0.776267,-0.091326,1.591066,-0.001664,-1.027227,0.026601,-1.265204,0.071141,0.403764,1
-0.004182,0.158118,0.043742,-0.115612,0.000222,-0.348032,-0.001927,-0.321727,0.114632,-1.298349,1
0.07939,-1.776262,0.071102,-1.442685,-0.002222,0.984466,-0.008565,1.066144,0.085274,-1.8922,1
0.068571,-1.759517,0.054843,-1.259604,-0.002061,1.004507,0.001564,0.968942,0.059127,-1.379598,1
-0.009108,0.261242,0.028263,0.095658,0.000352,-0.482881,-0.002566,-0.441121,0.105766,-0.907775,1
-0.001437,0.721031,-0.086438,1.580993,-0.002667,-0.996977,0.005641,-1.07125,0.084591,0.150233,1
0.00423,0.733644,-0.088066,1.757125,-0.001206,-0.964165,0.009292,-1.053254,0.146226,-1.132853,1
0.128597,-2.38111,0.009077,-0.461503,0.002291,0.594107,-0.010495,0.73334,0.006404,-0.23155,1
0.004652,0.428249,0.017305,0.088044,0.000244,0.445616,-0.06909,0.606564,0.084705,-1.81978,-1
0.070716,-1.764445,0.085742,-1.542141,-0.002636,0.954968,0.002941,0.911602,0.072167,-1.685798,1
0.03377,-0.18241,0.010985,-0.03908,0.001228,-0.311789,-0.000574,-0.277787,0.097357,-0.974993,1
0.103911,-2.183315,-0.04991,0.563309,0.00308,0.606288,-0.010097,0.768168,0.013111,-0.362209,1
0.168677,-2.326105,0.002096,-0.170942,-0.000081,0.28437,0.000168,0.285895,0.033092,-0.834739,1
-0.003413,0.446806,-0.09303,1.014878,0.00219,-1.126778,0.096391,-1.361601,0.072223,0.282982,-1
0.107908,-1.943537,0.089904,-1.607659,0.000071,0.941507,-0.066314,1.496134,0.084847,-1.816507,1
0.134271,-2.256811,0.0126,-0.569841,0.003112,0.651187,-0.012212,0.795671,0.041181,-1.004365,1
0.067578,-1.889104,0.032262,-1.077299,-0.002542,0.94493,0.002806,0.853813,-0.008292,0.077639,1
0.120221,-2.269835,-0.016112,-0.03377,0.002584,0.623229,-0.011352,0.769209,0.017715,-0.490708,1
0.10364,-2.103115,0.047203,-1.048034,-0.000097,0.801065,-0.000165,0.800812,0.0284,-0.842475,1
0.164885,-2.137407,0.031607,-0.55624,0,0.400465,-0.03592,0.713676,0.084634,-1.781463,1
0.108173,-2.077842,0.068051,-1.220797,-0.000015,0.823633,0.0001,0.821919,0.085168,-1.957119,1
-0.015524,1.090472,-0.043147,1.251561,-0.002469,-0.85344,0.007707,-0.992965,0.173344,-1.89501,1
-0.01562,0.822662,-0.086314,1.554981,-0.002313,-1.089644,0.07513,-1.725469,0.056119,0.392077,1
0.003301,0.656366,-0.090004,1.587903,-0.001116,-1.040355,0.006629,-1.078631,0.072348,0.382357,1
0.11128,-2.015354,0.07369,-1.459602,0.000089,0.857137,-0.011891,0.971722,0.085478,-1.92015,1
0.035753,-1.190343,0.101468,-1.558587,-0.000623,0.935499,-0.036315,1.294524,0.085724,-1.958753,1
-0.001845,0.746568,-0.089652,1.629047,-0.002091,-1.055927,0.031041,-1.340865,0.057059,0.466448,1
0.103345,-2.160039,-0.038279,0.497411,0.003206,0.634533,-0.012313,0.797917,0.028097,-0.734504,1
-0.002239,0.735719,-0.087288,1.614785,-0.001832,-1.01257,0.008599,-1.076499,0.095246,-0.066003,1
-0.003607,0.664575,-0.089908,1.484739,-0.00214,-1.099366,0.064762,-1.618357,0.0718,0.327515,1
0.167638,-2.264879,0.017677,-0.402074,0.000148,0.312828,-0.000007,0.319287,0.051996,-1.223426,1
0.039325,-0.200086,0.012168,-0.076691,0.000438,-0.293087,-0.000952,-0.285714,0.104185,-1.114337,1
0.144896,-2.223539,0.062129,-1.282627,0.002528,0.666424,-0.011151,0.750678,0.075097,-1.703002,1
0.092192,-2.050057,0.021586,-0.569009,-0.000001,0.823662,-0.000014,0.82455,0.03967,-1.032883,1
0.168041,-2.239851,0.032156,-0.627975,-0.000012,0.349674,-0.000202,0.349723,0.070407,-1.577495,1
0.069736,-1.7188,0.084753,-1.50629,-0.001642,0.958245,-0.010082,1.083135,0.083751,-1.901654,1
-0.047078,1.036745,-0.047414,1.272767,0.001116,-0.597875,-0.002777,-0.551378,0.151755,-1.606578,1
0.109014,-2.160067,0.062967,-1.332972,0,0.766145,-0.0002,0.767608,0.014096,-0.539976,1
0.103848,-2.097865,0.041878,-1.029028,0.00002,0.812631,-0.000017,0.812153,0.029967,-0.838713,1
0.127232,-2.346479,0.011309,-0.456561,0.002629,0.603326,-0.010903,0.754426,0.012067,-0.398218,1
-0.009818,0.65882,-0.084168,1.347348,-0.001513,-1.198059,0.093995,-1.733147,0.072381,0.232079,1
0.127065,-1.379728,0.060033,-0.825281,-0.000094,0.469211,-0.068988,0.765574,0.084267,-1.746143,-1
0.136647,-2.265042,0.027516,-0.601532,0.002498,0.665211,-0.011987,0.748204,0.074776,-1.677688,1
-0.014524,0.773859,-0.082787,1.481039,-0.002978,-1.036323,0.047554,-1.495536,0.071551,0.368507,1
0.005008,0.720425,-0.060551,1.463828,-0.002005,-0.966886,0.009165,-1.092622,0.157802,-1.364675,1
0.172819,-2.478797,-0.020132,0.180405,-0.000073,0.194263,0.000002,0.192791,0.012773,-0.27327,1
0.071487,-1.725947,0.074846,-1.566941,-0.002241,0.973097,-0.000149,0.937791,0.048227,-1.199926,1
0.111097,-2.01399,0.077182,-1.442624,0.00022,0.852314,-0.022784,1.073058,0.08542,-1.922456,1
0.168678,-2.208004,0.04612,-0.848502,0.000202,0.390073,-0.014644,0.530163,0.084874,-1.826281,1
