@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute destClass {1,2}

@data
0.001531,-0.327824,1
0.00059,-0.12687,1
0.000784,-0.168296,2
-0.000929,0.197436,2
-0.000586,0.124081,1
-0.002493,0.531204,1
-0.000466,0.098562,2
-0.002039,0.434414,1
0.00018,-0.039503,2
-0.000468,0.098897,1
-0.002407,0.512826,2
-0.002485,0.52953,1
-0.000319,0.067063,2
-0.000258,0.054148,2
-0.000372,0.078438,2
-0.001528,0.325304,1
0.000875,-0.187745,2
-0.001073,0.228028,2
-0.000264,0.055495,1
-0.000048,0.009312,1
0.000169,-0.037057,1
-0.00045,0.095198,2
-0.000922,0.195836,1
0.000045,-0.010505,1
0.001379,-0.295342,2
-0.000135,0.027872,2
0.001968,-0.421178,1
-0.000725,0.153741,2
-0.001035,0.219902,1
0.000419,-0.090362,2
-0.000394,0.083082,1
-0.001063,0.226069,2
0.000013,-0.003642,1
-0.000646,0.13701,1
0.001235,-0.264577,2
-0.001906,0.405861,1
-0.000074,0.014876,2
0.000902,-0.193454,2
-0.000168,0.034849,1
-0.002456,0.523486,1
0.000605,-0.130076,2
-0.000839,0.178059,1
0.000825,-0.17704,2
0.00057,-0.122717,1
-0.000985,0.209389,2
0.000184,-0.040347,1
-0.001297,0.276029,1
-0.002332,0.496921,2
-0.000757,0.160753,2
-0.002523,0.537593,2
-0.000425,0.089821,2
-0.00076,0.161273,1
-0.001196,0.254383,2
0.000336,-0.072655,1
0.000596,-0.128283,2
-0.000436,0.09206,2
-0.001323,0.281444,1
-0.000323,0.067955,2
-0.000671,0.142337,1
-0.001155,0.245517,2
-0.002954,0.629634,2
-0.000314,0.066091,1
0.000019,-0.004961,2
0.000507,-0.109296,1
-0.001248,0.265471,1
-0.000432,0.091182,1
-0.00222,0.472915,1
-0.00089,0.189144,2
-0.001197,0.254498,2
0.000615,-0.132294,1
-0.000316,0.066579,1
-0.000677,0.143623,2
-0.000981,0.208517,2
-0.000435,0.091971,2
-0.000303,0.063731,2
-0.000158,0.03271,2
0.00011,-0.024354,1
0.00034,-0.073585,1
-0.001187,0.252495,2
-0.002345,0.499733,2
-0.000646,0.136918,1
-0.002479,0.528351,1
0.000725,-0.155748,2
0.001058,-0.226848,1
-0.000661,0.140086,2
-0.002115,0.450513,1
0.000293,-0.063586,1
0.001618,-0.346332,1
