@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute destClass {1,2}

@data
-0.00677,-0.397309,0.029546,-0.764023,-0.003239,0.2738,-0.003404,1.334165,-0.049874,0.545685,0.00102,-1.847156,0.055643,-1.730075,0.036444,0.20413,-0.035692,1.929832,-0.000651,-0.033593,1
-0.03274,0.858676,0.039503,-0.985192,-0.026944,1.477074,-0.038355,-0.213348,0.028959,-2.308665,0.051089,-0.684702,-0.009045,1.802404,-0.027717,0.513918,-0.01795,-0.043748,0.046768,-0.700142,1
-0.011019,0.603836,0.037029,-0.285864,-0.046422,1.315368,-0.051664,0.472078,-0.007617,-1.553689,0.055279,-2.246752,0.029204,0.335048,-0.043366,1.758506,0.001401,-0.521416,0.033426,0.218953,2
-0.0241,1.528607,0.015504,0.207574,0.000495,-0.520866,-0.002442,0.927291,-0.064861,0.627319,0.015632,-1.748412,0.041881,-1.924894,0.021978,0.035429,-0.019124,0.092266,0.061112,-0.16214,2
-0.011888,1.582944,-0.030594,0.989888,-0.001598,-0.690038,-0.010779,-1.286133,0.047556,-0.974997,-0.020365,1.030965,0.014325,0.124842,-0.036301,0.076944,0.028757,-1.592455,0.054506,0.068244,1
0.007019,0.747972,-0.020451,0.600893,0.014098,0.069009,-0.031852,-0.023176,0.026249,-1.321505,0.047318,-0.085393,-0.044181,2.329409,-0.049965,0.35137,0.030152,-2.257147,0.0375,-0.758782,1
-0.011536,1.327697,-0.031187,0.444867,0.011351,0.04109,-0.053135,-0.054367,0.050706,-2.000669,0.014372,0.529308,-0.013814,1.120083,-0.035269,-0.007302,0.039456,-1.865411,0.049667,0.067491,2
0.007166,0.778354,-0.021637,0.630202,-0.008258,0.472961,-0.00286,-0.728116,0.009842,-1.184472,0.045949,-0.576716,-0.012286,1.991039,-0.051209,0.990635,0.004047,-1.712742,0.047126,-1.060802,1
0.0115,-0.326042,-0.003225,0.712024,0.024211,-0.349859,-0.034197,1.38155,-0.046293,-0.173273,0.007618,-1.9766,0.060466,-1.457797,0.023956,0.967085,-0.051784,1.595231,0.024687,-0.744365,2
0.004239,0.744994,0.004754,-0.167699,-0.029397,1.043246,-0.018393,-0.506326,0.013014,-2.00559,0.053317,-0.982174,0.033917,0.743346,-0.052994,1.911906,-0.01252,-0.454907,0.039551,-1.091253,1
