@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute destClass {1,2}

@data
0.007504,-0.510765,0.0003,-0.651405,0.011774,-0.571397,0.042754,-0.205027,-0.045473,0.659017,0.056364,-0.30494,0.03703,1.035191,-0.051906,1.567788,-0.059542,0.433943,-0.027763,-0.893389,-0.030444,-1.635675,0.031616,-2.055424,0.048124,-1.572952,0.059404,-0.480484,0.029117,0.251886,0.022492,1.191115,-0.028226,1.864362,-0.037891,1.193082,-0.032251,0.30606,0.044494,-0.522371,1
0.018895,0.378552,-0.052734,0.277584,0.029384,-0.8553,0.05391,-0.208246,0.011153,1.143928,-0.055514,1.006564,-0.048544,-0.262674,-0.035022,-1.19001,0.028399,-2.261781,0.055556,-1.786608,0.052306,-0.547152,0.039023,0.661936,0.017292,1.558628,-0.051941,1.99578,-0.063669,0.826917,0.012928,-0.501212,-0.012297,-0.055916,0.001805,-0.662627,0.024761,-0.492339,0.061747,0.144464,1
0.021568,0.307055,-0.020187,0.407002,0.020132,-0.123937,0.033564,0.629241,-0.051908,1.332374,0.004972,-0.276978,-0.043081,0.331014,-0.034711,-0.992351,0.003738,-1.735481,-0.037068,-1.446385,0.051117,-2.068097,0.061826,-0.969625,0.035765,0.325353,0.00803,1.224074,-0.023964,1.572103,-0.048385,0.820627,-0.028468,-0.213671,0.036458,-0.851637,0.055412,-0.000992,0.011389,1.141355,2
0.018636,1.129129,-0.043275,1.1376,0.042591,-0.082064,-0.039262,1.094089,-0.045908,-0.159299,0.054679,-0.908932,0.036521,0.679331,-0.047444,1.167595,-0.07272,0.516032,-0.046695,-1.165058,0.043462,-1.959934,-0.045427,-0.809551,0.035881,-1.838986,0.030365,-0.817068,0.034456,-0.082279,-0.01292,0.898724,-0.038375,0.291634,0.004058,-0.548032,0.068556,-0.250662,0.045602,1.290405,2
0.028552,1.219775,-0.020038,1.340561,-0.024413,0.896565,-0.038414,0.36023,-0.022998,-0.549362,-0.007119,-0.628919,-0.053919,-0.98004,0.053042,-2.023491,0.046606,-0.742253,0.053714,0.116805,-0.026212,0.993361,-0.033741,0.706261,0.025841,-0.004613,-0.029262,0.913131,-0.055775,0.223841,-0.014846,-0.934517,-0.004828,-1.254334,0.063645,-1.339709,0.066402,-0.046597,0.044968,1.304146,1
0.059163,0.226511,-0.037117,1.31589,-0.019093,0.592752,-0.006551,-0.023973,0.04136,-0.17211,-0.039182,0.886195,-0.041333,-0.052953,-0.012482,-0.955966,0.018539,-1.18273,0.037193,-0.734374,0.045741,0.063615,0.046981,1.059382,-0.041066,2.257247,-0.049079,1.342904,-0.049998,0.299757,-0.050815,-0.737666,0.001382,-1.986293,0.049278,-1.798387,0.03478,-0.685545,0.066584,-0.308145,1
0.030923,0.931008,-0.031079,1.214875,-0.042333,0.542351,0.002228,-0.582013,0.037994,-0.161686,-0.03021,0.65267,-0.062062,-0.129487,-0.013364,-1.698239,0.046285,-1.77946,0.056919,-0.783576,0.043491,0.359105,-0.014907,1.10374,0.006401,0.917036,-0.044791,1.088608,-0.044029,0.02521,-0.033171,-0.789759,0.013305,-1.617485,0.05783,-1.207017,0.058349,-0.022753,0.039026,1.220314,2
0.060359,0.250185,-0.03546,1.330127,-0.021966,0.631494,-0.006952,-0.016132,0.032306,0.142481,-0.045353,0.529392,-0.014527,-0.697909,-0.003759,-0.76838,-0.001747,-1.096062,0.029661,-1.07279,0.044139,-0.430413,0.048531,0.507305,0.033716,1.603663,-0.053314,2.049041,-0.051567,0.943572,-0.0507,-0.14143,-0.042249,-1.264611,0.041847,-1.990909,0.049196,-1.052301,0.061777,-0.246854,1
0.03335,-0.5244,0.007097,-0.056064,0.035105,0.351948,-0.049152,1.043327,0.011622,-0.208336,0.046422,0.036709,-0.027172,1.29407,-0.048189,0.617276,-0.049041,-0.317724,-0.034483,-1.423978,0.003426,-1.899249,0.022143,-1.923876,0.05885,-1.328879,0.059093,-0.053919,0.034914,0.867879,0.007927,1.66487,-0.054687,1.622808,-0.04971,0.48846,0.007494,-0.573838,0.041079,-0.388461,2
0.078905,0.008297,-0.052801,1.358342,-0.022223,0.083776,0.037051,-0.338523,-0.004235,0.814113,-0.055711,0.523998,-0.015069,-0.584902,-0.032539,-0.866584,-0.011097,-1.844488,0.050134,-1.930284,0.05598,-0.851352,0.033184,0.460183,0.044317,0.679388,0.011522,1.749987,-0.054657,1.878853,-0.051285,0.727769,-0.020041,-0.396595,-0.014677,-0.679358,0.031581,-0.989165,0.060341,-0.490954,1
0.054866,0.342243,-0.031667,1.059773,-0.022487,0.509446,0.014149,-0.058604,0.018694,0.485749,-0.045093,0.707376,-0.035281,-0.3856,-0.002708,-1.185485,0.027868,-1.178834,0.04358,-0.611643,0.039655,0.266911,0.046111,1.137194,-0.045237,2.187036,-0.048444,1.184819,-0.048684,0.156202,-0.049292,-0.862903,0.016967,-2.117679,0.048307,-1.665532,0.02143,-0.494586,0.068341,-0.227118,2
0.05845,0.323337,-0.036881,1.32147,-0.019638,0.636171,-0.009965,0.015697,0.0332,-0.145559,-0.038904,0.725124,-0.040255,-0.084383,-0.009836,-1.026137,0.025146,-1.234485,0.038718,-0.702715,0.0434,0.116854,0.044426,1.051491,-0.030565,2.136676,-0.048126,1.366076,-0.04856,0.352309,-0.04878,-0.654902,-0.010101,-1.852976,0.049765,-1.892988,0.04607,-0.868647,0.062704,-0.225096,1
0.049121,-0.68171,0.035161,-0.004248,-0.012495,1.027449,-0.028342,0.431224,0.032435,-0.091848,0.012387,0.76781,-0.036731,0.788635,-0.03828,0.039898,-0.030276,-0.926956,-0.029793,-1.351085,0.014589,-2.071088,0.052216,-1.692813,0.054952,-0.585548,0.046916,0.620068,0.010705,1.706092,-0.043694,1.953584,-0.051852,0.956254,-0.035124,-0.17798,0.021946,-0.830036,0.045241,-0.709968,2
0.01375,0.634255,-0.03625,0.513361,-0.015854,-0.33715,0.060344,-0.801993,0.031872,0.603153,-0.033512,1.284004,-0.075697,0.325991,-0.030526,-1.277781,0.025455,-1.816824,0.054096,-1.243612,0.063751,-0.048761,-0.036843,1.325158,0.013427,0.822053,-0.015044,1.511792,-0.064503,0.912877,-0.042449,-0.356618,-0.021017,-1.352957,0.052241,-1.585977,0.062483,-0.434983,0.04255,0.862451,2
0.053416,-0.761986,0.040381,0.112663,-0.018211,1.284217,-0.038168,0.550592,0.040873,-0.298587,0.016547,0.421694,-0.024284,0.621702,-0.057467,0.037877,-0.009043,-1.116507,-0.04121,-1.048499,0.005448,-2.012156,0.060004,-1.671115,0.060136,-0.413281,-0.000824,1.132918,0.068582,0.606118,-0.029942,2.098273,-0.059885,1.341534,-0.04951,0.060305,0.018148,-1.018042,0.054272,-0.946928,2
0.052709,0.612868,-0.030483,1.210459,-0.033818,0.602346,0.026474,-0.153816,0.002002,0.511211,-0.04455,0.211127,-0.030411,-0.712386,0.036732,-1.359731,-0.024695,-0.712867,0.00038,-0.869793,0.045073,-0.929723,0.050422,0.043392,0.051816,1.113989,-0.04681,2.281417,-0.054289,1.238046,-0.054257,0.096176,-0.04271,-1.09511,0.038438,-1.843147,0.056864,-0.948774,0.065694,0.016189,1
0.018017,-0.266606,-0.0272,-0.235019,0.012115,-0.848402,0.016839,-0.3146,0.045383,-0.297201,0.034318,0.875702,0.012353,1.435909,-0.048385,1.408035,-0.056972,0.468923,-0.051032,-0.777857,-0.023149,-1.770592,0.028271,-1.885348,0.040482,-1.439706,0.05351,-0.579407,-0.010246,0.59293,0.040838,0.734227,-0.028751,1.745151,-0.043731,0.992633,-0.01316,-0.05223,0.050189,-0.450335,2
