@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute destClass {1,2}

@data
0.011008,-0.814348,-0.022066,0.940618,-0.005613,1.056296,1
0.002308,0.073509,0.030137,-2.460893,-0.003543,0.331199,1
-0.001883,0.506565,0.014682,-1.932369,-0.003569,0.769441,2
-0.010377,1.122138,-0.019711,0.673798,0.009491,-0.329286,2
-0.022362,1.76128,0.017149,-1.300376,0.012162,-0.951712,1
-0.006479,0.873105,0.025837,-1.641195,-0.000585,-0.572289,1
-0.00974,1.004784,0.025149,-1.945412,0.011698,-0.982176,2
-0.009733,1.045689,0.025155,-1.759497,-0.008392,0.204847,1
0.006006,-0.100913,-0.01108,-0.14057,-0.013117,1.527738,2
-0.007444,0.825516,0.023849,-2.141766,-0.016798,1.333912,1
-0.006893,0.89638,0.026405,-1.66796,0.001724,-0.742538,2
-0.008055,0.970166,0.025927,-1.647162,-0.001358,-0.503268,1
0.005052,0.052037,-0.000101,-0.890794,-0.019949,1.894202,2
0.002323,0.155508,0.024286,-1.957491,0.000916,-0.155384,2
0.002451,0.218239,0.00233,-1.008296,-0.019683,1.838536,2
-0.012282,1.221657,0.023261,-1.837341,-0.008853,0.456239,1
0.014022,-0.88756,-0.021167,0.866792,-0.004345,0.835185,2
-0.018255,1.493127,0.01926,-1.204171,0.017508,-1.600079,2
-0.002625,0.673055,0.020914,-2.11881,0.003467,-0.099105,1
-0.02222,1.349152,0.008561,-0.059736,0.020595,-1.776731,1
-0.0222,1.284198,0.004863,0.232648,0.021983,-1.840742,1
-0.01498,1.447239,-0.008078,-0.272555,0.004854,0.120541,2
-0.014004,1.456123,-0.013895,0.080923,0.005179,0.078874,1
0.001877,0.176135,0.030213,-2.436498,-0.003241,0.207437,1
0.008976,-0.63358,-0.018744,0.648047,-0.009696,1.364437,2
0.004819,0.003226,-0.005554,-0.499323,-0.019927,1.954111,2
-0.005601,-0.19259,-0.025033,2.091911,0.011298,-0.521821,1
-0.022921,1.497291,0.010252,-0.174545,0.018347,-1.722673,2
-0.009497,0.880973,0.009432,-0.722774,0.002819,-0.356307,1
0.019225,-1.034234,-0.010719,-0.017663,-0.006893,0.934221,2
-0.022254,1.462814,0.015808,-0.652804,0.016092,-1.492193,1
-0.006617,0.952168,-0.016217,0.381424,0.011218,-0.504075,2
0.000322,0.266941,0.001032,-0.892155,-0.02114,2.020223,1
-0.010326,0.833995,0.005209,-0.373522,0.004718,-0.433395,1
0.018178,-1.046149,-0.010873,-0.092172,-0.005369,0.999601,2
-0.013067,1.333211,0.022936,-1.793698,-0.006737,0.230044,1
-0.001421,0.367252,-0.005591,-0.427424,-0.019452,1.930377,2
0.008223,-0.409982,-0.015965,0.308219,-0.007899,1.210019,2
-0.023515,1.472015,0.008308,-0.085673,0.020446,-1.753187,1
-0.000165,0.627739,0.01501,-1.610784,-0.023326,1.570145,1
-0.02687,1.557874,0.003308,0.19256,0.017503,-1.314955,2
-0.016225,1.330653,0.02202,-1.717996,-0.011255,0.76627,1
0.018308,-1.014076,-0.010336,-0.064363,-0.004585,0.83639,2
0.01837,-0.950927,-0.011098,-0.009873,0.000764,0.39077,1
-0.00967,1.053807,0.023717,-1.802822,0.011604,-1.071059,2
-0.004976,0.706549,0.022975,-2.101183,0.007221,-0.39445,1
-0.003891,0.686127,0.015046,-1.622586,-0.023885,1.826469,1
-0.006555,0.870465,0.026872,-1.766115,-0.002938,-0.346481,2
0.001131,0.356857,0.023777,-2.014213,0.001026,-0.187174,2
-0.006097,0.845415,0.02633,-1.662255,-0.001206,-0.541994,2
-0.000972,0.482689,0.028979,-2.479317,-0.005238,0.374552,2
0.001027,0.330267,0.008182,-1.307385,-0.023016,1.945198,1
-0.010907,1.127086,0.024376,-1.725053,0.014574,-1.391278,2
-0.002063,0.404895,0.030971,-2.511724,-0.002578,0.233597,1
0.017247,-0.994919,-0.015931,0.42567,-0.005727,0.880028,2
-0.024494,1.548471,0.00503,0.168598,0.020475,-1.783867,2
-0.018792,1.736922,-0.020176,0.702319,0.010362,-0.403581,1
0.003382,0.085596,0.024396,-1.937565,0.001232,-0.210963,2
-0.009961,0.830959,0.0066,-0.481945,0.005327,-0.489594,1
-0.015129,1.472679,0.022009,-1.78373,0.01092,-0.951483,2
-0.012519,1.400639,0.021191,-1.573473,-0.007802,0.101136,2
-0.023924,1.513236,0.009646,-0.163307,0.019051,-1.684545,1
0.004454,-0.00842,0.024766,-1.992734,0.003571,-0.328622,2
0.002374,0.078587,0.030212,-2.457277,-0.003517,0.310532,1
-0.011586,1.106653,0.02455,-1.865966,-0.009063,0.473827,1
0.002066,0.247895,0.028357,-2.389481,-0.007244,0.489184,1
-0.012954,1.44379,0.018183,-1.804744,-0.020071,1.401672,1
