@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute slope21 numeric
@attribute intercept21 numeric
@attribute slope22 numeric
@attribute intercept22 numeric
@attribute slope23 numeric
@attribute intercept23 numeric
@attribute slope24 numeric
@attribute intercept24 numeric
@attribute slope25 numeric
@attribute intercept25 numeric
@attribute slope26 numeric
@attribute intercept26 numeric
@attribute slope27 numeric
@attribute intercept27 numeric
@attribute slope28 numeric
@attribute intercept28 numeric
@attribute slope29 numeric
@attribute intercept29 numeric
@attribute slope30 numeric
@attribute intercept30 numeric
@attribute slope31 numeric
@attribute intercept31 numeric
@attribute slope32 numeric
@attribute intercept32 numeric
@attribute slope33 numeric
@attribute intercept33 numeric
@attribute slope34 numeric
@attribute intercept34 numeric
@attribute slope35 numeric
@attribute intercept35 numeric
@attribute slope36 numeric
@attribute intercept36 numeric
@attribute slope37 numeric
@attribute intercept37 numeric
@attribute slope38 numeric
@attribute intercept38 numeric
@attribute slope39 numeric
@attribute intercept39 numeric
@attribute slope40 numeric
@attribute intercept40 numeric
@attribute slope41 numeric
@attribute intercept41 numeric
@attribute slope42 numeric
@attribute intercept42 numeric
@attribute slope43 numeric
@attribute intercept43 numeric
@attribute slope44 numeric
@attribute intercept44 numeric
@attribute slope45 numeric
@attribute intercept45 numeric
@attribute slope46 numeric
@attribute intercept46 numeric
@attribute slope47 numeric
@attribute intercept47 numeric
@attribute slope48 numeric
@attribute intercept48 numeric
@attribute destClass {1,2}

@data
0.164453,-1.113219,-0.030212,-0.233008,-0.01579,-0.530566,0.000903,-0.673207,0.013264,-0.685022,0.014361,-0.576059,0.004217,-0.411028,0.051159,-0.412025,0.048327,0.070845,0.003344,0.528525,-0.03356,0.553574,-0.058518,0.200202,0.037712,-0.300892,0.063098,0.026531,0.058783,0.617105,0.02731,1.181045,0.022924,1.579048,-0.047069,1.593787,-0.047175,1.149683,-0.058863,0.679369,-0.066662,0.258264,-0.057604,-0.362414,-0.032071,-0.918722,-0.023421,-1.174645,-0.053303,-1.432587,-0.02901,-1.906829,0.017261,-2.159885,0.043888,-1.955117,0.006318,-1.564192,0.042544,-1.50872,0.053149,-1.120231,0.062397,-0.632889,0.067649,-0.06587,-0.022755,0.599698,0.026979,0.270861,0.061388,0.559636,0.056558,1.092324,-0.017473,1.590333,0.033779,1.564483,-0.048847,1.82624,-0.033909,1.35134,-0.036225,1.043419,-0.030874,0.66404,-0.04955,0.342081,-0.008213,-0.137586,-0.003801,-0.237057,0.006677,-0.275656,0.226277,-0.580805,1
0.236282,-0.465476,-0.033033,0.858468,-0.058573,0.547579,-0.060344,0.021022,-0.03401,-0.50945,0.007563,-0.762502,0.030831,-0.573644,0.036828,-0.254183,0.057366,0.071716,0.050619,0.629896,0.041542,1.050978,-0.030546,1.516474,-0.059006,1.13292,-0.05628,0.6266,-0.057354,0.119452,-0.053236,-0.403119,-0.044788,-0.861583,-0.025055,-1.238524,-0.047417,-1.350889,-0.046784,-1.825116,0.019171,-2.187886,0.032566,-1.86998,0.04064,-1.690982,0.067683,-1.287038,0.055319,-0.671863,0.053252,-0.177826,0.061829,0.262132,0.042021,0.856492,0.04598,1.119403,0.01335,1.603237,0.033188,1.670068,-0.009067,1.865752,-0.059241,1.701278,-0.064231,1.144193,-0.062108,0.56879,-0.062512,-0.00162,0.008475,-0.468663,0.020067,-0.415929,0.013637,-0.197339,-0.015363,-0.076793,-0.054777,-0.220902,-0.002886,-0.695171,0.02244,-0.682767,0.023861,-0.456754,0.026757,-0.274091,0.07022,-0.054934,0.053828,0.489055,0.131104,0.67784,1
0.226139,-0.463496,-0.021062,0.720044,-0.025025,0.542041,-0.025265,0.30514,-0.015037,0.120218,-0.001546,-0.015655,0.035448,-0.046131,0.055736,0.362408,0.038006,0.861497,-0.003142,1.216329,-0.024041,1.146551,-0.077473,0.880516,-0.0687,0.20532,0.027599,-0.529607,0.038623,-0.133908,-0.034215,0.239984,-0.06305,-0.112434,-0.077152,-0.71392,-0.032724,-1.397163,-0.016179,-1.491796,-0.011345,-1.750828,0.045969,-1.797264,-0.056963,-1.393442,-0.022915,-1.91054,0.037039,-2.095279,0.051825,-1.710919,0.060119,-1.269228,0.062458,-0.725075,0.058238,-0.153314,0.030893,0.400451,0.049712,0.593692,0.028664,1.105096,0.003764,1.288445,0.011553,1.345081,-0.009178,1.508561,-0.059826,1.344508,-0.056391,0.803588,-0.038513,0.284747,-0.044112,-0.065134,-0.021354,-0.460853,-0.007646,-0.693955,0.035662,-0.738481,0.047745,-0.405195,0.061895,0.029716,0.053923,0.578094,0.04045,0.967268,-0.011139,1.310273,0.085954,0.992154,2
0.282439,0.134148,-0.029746,1.562164,-0.034988,1.251523,-0.042674,0.926142,-0.045619,0.534837,0.004713,0.069941,0.061711,0.261695,0.020915,0.820228,-0.049143,0.961368,-0.078013,0.583023,-0.079744,-0.139926,-0.010306,-0.871927,0.037032,-0.907106,0.045615,-0.515863,0.092917,-0.10702,0.078842,0.687359,-0.020997,1.365982,-0.038196,1.198154,-0.052675,0.766112,0.023935,0.250237,-0.064583,0.205039,-0.082723,-0.407154,-0.063364,-1.145804,-0.033875,-1.720702,0.039887,-2.00835,0.030183,-1.62054,0.052819,-1.271914,-0.061053,-0.885846,-0.038925,-1.438244,0.015451,-1.72711,0.055635,-1.587744,0.061563,-1.073696,0.018866,-0.491027,0.044719,-0.413833,0.031835,0.128713,0.034691,0.335091,0.051794,0.676283,-0.045181,0.916866,-0.064419,0.517828,-0.035384,-0.029077,-0.021029,-0.315354,-0.013785,-0.521105,0.04567,-0.617728,0.074782,-0.197652,0.066139,0.428308,0.070275,0.9981,0.051915,1.538554,0.042977,1.870142,2
0.297923,0.193139,-0.032396,1.809073,-0.03067,1.512953,-0.019207,1.202357,-0.020914,1.081467,-0.023671,0.871717,-0.016562,0.619848,-0.030343,0.428091,-0.039584,0.143602,-0.034387,-0.236616,-0.047988,-0.485914,0.005651,-0.98855,0.021044,-0.805598,-0.005733,-0.603857,-0.041177,-0.728304,-0.051771,-1.151665,-0.058246,-1.619052,0.047689,-2.045792,0.048129,-1.59856,0.064733,-1.122104,0.045647,-0.548557,0.008749,0.013047,0.051914,0.147411,0.046534,0.747804,-0.020418,1.021046,-0.026906,0.804167,0.015068,0.504036,-0.057236,0.703906,-0.005754,0.150201,0.005793,0.10723,0.047596,0.108252,0.012105,0.754697,-0.022804,0.66849,-0.054539,0.50118,-0.063047,0.024371,-0.046923,-0.528453,-0.021575,-0.924933,-0.006962,-1.120139,-0.008131,-1.205858,0.003031,-1.346831,0.017947,-1.352461,0.05155,-1.04931,0.077176,-0.55851,0.060543,0.028957,0.07181,0.610207,0.046399,1.164476,0.05435,1.498933,0.049035,1.868736,1
0.269521,-0.581245,0.007642,1.043382,0.012273,1.115018,-0.043473,1.206347,-0.03475,0.762807,-0.006873,0.533459,-0.02251,0.438232,-0.035656,0.173805,-0.002407,-0.095031,0.001994,-0.135637,0.046461,-0.117461,0.0415,0.274272,-0.004171,0.765456,-0.042333,0.638295,-0.045991,0.26122,-0.047879,-0.154088,-0.024722,-0.630763,-0.033106,-0.827276,0.004623,-1.169579,0.001448,-1.153346,0.037691,-1.178779,0.024894,-0.972704,0.036635,-0.69146,0.038544,-0.374338,0.043939,-0.016086,0.045488,0.380542,0.052617,0.787009,0.046765,1.247735,0.046628,1.670699,-0.01502,2.149373,-0.05437,1.903216,-0.04553,1.419375,-0.047244,0.993257,-0.050959,0.558926,-0.050354,0.099529,-0.048657,-0.354251,-0.049711,-0.791143,-0.051084,-1.246272,-0.046983,-1.704034,0.020158,-2.123001,0.03675,-1.964871,0.05698,-1.62768,0.049075,-1.1609,0.048917,-0.722664,0.019294,-0.205073,0.024807,-0.180949,0.043165,0.026006,0.19218,0.121635,1
0.278073,-0.002193,-0.021854,1.483563,-0.028494,1.315762,-0.030251,1.053242,-0.043563,0.825282,-0.03845,0.501414,-0.044784,0.12311,-0.035942,-0.27678,-0.016565,-0.622594,0.060188,-0.640812,0.043233,-0.10278,0.032186,0.305069,-0.000126,0.535239,-0.032313,0.497456,-0.051025,0.175803,-0.061647,-0.318319,-0.062427,-0.873086,-0.061017,-1.424586,0.005813,-1.978382,0.033156,-1.918779,0.048405,-1.606456,0.050079,-1.189256,0.06,-0.750479,0.047613,-0.155466,0.044935,0.215076,0.039953,0.774788,0.012068,1.035347,-0.025907,1.058422,-0.000838,0.874631,0.024624,0.85804,0.000762,1.016353,-0.005101,0.969324,-0.047819,0.819525,-0.061247,0.366142,-0.040445,-0.169308,-0.035771,-0.574067,-0.028558,-0.834541,-0.041034,-1.094489,-0.027005,-1.398866,0.022267,-1.648517,0.037836,-1.353037,0.058753,-1.001364,0.052771,-0.424775,0.062918,0.009948,0.052096,0.597531,0.05652,1.011441,0.038233,1.430014,0.053929,1.664445,2
0.266969,-0.538231,0.008273,1.067002,0.005755,1.187668,-0.03965,1.207806,-0.030495,0.797719,-0.013026,0.57646,-0.024117,0.44344,-0.030683,0.169998,-0.004705,-0.111177,0.024414,-0.17807,0.053845,0.131127,0.008322,0.657098,-0.044888,0.611714,-0.042427,0.208246,-0.058909,-0.165567,-0.055336,-0.644474,0.034828,-1.057231,0.01613,-0.920767,-0.027348,-0.588718,-0.025874,-0.893746,-0.011142,-1.090985,0.015068,-1.166254,0.018969,-0.999027,0.042925,-0.838675,0.039089,-0.492454,0.044012,-0.122604,0.047295,0.272109,0.044418,0.717182,0.049889,1.133169,0.048566,1.567649,0.022914,2.048306,-0.041755,2.095039,-0.055433,1.684158,-0.050046,1.188537,-0.051541,0.739104,-0.051993,0.273976,-0.050835,-0.191999,-0.050901,-0.647088,-0.05253,-1.106708,-0.047788,-1.575782,0.019431,-2.022695,0.032984,-1.812417,0.061943,-1.509367,0.040737,-0.969784,0.053868,-0.59329,0.022742,-0.098803,0.043173,0.031935,0.191386,0.109674,1
0.184082,-1.089876,0.002089,-0.069041,-0.001678,-0.025471,0.0026,-0.001407,0.033088,-0.043776,0.045842,0.335938,0.026804,0.781552,-0.018545,0.981898,-0.053348,0.817938,-0.057673,0.299731,-0.000186,-0.158324,0.027749,-0.145587,0.03075,0.004298,0.052188,0.383505,0.047912,0.744693,-0.022453,1.278582,-0.045058,1.024981,-0.040623,0.639651,-0.061055,0.256268,-0.029093,-0.207301,-0.053863,-0.491393,-0.046897,-0.965678,-0.045057,-1.414878,-0.027823,-1.831282,0.019829,-1.98043,0.00178,-1.880813,0.002058,-1.830866,0.011703,-1.850082,0.046852,-1.696027,0.056337,-1.260961,0.06209,-0.755914,0.062925,-0.203675,0.063665,0.362049,0.013058,0.964295,0.033924,0.913969,0.047567,1.320006,0.005443,1.672977,0.013375,1.744125,-0.06271,1.789995,-0.055489,1.20986,-0.052019,0.774352,-0.054143,0.295363,-0.034029,-0.204866,-0.010143,-0.502454,0.021908,-0.593786,0.032914,-0.36802,0.009755,-0.107131,0.201561,-0.446827,2
0.271662,-0.736164,0.037808,0.9689,-0.013806,1.318019,-0.052706,1.110017,-0.055258,0.619216,-0.050704,0.173207,-0.003199,-0.254409,0.016777,-0.289399,0.038673,-0.17895,0.045953,0.219654,0.043438,0.684164,-0.048777,0.97883,-0.037743,0.553815,-0.059866,0.136921,-0.05434,-0.362174,0.010589,-0.651331,-0.029902,-0.73066,-0.003773,-0.989681,-0.043311,-1.025967,-0.049968,-1.446298,-0.02615,-1.892887,0.026818,-2.094143,0.044691,-1.866419,0.053518,-1.444626,0.05619,-0.963635,0.054936,-0.456055,0.0567,0.044502,0.057609,0.553234,-0.039499,1.125421,0.037551,0.741836,0.054605,1.069034,0.0352,1.590287,0.017397,1.836685,-0.028559,1.97691,-0.05621,1.672734,-0.054609,1.165473,-0.051748,0.678395,-0.051758,0.214463,-0.036962,-0.247343,-0.021402,-0.575265,-0.000901,-0.71184,-0.01618,-0.716695,-0.009567,-0.893815,0.028756,-0.953064,0.02711,-0.662173,0.031169,-0.398275,0.033187,-0.160878,0.216522,-0.267174,1
