@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute destClass {1,2}

@data
0.009752,-0.755995,0.017607,-0.014047,-0.029202,0.077366,0.038408,-1.425577,-0.026682,1.708259,1
-0.004855,0.214094,-0.041827,1.723884,0.046437,-2.629767,-0.034306,2.224426,0.015129,-0.713399,1
0.005331,0.205526,-0.028887,1.0915,0.016906,-2.118273,-0.002803,1.027656,0.028535,-0.996419,2
-0.00961,1.186264,0.023943,-0.834804,-0.018107,-0.307908,0.035519,-1.774585,0.028983,-0.821172,2
-0.022506,1.796866,-0.015308,-0.467461,0.013509,-0.260629,-0.022008,0.807222,0.048834,-1.975012,1
-0.014307,1.141446,-0.020659,0.714528,0.038473,-1.566106,-0.048349,2.407239,0.03735,-2.394248,1
-0.027937,1.625021,-0.030509,0.851273,0.038955,-1.707939,-0.033622,1.470476,0.048861,-2.054646,2
-0.014944,1.18745,-0.020364,0.62114,0.0308,-1.603791,-0.039395,2.502045,0.032871,-2.246297,1
0.013748,-0.304399,0.007559,0.089739,-0.016541,-0.77804,0.039973,-1.050541,-0.017867,0.916663,2
-0.014609,1.003958,-0.028971,0.997939,0.040905,-2.535865,-0.013145,1.69601,0.010517,-0.935213,1
-0.012958,1.055958,-0.029369,1.043431,0.038759,-1.460835,-0.048542,2.292893,0.03821,-2.356454,2
-0.015358,1.22168,-0.020108,0.620987,0.038106,-1.53671,-0.046343,2.366603,0.037595,-2.427158,1
0.007749,-0.015193,-0.007007,0.638179,-0.003898,-1.314162,0.027149,-0.085019,-0.010669,0.222993,2
-0.016189,0.738382,-0.037761,1.64974,0.041903,-2.058128,-0.027877,1.648098,0.04506,-2.19054,2
0.008789,0.032478,-0.00659,0.46177,-0.002829,-1.308211,0.025353,-0.005217,-0.018464,0.561604,2
-0.016495,1.31462,-0.025163,0.66571,0.019747,-1.323636,-0.031812,2.284667,0.035068,-2.148603,1
-0.001814,-0.292775,0.015554,0.307256,-0.028221,0.034859,0.033723,-1.330785,-0.022744,1.437559,2
-0.019826,1.580751,-0.012301,-0.339175,0.023843,-0.534945,-0.037986,1.230862,0.049943,-2.096728,2
-0.025047,1.420446,-0.04106,1.646415,0.040558,-2.301579,-0.009601,0.666422,0.037626,-1.52403,1
-0.018836,1.25992,0.008309,-1.396108,0.01227,0.516212,-0.028315,0.515145,0.038759,-1.41814,1
-0.023287,1.368107,0.014579,-1.619126,0.006734,0.789338,-0.025167,0.274296,0.034807,-1.143813,1
-0.01076,1.366676,0.014821,-0.744668,-0.003195,-1.228528,0.023033,-0.756169,0.032803,-1.017408,2
-0.004477,1.154335,0.008277,-0.409573,-0.01071,-0.751158,0.035951,-1.578018,0.029625,-0.877447,1
-0.004529,0.286372,-0.0436,1.829294,0.047887,-2.626786,-0.035972,2.188921,0.013371,-0.717013,1
0.029323,-1.374772,0.004344,0.189777,-0.029152,0.246453,0.04826,-1.773655,-0.036739,2.040349,2
0.018689,-0.436556,-0.002403,0.305899,-0.013822,-0.756909,0.039396,-0.769557,-0.024295,0.922455,2
-0.039334,1.084348,0.046191,-1.891992,-0.040403,2.135929,0.023484,-1.358897,0.023929,-0.538791,1
-0.018749,1.37857,0.005882,-1.269727,0.014752,0.396611,-0.031696,0.691197,0.036802,-1.50297,2
-0.038362,1.948431,0.009269,-0.292774,0.012793,-1.116708,-0.034841,1.949275,0.052116,-2.524071,1
0.001466,-0.425227,-0.006432,1.41714,-0.011536,-0.876378,0.028586,-0.868961,-0.017276,0.981773,2
-0.013737,1.163999,-0.00366,-0.957443,0.022501,-0.032313,-0.033053,0.96955,0.038721,-1.608283,1
-0.02231,1.611639,0.019379,-0.43865,-0.014807,-0.511338,0.027534,-1.449059,0.036139,-1.136759,2
0.017637,-0.269728,0.002482,-0.136342,-0.001328,-1.317815,0.027372,-0.04961,-0.019415,0.646695,1
-0.040039,1.946372,0.018809,-0.680894,0.006466,-0.864573,-0.034894,1.888237,0.051706,-2.37005,1
0.006542,-0.686925,-0.017665,1.59683,-0.024705,-0.182379,0.033456,-1.112929,-0.019821,1.339889,2
-0.017246,1.418732,-0.024642,0.702561,0.026234,-1.552837,-0.032226,2.136019,0.037676,-2.271806,1
0.014742,-0.135654,0.007553,-0.301703,-0.012359,-0.8434,0.034898,-0.457692,-0.012274,0.371214,2
0.026438,-1.02573,0.006201,0.144527,-0.024901,-0.236044,0.037426,-1.336944,-0.034388,2.002094,2
-0.030328,1.755361,0.010037,-1.423616,0.011986,0.460943,-0.027308,0.474101,0.037606,-1.356417,1
0.03244,-0.573576,-0.033198,1.291986,0.019034,-1.594193,0.003207,0.819887,-0.012455,-0.336111,1
-0.033784,1.880687,0.019745,-2.053555,0.005341,0.763429,-0.002303,-0.535498,0.017026,-0.31126,2
-0.020093,1.393049,-0.022671,0.371621,0.024264,-1.400244,-0.021932,1.962132,0.031802,-1.954761,1
0.001276,-0.436222,-0.006067,1.328425,-0.013036,-0.834997,0.029454,-0.900879,-0.01323,0.92325,2
-0.0062,-0.110657,-0.009101,1.540606,-0.012389,-0.784371,0.024091,-0.983609,-0.010837,0.959502,1
-0.021461,1.451753,-0.0313,0.847186,0.033031,-1.319681,-0.033968,1.382961,0.050324,-2.217163,2
-0.018819,1.08255,-0.052705,1.852118,0.032651,-1.594007,-0.015367,0.81931,0.041548,-1.608701,1
0.006343,0.385155,-0.00637,0.103254,0.022386,-1.999417,0.001217,1.194547,-0.008381,-0.331212,1
-0.012641,1.033674,-0.027318,0.990897,0.036699,-1.574497,-0.046114,2.465525,0.035969,-2.359514,2
-0.018812,1.002739,-0.03698,1.677345,0.044434,-2.316159,-0.025971,1.515659,0.042369,-2.089016,2
-0.012351,1.015406,-0.028426,1.043507,0.038877,-1.488422,-0.045675,2.285013,0.037054,-2.423321,2
0.014597,-0.174437,-0.04471,1.659991,0.045121,-2.619404,-0.033659,2.025165,0.003606,-0.265982,2
0.010949,0.036223,-0.007228,0.317524,0.004528,-1.444084,0.016347,0.510745,-0.016969,0.258934,1
-0.016025,1.304034,-0.026539,0.57266,0.034638,-1.268405,-0.040101,1.50603,0.049443,-2.177903,2
-0.006825,0.456967,-0.042722,1.597491,0.047049,-2.595785,-0.036708,2.239607,0.013263,-0.604674,1
-0.001801,-0.30435,0.006703,0.828306,-0.018297,-0.519265,0.030172,-1.050168,-0.019108,1.151829,2
-0.030326,1.806314,0.01466,-1.592621,0.007132,0.679111,-0.024537,0.288705,0.035747,-1.300811,2
-0.012807,1.524872,0.011415,-0.570922,-0.016464,-0.139281,0.038745,-2.173303,0.02219,-0.447263,1
-0.018517,0.80449,-0.034246,1.591324,0.044524,-2.206942,-0.030155,1.733779,0.043321,-2.12848,2
-0.039841,1.948309,0.016688,-0.595281,0.009455,-0.982034,-0.037223,1.948584,0.051181,-2.326057,1
-0.025986,1.821563,-0.032955,0.752843,0.025624,-1.084461,-0.029832,1.234293,0.050583,-2.185557,2
-0.016918,1.509188,-0.030433,0.916984,0.020049,-0.917597,-0.02766,1.74617,0.036514,-2.475236,2
-0.021999,1.47599,0.007623,-1.391548,0.013826,0.39754,-0.029113,0.607888,0.037669,-1.436146,1
-0.017362,0.71242,-0.032369,1.558221,0.046778,-2.417224,-0.032132,1.793704,0.042732,-1.968477,2
-0.005213,0.231448,-0.042411,1.760403,0.046314,-2.61069,-0.035288,2.240443,0.013396,-0.643437,1
-0.018972,1.312585,-0.024884,0.652426,0.022502,-1.378107,-0.033727,2.410095,0.034088,-2.105746,1
0.002436,0.121654,-0.043601,1.858422,0.044534,-2.602805,-0.033334,2.157932,0.011587,-0.764251,1
0.009546,0.640545,-0.022609,0.405442,0.023074,-1.734299,-0.003135,1.144205,0.000551,-0.77458,1
-0.010037,0.740113,-0.047948,1.889705,0.034724,-1.64374,-0.02499,1.340875,0.046404,-2.242549,2
-0.015797,1.085312,-0.042271,1.604879,0.037029,-1.657699,-0.028604,1.334089,0.049357,-2.350596,2
-0.007992,0.519388,-0.031281,0.740228,0.026273,-0.518099,-0.037816,0.710739,0.028251,-0.505105,1
-0.013365,1.377153,-0.007637,-0.467419,-0.002177,-0.708524,0.013294,0.526356,0.019664,-1.122341,1
-0.013667,0.978615,-0.025266,0.853737,0.040349,-2.472424,-0.023566,2.129315,0.014901,-1.183506,2
-0.019752,1.501281,0.000724,-1.086142,0.01739,0.171242,-0.035133,1.03793,0.037994,-1.685829,2
0.002834,0.236767,-0.017813,1.341411,0.011375,-1.580004,0.029595,-1.856407,-0.023345,1.745828,2
-0.01203,0.84741,-0.046198,1.51418,0.035356,-1.476523,-0.037973,1.682063,0.043991,-1.851691,2
-0.041882,1.80473,0.030337,-0.969904,-0.012076,-0.087882,-0.031444,1.526014,0.045826,-1.874942,2
-0.015247,1.103628,-0.023393,0.211413,0.007651,0.054748,-0.041948,1.21118,0.045367,-1.413083,1
0.010603,-0.183158,0.015853,-0.323764,-0.024551,-0.043167,0.053951,-2.288604,-0.020834,1.367459,1
-0.02616,1.81004,0.008323,-1.336214,0.011349,0.44971,-0.029435,0.563255,0.036415,-1.51674,2
-0.009185,0.764923,-0.029387,1.216435,0.038731,-1.597752,-0.04733,2.483992,0.034605,-2.349368,2
-0.039277,1.865664,0.018632,-0.636708,0.009726,-0.946617,-0.037163,1.965392,0.051647,-2.394759,1
-0.014594,1.140387,-0.019831,0.711634,0.037831,-1.621331,-0.046482,2.449257,0.036961,-2.434158,1
0.020846,-0.907887,0.0078,0.206836,-0.026477,-0.082577,0.045617,-1.568872,-0.031572,1.67368,2
0.000177,-0.360125,-0.021271,1.840348,-0.020602,-0.42646,0.024326,-1.014057,-0.016007,1.386502,1
-0.015825,1.425648,-0.024268,0.270513,0.014358,-1.32193,-0.006301,1.438394,0.017273,-1.176164,2
-0.01933,1.416449,-0.023899,0.74105,0.029185,-1.491821,-0.039301,2.368497,0.038604,-2.413769,1
-0.020811,1.01367,-0.037659,1.601804,0.045175,-2.415086,-0.023916,1.238842,0.04266,-1.662024,1
0.025033,-1.053117,0.005589,0.01506,-0.021233,-0.128584,0.046947,-2.029616,-0.037262,2.394666,1
-0.019825,1.353774,-0.023271,0.709298,0.039838,-2.290612,-0.021282,1.915623,0.023219,-1.631553,1
0.00147,0.035711,-0.045924,1.739515,0.046667,-2.465216,-0.035978,2.216135,0.016372,-0.794646,1
-0.016331,1.28321,-0.025442,0.690794,0.028745,-1.543901,-0.03965,2.456762,0.037576,-2.249438,1
-0.018199,1.249367,-0.022913,0.601618,0.025493,-1.512011,-0.033973,2.410192,0.035557,-2.15293,1
0.004733,0.294674,0.013002,-0.391536,-0.003936,-1.411069,0.019552,-0.352913,0.03162,-0.868901,2
-0.015104,1.086021,-0.029175,0.82838,0.0442,-2.53628,-0.033936,2.3884,0.019828,-1.168104,2
-0.019158,1.499573,-0.000198,-1.028382,0.02083,0.040889,-0.034006,0.95318,0.036688,-1.652147,2
0.013726,-0.109176,-0.006506,0.341671,-0.008807,-0.953948,0.031029,-0.227466,-0.015537,0.370058,2
0.002817,0.248029,-0.048075,1.993885,0.035333,-2.597718,-0.019577,1.500391,0.023835,-0.897353,1
-0.028458,2.034512,-0.009842,-0.777516,0.024139,-1.10601,-0.010065,0.446082,0.044077,-1.423342,1
0.015985,-0.405076,-0.005923,0.545137,-0.012205,-0.927615,0.036013,-0.950978,-0.030118,1.587472,2
0.010641,0.397109,-0.024955,0.813199,0.013864,-1.497421,0.003377,0.954019,-0.008451,-0.435934,1
-0.020293,1.434474,0.004771,-1.274563,0.015589,0.304708,-0.03128,0.767947,0.039075,-1.573214,1
-0.021781,1.344571,-0.021555,0.553743,0.035293,-2.310622,-0.017355,1.879037,0.018663,-1.175806,1
0.003812,-0.564244,0.009334,0.411613,-0.031697,0.204669,0.034916,-1.423672,-0.023649,1.690626,1
-0.006182,0.563605,-0.035903,1.311375,0.046102,-2.673902,-0.033588,2.278355,0.017253,-0.961593,2
0.027107,-1.163292,0.004125,0.191369,-0.023348,-0.198124,0.044716,-1.474927,-0.035172,1.913979,2
0.003443,-0.463213,-0.013564,1.757447,-0.006896,-1.084073,0.02064,-0.804012,-0.014725,1.069797,1
-0.014607,1.058975,-0.028794,0.998972,0.043578,-2.53695,-0.022117,1.985986,0.014123,-1.1781,2
-0.006247,1.107405,-0.021643,0.517262,0.000973,-1.197323,0.024789,-0.088625,-0.014778,0.388321,1
0.021915,-0.726999,0.008746,-0.067759,-0.023064,-0.298933,0.045065,-1.28426,-0.028383,1.358675,2
-0.002789,0.453604,-0.049005,1.767796,0.024761,-1.036446,-0.036156,1.475007,0.049381,-2.071827,2
-0.015193,0.733751,-0.036814,1.736289,0.043369,-2.212875,-0.02824,1.601948,0.0451,-2.203737,2
-0.020007,1.516587,-0.02243,0.222804,0.029649,-1.020205,-0.034395,1.422752,0.05231,-2.357816,2
0.016371,-0.295878,-0.009264,0.639071,-0.000701,-1.345654,0.021274,0.223643,-0.0134,0.179583,2
-0.025038,1.686518,0.00954,-1.400085,0.01141,0.50543,-0.029252,0.557561,0.035986,-1.470633,2
-0.031101,1.417134,0.032417,-1.484634,-0.030486,0.419473,0.020753,0.115859,0.01603,-0.767398,2
0.004949,-0.339534,0.004189,0.70406,-0.01927,-0.618292,0.039032,-1.29212,-0.01421,0.937118,2
0.014415,-0.0598,0.002643,0.006606,-0.021065,-0.149728,0.055778,-2.268798,-0.013131,0.85036,1
-0.014901,0.796633,-0.033672,1.380815,0.041273,-2.039339,-0.032163,1.510486,0.051659,-2.160039,1
-0.018195,1.333082,0.00349,-1.1682,0.015907,0.316605,-0.031114,0.680178,0.039214,-1.564083,2
-0.019137,1.4442,-0.021498,0.58548,0.033527,-1.485913,-0.042541,2.355706,0.037661,-2.400152,1
0.005942,0.07683,-0.001159,0.357889,-0.013753,-0.898733,0.039091,-0.897956,-0.018532,0.884751,1
0.013153,-0.894797,0.016687,-0.125936,-0.031954,0.34607,0.043133,-1.759333,-0.03205,2.062445,2
-0.003302,0.257849,-0.044049,1.766743,0.047463,-2.587594,-0.035243,2.212169,0.014014,-0.760617,1
0.009405,0.116939,-0.004232,0.290148,-0.005556,-1.184057,0.029642,-0.230178,-0.017384,0.512974,1
